region,Resource,zone,Cluster,R_ID,ESR_1,AnnualSum
East,East_batteries_1,1,1,1,0.0,0.0
East,East_conventional_hydroelectric_1,1,1,2,640928.1552548752,640928.1552548752
East,East_landfill_gas_1,1,1,3,1.5171039737264465e6,1.5171039737264465e6
East,East_natural_gas_internal_combustion_engine_1,1,1,4,0.0,0.0
East,East_petroleum_liquids_with_gt_1,1,1,5,0.0,0.0
East,East_petroleum_liquids_with_ic_1,1,1,6,0.0,0.0
East,East_solar_photovoltaic_1,1,1,7,5.671270302701295e6,5.671270302701295e6
North,North_conventional_hydroelectric_1,2,1,8,3.603726694507983e6,3.603726694507983e6
North,North_landfill_gas_1,2,1,9,1.517103831388051e6,1.517103831388051e6
North,North_natural_gas_internal_combustion_engine_1,2,1,10,0.0,0.0
North,North_onshore_wind_turbine_1,2,1,11,146864.5563736405,146864.5563736405
North,North_petroleum_liquids_with_cc_1,2,1,12,0.0,0.0
North,North_petroleum_liquids_with_gt_1,2,1,13,0.0,0.0
North,North_petroleum_liquids_with_st_1,2,1,14,0.0,0.0
North,North_solar_photovoltaic_1,2,1,15,1.6383550674031144e6,1.6383550674031144e6
South,South_batteries_1,3,1,16,0.0,0.0
South,South_conventional_hydroelectric_1,3,1,17,4.502447329976436e6,4.502447329976436e6
South,South_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0
South,South_natural_gas_steam_turbine_1,3,1,19,0.0,0.0
South,South_onshore_wind_turbine_1,3,1,20,1.7374436314154968e7,1.7374436314154968e7
South,South_petroleum_liquids_with_gt_1,3,1,21,0.0,0.0
South,South_petroleum_liquids_with_st_1,3,1,22,0.0,0.0
South,South_solar_photovoltaic_1,3,1,23,4.983493418213167e6,4.983493418213167e6
West,West_batteries_1,4,1,24,0.0,0.0
West,West_petroleum_liquids_with_gt_1,4,1,25,0.0,0.0
West,West_petroleum_liquids_with_ic_1,4,1,26,0.0,0.0
West,West_solar_photovoltaic_1,4,1,27,5.071129772548286e6,5.071129772548286e6
East,East_battery_moderate_0,1,0,28,0.0,0.0
East,East_naturalgas_ctavgcf_moderate_0,1,0,29,0.0,0.0
East,East_naturalgas_ccavgcf_moderate_0,1,0,30,0.0,0.0
East,East_microgrid_solar_moderate_0,1,0,31,0.2172569016750752,0.2172569016750752
East,East_microgrid_diesel_moderate_0,1,0,32,0.0,0.0
East,East_utilitypv_class1_moderate_1,1,1,33,8.335048914286019e7,8.335048914286019e7
East,East_landbasedwind_class3_moderate_1,1,1,34,4.310252621626553e7,4.310252621626553e7
North,North_battery_moderate_0,2,0,35,0.0,0.0
North,North_naturalgas_ctavgcf_moderate_0,2,0,36,0.0,0.0
North,North_naturalgas_ccavgcf_moderate_0,2,0,37,0.0,0.0
North,North_microgrid_solar_moderate_0,2,0,38,0.21730177196265785,0.21730177196265785
North,North_microgrid_diesel_moderate_0,2,0,39,0.0,0.0
North,North_utilitypv_class1_moderate_1,2,1,40,1.275349968868668e8,1.275349968868668e8
North,North_landbasedwind_class3_moderate_1,2,1,41,2.9829743155303404e7,2.9829743155303404e7
South,South_battery_moderate_0,3,0,42,0.0,0.0
South,South_naturalgas_ctavgcf_moderate_0,3,0,43,0.0,0.0
South,South_naturalgas_ccavgcf_moderate_0,3,0,44,0.0,0.0
South,South_microgrid_solar_moderate_0,3,0,45,0.21656919770432842,0.21656919770432842
South,South_microgrid_diesel_moderate_0,3,0,46,0.0,0.0
South,South_utilitypv_class1_moderate_1,3,1,47,1.275651779189911e8,1.275651779189911e8
South,South_landbasedwind_class3_moderate_1,3,1,48,4.4868545339392856e7,4.4868545339392856e7
West,West_battery_moderate_0,4,0,49,0.0,0.0
West,West_naturalgas_ctavgcf_moderate_0,4,0,50,0.0,0.0
West,West_naturalgas_ccavgcf_moderate_0,4,0,51,0.0,0.0
West,West_microgrid_solar_moderate_0,4,0,52,0.21646563846947087,0.21646563846947087
West,West_microgrid_diesel_moderate_0,4,0,53,0.0,0.0
West,West_utilitypv_class1_moderate_1,4,1,54,1.6625473209048447,1.6625473209048447
West,West_landbasedwind_class3_moderate_1,4,1,55,3.4843870630153924e7,3.4843870630153924e7
North,North_to_south_underground_line,2,0,56,0.0,0.0
East,North_to_east_underground_line,1,0,57,0.0,0.0
West,South_to_west_underground_line,4,0,58,0.0,0.0
