Region,Resource,Zone,Cluster,AnnualSum
East,East_batteries_1,1,1,-18234.806041299853
East,East_conventional_hydroelectric_1,1,1,-26920.709832433626
East,East_landfill_gas_1,1,1,-97464.47750352386
East,East_natural_gas_internal_combustion_engine_1,1,1,674.3519875480192
East,East_petroleum_liquids_with_gt_1,1,1,2841.835863662116
East,East_petroleum_liquids_with_ic_1,1,1,392.4552400890677
East,East_solar_photovoltaic_1,1,1,-1.8186151362228803e6
North,North_conventional_hydroelectric_1,2,1,-161535.8963367196
North,North_landfill_gas_1,2,1,-97454.08123021276
North,North_natural_gas_internal_combustion_engine_1,2,1,4825.73733773148
North,North_onshore_wind_turbine_1,2,1,-13086.837585061327
North,North_petroleum_liquids_with_cc_1,2,1,60940.559979320526
North,North_petroleum_liquids_with_gt_1,2,1,0.669190539541257
North,North_petroleum_liquids_with_st_1,2,1,984.6302744887943
North,North_solar_photovoltaic_1,2,1,-484747.96338489524
South,South_batteries_1,3,1,-79066.80158834302
South,South_conventional_hydroelectric_1,3,1,-204433.60365753714
South,South_natural_gas_fired_combined_cycle_1,3,1,106885.04025054691
South,South_natural_gas_steam_turbine_1,3,1,148194.88054611685
South,South_onshore_wind_turbine_1,3,1,-2.13018812802615e6
South,South_petroleum_liquids_with_gt_1,3,1,0.8569162901186395
South,South_petroleum_liquids_with_st_1,3,1,1.0760756774059645
South,South_solar_photovoltaic_1,3,1,-1.5907836675238193e6
West,West_batteries_1,4,1,-255191.85790658192
West,West_petroleum_liquids_with_gt_1,4,1,14306.754269982524
West,West_petroleum_liquids_with_ic_1,4,1,84.44039631060642
West,West_solar_photovoltaic_1,4,1,-1.638397219384743e6
East,East_battery_moderate_0,1,0,-1.1651032808490522
East,East_naturalgas_ctavgcf_moderate_0,1,0,-0.028860932654099367
East,East_naturalgas_ccavgcf_moderate_0,1,0,-0.019491201334053163
East,East_microgrid_solar_moderate_0,1,0,-0.026831452854430404
East,East_microgrid_diesel_moderate_0,1,0,-0.0037121952244168585
East,East_utilitypv_class1_moderate_1,1,1,-3.2697039447541278e7
East,East_landbasedwind_class3_moderate_1,1,1,-5.422241226130978e6
North,North_battery_moderate_0,2,0,-1.1652851694829842
North,North_naturalgas_ctavgcf_moderate_0,2,0,-0.02884744273445297
North,North_naturalgas_ccavgcf_moderate_0,2,0,-0.01948327339993205
North,North_microgrid_solar_moderate_0,2,0,-0.026753674313197348
North,North_microgrid_diesel_moderate_0,2,0,-0.003706847784971507
North,North_utilitypv_class1_moderate_1,2,1,-5.007540107369394e7
North,North_landbasedwind_class3_moderate_1,2,1,-3.9344965110309967e6
South,South_battery_moderate_0,3,0,-1.1649481167181808
South,South_naturalgas_ctavgcf_moderate_0,3,0,-0.02887337929423336
South,South_naturalgas_ccavgcf_moderate_0,3,0,-0.019498471513659646
South,South_microgrid_solar_moderate_0,3,0,-0.026757863735787705
South,South_microgrid_diesel_moderate_0,3,0,-0.0037154066242617587
South,South_utilitypv_class1_moderate_1,3,1,-4.925939897641683e7
South,South_landbasedwind_class3_moderate_1,3,1,-5.593913614827221e6
West,West_battery_moderate_0,4,0,-1.1652297360014245
West,West_naturalgas_ctavgcf_moderate_0,4,0,-0.028860119919693564
West,West_naturalgas_ccavgcf_moderate_0,4,0,-0.019490325353824178
West,West_microgrid_solar_moderate_0,4,0,-0.026878245524957337
West,West_microgrid_diesel_moderate_0,4,0,-0.00371168501137268
West,West_utilitypv_class1_moderate_1,4,1,-0.4213223836124094
West,West_landbasedwind_class3_moderate_1,4,1,-4.343695231152408e6
North,North_to_south_underground_line,2,0,0.0
East,North_to_east_underground_line,1,0,0.0
West,South_to_west_underground_line,4,0,0.0
