Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
East,East_batteries_1,1,1,3133.3560730688823,3133.3560730688823
East,East_conventional_hydroelectric_1,1,1,97421.18604616761,97421.18604616761
East,East_landfill_gas_1,1,1,81758.39977750159,81758.39977750159
East,East_natural_gas_internal_combustion_engine_1,1,1,109011.19969449239,109011.19969449239
East,East_petroleum_liquids_with_gt_1,1,1,4.292315987217511e6,4.292315987217511e6
East,East_petroleum_liquids_with_ic_1,1,1,136263.99962036606,136263.99962036606
East,East_solar_photovoltaic_1,1,1,0.3440029084874361,0.3440029084874361
North,North_conventional_hydroelectric_1,2,1,546147.674634821,546147.674634821
North,North_landfill_gas_1,2,1,81758.39977745079,81758.39977745079
North,North_natural_gas_internal_combustion_engine_1,2,1,763078.3976949936,763078.3976949936
North,North_onshore_wind_turbine_1,2,1,525.2129154433634,525.2129154433634
North,North_petroleum_liquids_with_cc_1,2,1,1.4627940360218512e7,1.4627940360218512e7
North,North_petroleum_liquids_with_gt_1,2,1,1.6627614546962885e7,1.6627614546962885e7
North,North_petroleum_liquids_with_st_1,2,1,1.1724132136945933e7,1.1724132136945933e7
North,North_solar_photovoltaic_1,2,1,0.1218272429770943,0.1218272429770943
South,South_batteries_1,3,1,13577.85668202958,13577.85668202958
South,South_conventional_hydroelectric_1,3,1,681948.579907454,681948.579907454
South,South_natural_gas_fired_combined_cycle_1,3,1,1.975827994590627e7,1.975827994590627e7
South,South_natural_gas_steam_turbine_1,3,1,2.6080929526848275e7,2.6080929526848275e7
South,South_onshore_wind_turbine_1,3,1,60513.40983560626,60513.40983560626
South,South_petroleum_liquids_with_gt_1,3,1,2.8615439922046624e6,2.8615439922046624e6
South,South_petroleum_liquids_with_st_1,3,1,3.436237409551877e7,3.436237409551877e7
South,South_solar_photovoltaic_1,3,1,0.3825070333260691,0.3825070333260691
West,West_batteries_1,4,1,43866.90895910642,43866.90895910642
West,West_petroleum_liquids_with_gt_1,4,1,7.49451997961465e6,7.49451997961465e6
West,West_petroleum_liquids_with_ic_1,4,1,122637.59965423564,122637.59965423564
West,West_solar_photovoltaic_1,4,1,0.4010585291959807,0.4010585291959807
East,East_battery_moderate_0,1,0,3.691641345236431,3.691641345236431
East,East_naturalgas_ctavgcf_moderate_0,1,0,0.19769252153376957,0.19769252153376957
East,East_naturalgas_ccavgcf_moderate_0,1,0,0.11600387655086551,0.11600387655086551
East,East_microgrid_solar_moderate_0,1,0,3.0746320443163554e-13,3.0746320443163554e-13
East,East_microgrid_diesel_moderate_0,1,0,0.06739970569933673,0.06739970569933673
East,East_utilitypv_class1_moderate_1,1,1,5.349303318978275,5.349303318978275
East,East_landbasedwind_class3_moderate_1,1,1,147934.97207938836,147934.97207938836
North,North_battery_moderate_0,2,0,3.6922815805539275,3.6922815805539275
North,North_naturalgas_ctavgcf_moderate_0,2,0,0.19770761960467254,0.19770761960467254
North,North_naturalgas_ccavgcf_moderate_0,2,0,0.11602038331771189,0.11602038331771189
North,North_microgrid_solar_moderate_0,2,0,3.636227784913396e-13,3.636227784913396e-13
North,North_microgrid_diesel_moderate_0,2,0,0.06740020435230396,0.06740020435230396
North,North_utilitypv_class1_moderate_1,2,1,8.733034603821451,8.733034603821451
North,North_landbasedwind_class3_moderate_1,2,1,102792.11287104287,102792.11287104287
South,South_battery_moderate_0,3,0,3.6910465480577392,3.6910465480577392
South,South_naturalgas_ctavgcf_moderate_0,3,0,0.19767916046251613,0.19767916046251613
South,South_naturalgas_ccavgcf_moderate_0,3,0,0.11599144732779293,0.11599144732779293
South,South_microgrid_solar_moderate_0,3,0,2.5310164566574635e-13,2.5310164566574635e-13
South,South_microgrid_diesel_moderate_0,3,0,0.06739909981827236,0.06739909981827236
South,South_utilitypv_class1_moderate_1,3,1,6.991928947750555,6.991928947750555
South,South_landbasedwind_class3_moderate_1,3,1,116419.47749979015,116419.47749979015
West,West_battery_moderate_0,4,0,3.692136662713034,3.692136662713034
West,West_naturalgas_ctavgcf_moderate_0,4,0,0.19769531893614778,0.19769531893614778
West,West_naturalgas_ccavgcf_moderate_0,4,0,0.11600360982852884,0.11600360982852884
West,West_microgrid_solar_moderate_0,4,0,3.308433705673112e-13,3.308433705673112e-13
West,West_microgrid_diesel_moderate_0,4,0,0.06739976264813918,0.06739976264813918
West,West_utilitypv_class1_moderate_1,4,1,1.2292631915407674e-7,1.2292631915407674e-7
West,West_landbasedwind_class3_moderate_1,4,1,238603.0052379014,238603.0052379014
North,North_to_south_underground_line,2,0,0.0,0.0
East,North_to_east_underground_line,1,0,0.0,0.0
West,South_to_west_underground_line,4,0,0.0,0.0
