Constraint,CapRes_1
t1,1.0990359350860212e-5
t2,1.0385926809081022e-5
t3,9.669940589932618e-6
t4,8.901840696885005e-6
t5,8.230252647457689e-6
t6,7.27961378325769e-6
t7,6.676129668550758e-6
t8,5.355339292541557e-6
t9,3.647643713491157e-6
t10,2.6479246350317817e-6
t11,2.004054144547838e-6
t12,1.828646953782334e-6
t13,2.0155656062207954e-6
t14,2.3185649946368358e-6
t15,2.770964115801389e-6
t16,3.455730139346078e-6
t17,5.155029084235453e-6
t18,7.5726347491803645e-6
t19,8.338431317284755e-6
t20,8.255464646844971e-6
t21,8.150576391863043e-6
t22,9.521396360791011e-6
t23,1.147977427274323e-5
t24,1.1750923368863584e-5
t25,1.167031336863298e-5
t26,1.1473700810169518e-5
t27,1.091825385135291e-5
t28,9.884917488928499e-6
t29,8.734206518886024e-6
t30,7.724905763923369e-6
t31,7.07175195028515e-6
t32,5.6408561164214405e-6
t33,3.7954493645843532e-6
t34,2.8684059294772414e-6
t35,2.33300494066389e-6
t36,2.353450892480738e-6
t37,2.7197264979424388e-6
t38,3.3068346307382535e-6
t39,3.990465497997019e-6
t40,5.318624855162914e-6
t41,8.100918901071037e-6
t42,1.2441413464032915e-5
t43,1.4246970247015098e-5
t44,1.416991273451198e-5
t45,1.3605168436454921e-5
t46,1.4510045950171473e-5
t47,1.7150601874753944e-5
t48,1.7417892361538405e-5
t49,1.6837613847508758e-5
t50,1.629348237528624e-5
t51,1.4257731001026588e-5
t52,1.1551338640987781e-5
t53,9.857055442547506e-6
t54,8.524231978691292e-6
t55,7.723688432484053e-6
t56,6.0524608810808924e-6
t57,3.933063532211659e-6
t58,3.340721436844095e-6
t59,2.8225792134337814e-6
t60,2.664274434495594e-6
t61,2.965672336262948e-6
t62,3.5014521190632652e-6
t63,4.115905536456604e-6
t64,5.510492876124058e-6
t65,8.443567999364863e-6
t66,1.5120623403723186e-5
t67,1.8824346603603106e-5
t68,1.8287751562658224e-5
t69,1.6598025045243463e-5
t70,1.728091945850561e-5
t71,2.2781266763102765e-5
t72,2.399668152333894e-5
t73,2.2542888120825582e-5
t74,2.019132176413557e-5
t75,1.817459033981566e-5
t76,1.57791120785755e-5
t77,1.3105749573376688e-5
t78,1.1162971859873566e-5
t79,9.524016547685369e-6
t80,7.337767214974496e-6
t81,4.7075132899948864e-6
t82,3.3738556298610423e-6
t83,2.556175269965166e-6
t84,2.4281678288760875e-6
t85,2.661263503177903e-6
t86,3.1081511714346238e-6
t87,3.8108916986252907e-6
t88,5.1250687785911234e-6
t89,7.5644345100357626e-6
t90,1.321286410753204e-5
t91,1.4806423707340276e-5
t92,1.425575403508114e-5
t93,1.311643726133133e-5
t94,1.4521840667727736e-5
t95,1.57010461574514e-5
t96,1.5889488082051477e-5
t97,1.5975572906446427e-5
t98,1.5809807543158534e-5
t99,1.4806498748315685e-5
t100,1.3285279235554854e-5
t101,1.0505073212816059e-5
t102,9.42708438549756e-6
t103,8.751714662076459e-6
t104,6.711715139800972e-6
t105,4.457217206073257e-6
t106,3.345067127359106e-6
t107,2.706000904060328e-6
t108,2.588486380364339e-6
t109,2.869604958881765e-6
t110,3.1516508815467524e-6
t111,3.822221536959755e-6
t112,4.99651331282544e-6
t113,7.125392517544499e-6
t114,1.171458779484063e-5
t115,1.4833769539786655e-5
t116,1.5274527474413892e-5
t117,1.5194719430554519e-5
t118,1.7454345321239342e-5
t119,1.927316590054846e-5
t120,1.8741563029157448e-5
t121,1.7172194523779447e-5
t122,1.5535655535485808e-5
t123,1.3778976401226541e-5
t124,1.1690138665455683e-5
t125,1.0113283070343647e-5
t126,9.211667842570291e-6
t127,8.421181334467278e-6
t128,6.729183968303905e-6
t129,4.292661394102106e-6
t130,3.310362057259427e-6
