Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
East_batteries_1,1,3.6,0.0,0.0,3.6,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0
East_conventional_hydroelectric_1,1,6.6,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_landfill_gas_1,1,2.4,6.835900264933971e-12,0.0,2.3999999999931636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_natural_gas_internal_combustion_engine_1,1,3.2,2.6870146947245243e-10,0.0,3.1999999997312987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_petroleum_liquids_with_gt_1,1,126.0,3.268799141415833e-8,0.0,125.99999996731201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_petroleum_liquids_with_ic_1,1,4.0,2.698108834464856e-10,0.0,3.999999999730189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_solar_photovoltaic_1,1,49.2,1.379459731137394e-10,0.0,49.19999999986206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_conventional_hydroelectric_1,2,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_landfill_gas_1,2,2.4,8.326894520841164e-12,0.0,2.399999999991673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_natural_gas_internal_combustion_engine_1,2,22.4,6.767100470018824e-9,0.0,22.3999999932329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_onshore_wind_turbine_1,2,0.6,6.37614595598777e-10,0.0,0.5999999993623854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_petroleum_liquids_with_cc_1,2,429.4,4.2502553765196084e-10,0.0,429.39999999957496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_petroleum_liquids_with_gt_1,2,488.1,2.2996135889792645e-7,0.0,488.09999977003866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_petroleum_liquids_with_st_1,2,664.1,319.940657288242,0.0,344.15934271175803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_solar_photovoltaic_1,2,14.9,4.2051846323914863e-10,0.0,14.899999999579482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_batteries_1,3,5.1,0.0,0.0,5.1,1.3,0.0,0.0,1.3,0.0,0.0,0.0,0.0
South_conventional_hydroelectric_1,3,46.2,0.0,0.0,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_natural_gas_fired_combined_cycle_1,3,580.0,1.1141852260054422e-8,0.0,579.9999999888581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_natural_gas_steam_turbine_1,3,765.6,6.601950017286062e-8,0.0,765.5999999339805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_onshore_wind_turbine_1,3,75.0,2.5733753522214736e-10,0.0,74.99999999974266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_petroleum_liquids_with_gt_1,3,84.0,4.709765917777217e-10,0.0,83.99999999952904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_petroleum_liquids_with_st_1,3,1008.7000000000002,3.2480758070026344e-7,0.0,1008.6999996751927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_solar_photovoltaic_1,3,43.8,1.0696211441746384e-10,0.0,43.79999999989303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West_batteries_1,4,21.8,0.0,0.0,21.8,4.2,0.0,0.0,4.2,0.0,0.0,0.0,0.0
West_petroleum_liquids_with_gt_1,4,220.0,3.2317796344538574e-10,0.0,219.99999999967682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West_petroleum_liquids_with_ic_1,4,3.6,3.6300297098928613e-10,0.0,3.5999999996369967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West_solar_photovoltaic_1,4,45.0,1.3695065842576036e-10,0.0,44.99999999986304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_battery_moderate_0,1,0.0,0.0,0.00010796205231528492,0.00010796205231528492,0.0,0.0,0.00035286584098279805,0.00035286584098279805,0.0,0.0,0.0,0.0
East_naturalgas_ctavgcf_moderate_0,1,0.0,0.0,5.8032208674693115e-6,5.8032208674693115e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_naturalgas_ccavgcf_moderate_0,1,0.0,0.0,3.4052685042631832e-6,3.4052685042631832e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_microgrid_solar_moderate_0,1,0.0,0.0,3.7604082912419057e-11,3.7604082912419057e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_microgrid_diesel_moderate_0,1,0.0,0.0,1.9785036659005233e-6,1.9785036659005233e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_utilitypv_class1_moderate_1,1,0.0,0.0,654.2429878800813,654.2429878800813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_landbasedwind_class3_moderate_1,1,0.0,0.0,169.0000008441892,169.0000008441892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_battery_moderate_0,2,0.0,0.0,0.0001079812228445604,0.0001079812228445604,0.0,0.0,0.00035292874269386,0.00035292874269386,0.0,0.0,0.0,0.0
North_naturalgas_ctavgcf_moderate_0,2,0.0,0.0,5.803664068048892e-6,5.803664068048892e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_naturalgas_ccavgcf_moderate_0,2,0.0,0.0,3.4057530568050506e-6,3.4057530568050506e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_microgrid_solar_moderate_0,2,0.0,0.0,4.163760744316835e-11,4.163760744316835e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_microgrid_diesel_moderate_0,2,0.0,0.0,1.9785183037496566e-6,1.9785183037496566e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_utilitypv_class1_moderate_1,2,0.0,0.0,999.9996923465103,999.9996923465103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_landbasedwind_class3_moderate_1,2,0.0,0.0,127.40000086337103,127.40000086337103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_battery_moderate_0,3,0.0,0.0,0.00010794501778737145,0.00010794501778737145,0.0,0.0,0.00035281168482824556,0.00035281168482824556,0.0,0.0,0.0,0.0
South_naturalgas_ctavgcf_moderate_0,3,0.0,0.0,5.80282865613573e-6,5.80282865613573e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_naturalgas_ccavgcf_moderate_0,3,0.0,0.0,3.404903647129784e-6,3.404903647129784e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_microgrid_solar_moderate_0,3,0.0,0.0,3.6199115354789534e-11,3.6199115354789534e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_microgrid_diesel_moderate_0,3,0.0,0.0,1.9784858803939764e-6,1.9784858803939764e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_utilitypv_class1_moderate_1,3,0.0,0.0,999.9999876190777,999.9999876190777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_landbasedwind_class3_moderate_1,3,0.0,0.0,173.50000084150537,173.50000084150537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West_battery_moderate_0,4,0.0,0.0,0.00010796683757030154,0.00010796683757030154,0.0,0.0,0.00035286465304690446,0.00035286465304690446,0.0,0.0,0.0,0.0
West_naturalgas_ctavgcf_moderate_0,4,0.0,0.0,5.803302984606216e-6,5.803302984606216e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
