Resource,Zone,AnnualSum,Capacity,CapacityFactor
East_batteries_1,1,0.03501644972859275,3.6,0.0
East_conventional_hydroelectric_1,1,0.9463835314226656,6.6,0.0
East_landfill_gas_1,1,2.240129731263936,2.3999999999931636,0.9333873880292677
East_natural_gas_internal_combustion_engine_1,1,2.6872488378170227,3.1999999997312987,0.839765261888306
East_petroleum_liquids_with_gt_1,1,8.376310520536798,125.99999996731201,0.06647865494213946
East_petroleum_liquids_with_ic_1,1,1.201939946976918,3.999999999730189,0.30048498676448804
East_solar_photovoltaic_1,1,8.374100548896287,49.19999999986206,0.17020529570974566
North_conventional_hydroelectric_1,2,5.321201085438889,37.0,0.1438162455523976
North_landfill_gas_1,2,2.2401295210894925,2.399999999991673,0.9333873004571627
North_natural_gas_internal_combustion_engine_1,2,18.89459193795257,22.3999999932329,0.843508568913395
North_onshore_wind_turbine_1,2,0.21685768734318908,0.5999999993623854,0.0
North_petroleum_liquids_with_cc_1,2,189.0922629521985,429.39999999957496,0.4403639099962258
North_petroleum_liquids_with_gt_1,2,0.002300437993471543,488.09999977003866,0.0
North_petroleum_liquids_with_st_1,2,2.8021819433427466,344.15934271175803,0.008142106273400082
North_solar_photovoltaic_1,2,2.419167018488347,14.899999999579482,0.16236020258768738
South_batteries_1,3,0.15175369249972928,5.1,0.0
South_conventional_hydroelectric_1,3,6.648236575740955,46.2,0.14390122458313276
South_natural_gas_fired_combined_cycle_1,3,386.2988139710962,579.9999999888581,0.6660324378939727
South_natural_gas_steam_turbine_1,3,571.83536611812,765.5999999339805,0.7469113978153235
South_onshore_wind_turbine_1,3,25.654794941765978,74.99999999974266,0.342063932558042
South_petroleum_liquids_with_gt_1,3,0.002982097310612818,83.99999999952904,0.0
South_petroleum_liquids_with_st_1,3,0.0036764221886298157,1008.6999996751927,0.0
South_solar_photovoltaic_1,3,7.358540986664335,43.79999999989303,0.16800321887401964
West_batteries_1,4,0.49007401086137503,21.8,0.0
West_petroleum_liquids_with_gt_1,4,43.32592488384484,219.99999999967682,0.19693602219957748
West_petroleum_liquids_with_ic_1,4,0.24804872776759002,3.5999999996369967,0.0
West_solar_photovoltaic_1,4,7.48794332578254,44.99999999986304,0.16639874057344622
East_battery_moderate_0,1,1.0846984086487554e-5,0.00010796205231528492,0.0
East_naturalgas_ctavgcf_moderate_0,1,3.1459641782027186e-6,5.8032208674693115e-6,0.0
East_naturalgas_ccavgcf_moderate_0,1,2.0617351038395478e-6,3.4052685042631832e-6,0.0
East_microgrid_solar_moderate_0,1,3.207978182070039e-7,3.7604082912419057e-11,0.0
East_microgrid_diesel_moderate_0,1,9.731985655286886e-7,1.9785036659005233e-6,0.0
East_utilitypv_class1_moderate_1,1,123.0739040157441,654.2429878800813,0.18811650456435414
East_landbasedwind_class3_moderate_1,1,63.6444516274465,169.0000008441892,0.37659438644690807
North_battery_moderate_0,2,1.0848718053830685e-5,0.0001079812228445604,0.0
North_naturalgas_ctavgcf_moderate_0,2,3.1465295533686264e-6,5.803664068048892e-6,0.0
North_naturalgas_ccavgcf_moderate_0,2,2.062284159085642e-6,3.4057530568050506e-6,0.0
North_microgrid_solar_moderate_0,2,3.208640729047751e-7,4.163760744316835e-11,0.0
North_microgrid_diesel_moderate_0,2,9.73284164424997e-7,1.9785183037496566e-6,0.0
North_utilitypv_class1_moderate_1,2,188.31599102675438,999.9996923465103,0.18831604896283774
North_landbasedwind_class3_moderate_1,2,44.046087595450906,127.40000086337103,0.3457306695208446
South_battery_moderate_0,3,1.0845424051334091e-5,0.00010794501778737145,0.0
South_naturalgas_ctavgcf_moderate_0,3,3.1453905523300998e-6,5.80282865613573e-6,0.0
South_naturalgas_ccavgcf_moderate_0,3,2.0612511140575516e-6,3.404903647129784e-6,0.0
South_microgrid_solar_moderate_0,3,3.1978236630795304e-7,3.6199115354789534e-11,0.0
South_microgrid_diesel_moderate_0,3,9.730363558659587e-7,1.9784858803939764e-6,0.0
South_utilitypv_class1_moderate_1,3,188.3605558216221,999.9999876190777,0.18836055815369326
South_landbasedwind_class3_moderate_1,3,66.25212520302911,173.50000084150537,0.38185662756018734
West_battery_moderate_0,4,1.0847071591994489e-5,0.00010796683757030154,0.0
West_naturalgas_ctavgcf_moderate_0,4,3.1460399936160138e-6,5.803302984606216e-6,0.0
West_naturalgas_ccavgcf_moderate_0,4,2.0617060707175588e-6,3.4052606746871425e-6,0.0
West_microgrid_solar_moderate_0,4,3.196294525163026e-7,3.712164333053885e-11,0.0
West_microgrid_diesel_moderate_0,4,9.731634824867466e-7,1.978505337620203e-6,0.0
West_utilitypv_class1_moderate_1,4,2.454888885462563e-6,1.3792710936745888e-5,0.0
West_landbasedwind_class3_moderate_1,4,51.449862305216044,170.8000008431889,0.30122870053408446
North_to_south_underground_line,2,0.0,0.0,0.0
North_to_east_underground_line,1,0.0,0.0,0.0
South_to_west_underground_line,4,0.0,0.0,0.0
