Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.04137095804617507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17929303126349136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790098535244129,0.0,0.0,0.0,1.2731741229202663e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.2733789867368255e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.2729898087480708e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.2731844614725775e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799724770107878
t1,7.553310499501764e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.483277713793963e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.475623470551606e-7,0.0,0.0,0.0,7.859420292776923e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.85823015225174e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.859871663893693e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.8607742052811e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.395050799805079e-6
t2,7.535833553403403e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.470908817842843e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.466021032430199e-7,0.0,0.0,0.0,7.802347889951669e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.801106906252632e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.80277499703291e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.80352904106408e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.368252223797773e-6
t3,7.515165671655844e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.456629838559025e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.454738218012708e-7,0.0,0.0,0.0,7.739427816366062e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.738244050810672e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.739794645772873e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.740545758160438e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.338454599933762e-6
t4,7.490924468499353e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.440150067345587e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44101365136229e-7,0.0,0.0,0.0,7.669538041387109e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.668445123289684e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.669879812761776e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.670598162486664e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3050549327132465e-6
t5,7.461751251653672e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.420342466320601e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.42358045561874e-7,0.0,0.0,0.0,7.589186036831748e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.588119882449806e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.589604680417727e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.590269059014468e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.266285383230677e-6
t6,7.425520864206366e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.395566922267112e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.401095455569261e-7,0.0,0.0,0.0,7.497923491704687e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.496937587428791e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.498306057356661e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.49877397012926e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.221412434866214e-6
t7,7.376637707219449e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.360246719407877e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36750301051226e-7,0.0,0.0,0.0,7.377466412877436e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.376569849655782e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.377862983472954e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.37813240799498e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.161441909114074e-6
t8,7.298313156630186e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.300406583640649e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.313765319592733e-7,0.0,0.0,0.0,7.217702492071125e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.216846041908085e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.218215993563975e-7,0.0,0.0,0.0,0.0,0.0,0.0,7.218017610701085e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0783267198107835e-6
