Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,9.790519187094876,0.0,0.0,0.0,0.23533108726782148,0.0,0.0,0.0,2.938932682213566,0.0,0.0,0.0,0.0,27.193668835101832,0.0,0.0,8.659376458992188,0.0,0.0,0.0,8.78697096075703,0.0,0.0,0.0,-3.1337454043410215e-10,0.0,129.0285249082321,66.2823604459944,0.0,0.0,0.0,-3.1262521195171606e-10,0.0,197.68228523383027,46.19251196546891,0.0,0.0,0.0,-3.1257278768052115e-10,0.0,198.97613469523318,68.9832227530779,0.0,0.0,0.0,-3.1237467992244855e-10,0.0,2.693087989102857e-6,53.677511955450136,0.0,0.0,0.0,818.4273538605511
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42137819835171064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.649299998661455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.68819359231945,0.0,0.0,0.0,0.0,0.0,0.0,86.03627818249056,0.0,0.0,0.0,0.0,0.0,0.0,124.27510110220993,0.0,0.0,0.0,0.0,0.0,0.0,128.48378823375702,0.0,0.0,0.0,508.5540393077901
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375619983220742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.29764999864639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.24663061510192,0.0,0.0,0.0,0.0,0.0,0.0,88.8362754014759,0.0,0.0,0.0,0.0,0.0,0.0,127.74163111903243,0.0,0.0,0.0,0.0,0.0,0.0,131.8963722506132,0.0,0.0,0.0,524.4561213831919
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44715239830451614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.79614999863274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.94792662860289,0.0,0.0,0.0,0.0,0.0,0.0,91.3817274187352,0.0,0.0,0.0,0.0,0.0,0.0,129.30156962660254,0.0,0.0,0.0,0.0,0.0,0.0,134.96769786578383,0.0,0.0,0.0,535.8422239366618
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44595359830672193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.21972499861971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.61026462691524,0.0,0.0,0.0,0.0,0.0,0.0,93.79990683513174,0.0,0.0,0.0,0.0,0.0,0.0,127.74163111903239,0.0,0.0,0.0,0.0,0.0,0.0,138.03902348095448,0.0,0.0,0.0,540.8565046589603
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4519475982957557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.167774998601985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.29857463535343,0.0,0.0,0.0,0.0,0.0,0.0,97.10899445756895,0.0,0.0,0.0,0.0,0.0,0.0,128.7815901240792,0.0,0.0,0.0,0.0,0.0,0.0,141.2809782969674,0.0,0.0,0.0,552.0898601108667
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4597397982815017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.692249998597255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.493377646323,0.0,0.0,0.0,0.0,0.0,0.0,97.99990266360969,0.0,0.0,0.0,0.0,0.0,0.0,131.55481413753725,0.0,0.0,0.0,0.0,0.0,0.0,141.96349510033897,0.0,0.0,0.0,559.1635793446877
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4651343982716457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.84209999859592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0128566539171,0.0,0.0,0.0,0.0,0.0,0.0,98.25444786533572,0.0,0.0,0.0,0.0,0.0,0.0,132.94142614426644,0.0,0.0,0.0,0.0,0.0,0.0,140.76909069443923,0.0,0.0,0.0,561.2850557548261
t8,0.0,0.0,0.0,0.0,0.0,0.0,4.177817999074679,0.0,0.0,0.0,0.467531998267311,0.0,0.0,0.0,1.3396589990449397,0.0,0.0,0.0,0.0,56.19374999861103,0.0,0.0,4.638157199065604,0.0,0.0,0.0,4.22576999906941,0.0,0.0,0.0,-8.33489732297184e-10,0.0,58.822987039463506,131.68818065729278,0.0,0.0,0.0,-8.251294366928423e-10,0.0,105.89396742051424,95.45445064635042,0.0,0.0,0.0,-8.360705132973337e-10,0.0,84.91499894783902,134.67469115267775,0.0,0.0,0.0,-8.31535613346852e-10,0.0,1.294384580166102e-6,137.35650667758327,0.0,0.0,0.0,819.8484700259123
