Zone,1,2,3,4,Total
AnnualSum,9.047547149549716,152.5835519837535,617.3244119611235,34.015453785163096,812.9709648795898
t1,1.7566546999448658,17.210745644934722,836.5087432820412,0.002819202475799286,855.4789628293967
t2,1.755831472523468,12.291511162530147,814.5491423909101,0.0024024597267696293,828.5988874856905
t3,1.7553069495280784,12.29077298549241,782.4639080876453,0.002184858245393086,796.5121728809113
t4,1.7548584512725967,12.290217155055435,745.9776611151269,0.0020346866161048576,760.024771408071
t5,1.7544094831747572,12.289563750900681,708.1485196358803,0.001914354664792261,722.1944072246206
t6,1.7538951129274845,12.28892692272127,648.9968316538925,0.0018039211994855954,663.0414576107407
t7,1.7532149748407773,12.288138120768357,605.997792897601,0.0016886652802488456,620.0408346584903
t8,1.7520622018922736,12.286892419533169,420.6959434497859,0.0015477377555879375,434.7364458089669
t9,1.7403738569930542,12.277498387496088,50.25432249938799,0.00147707492384931,64.27367181880099
t10,1.440799436903924e-6,1.7360339262610814e-6,1.7610128071580838e-6,1.1801644700993483e-6,6.118010640422437e-6
t11,1.460784316040412e-6,1.6362024146780382e-6,1.640028341316416e-6,1.1934239676303402e-6,5.930439039665206e-6
t12,1.4572488403302206e-6,1.5957359859179351e-6,1.6058571168879328e-6,1.1895593457909892e-6,5.848401288927078e-6
t13,1.457886154894653e-6,1.5922206364195848e-6,1.6209099982781805e-6,1.1901800386724828e-6,5.861196828264901e-6
t14,1.4621144743007369e-6,1.6202394925313267e-6,1.6844030557600758e-6,1.1944947298579419e-6,5.9612517524500814e-6
t15,1.472676603077183e-6,1.6981664492450482e-6,1.8347687310747942e-6,1.2054999100582867e-6,6.211111693455312e-6
t16,1.5020367412602667e-6,1.913477987777138e-6,2.24275689552332e-6,1.236818539762618e-6,6.895090164323343e-6
t17,2.344318362429237,16.444802173390368,866.5513128678822,0.0026047739517350683,885.3430381776535
t18,1.75391040015399,12.288873696489507,696.4961462399187,0.0018778701965420324,710.5408082067587
t19,1.7545074894888852,12.289618048048645,739.0347085448951,0.0020224970838865096,753.0808565795165
t20,1.7551459303431218,12.290454764449015,735.5791549811693,0.0022175379265151956,749.6269732138879
t21,1.7558602307598448,12.291538988815487,729.5018019914919,0.002506522430725399,743.551707733498
t22,1.7569312545312883,31.451473817959624,789.245981857915,0.003074513213181988,822.4574614436191
t23,1.77325983230908,46.98525340544787,844.1199357950529,0.01586792278464431,892.8943169555945
t24,1.770779316421817,47.694631322368835,839.369276622088,0.014047643129674579,888.8487349040083
t25,1.7706827394514482,47.69458504360258,839.3692008889465,0.013960302283466517,888.848428974284
t26,1.7702220266474087,47.69384014954346,839.3686677690658,0.013528283110136536,888.8462582283669
t27,1.7625707055333693,28.161567920621934,839.3662197482519,0.006652091175886084,869.2970104655831
t28,1.7562484670990317,12.29304028223127,813.5291090335922,0.0026294202837362996,827.5810272032063
t29,1.7553448173388597,12.290736275527136,760.4753713125086,0.0022442662579611654,774.5236966716326
t30,1.7546009005859629,12.289759827035429,703.3077229347819,0.0020116513551046767,717.3540953137584
t31,1.7537747561463588,12.288778021548193,657.8975926794936,0.0018248129164038797,671.9419702701047
t32,1.7525096848588342,12.287393455087368,469.54693740962733,0.0016368296315823327,483.58847737920513
t33,1.740611413836728,12.277848668318054,83.02620785869026,0.0015366154845167315,97.04620455632956
t34,1.439501506351701e-6,1.7377492959603487e-6,1.7649174473511268e-6,1.1789098588963585e-6,6.121078108559535e-6
t35,1.4608333036770737e-6,1.6438217199384195e-6,1.654050590231787e-6,1.1935432735287396e-6,5.9522488873760195e-6
t36,1.4587280515397138e-6,1.6143465490260595e-6,1.6395157014867615e-6,1.1911151663974226e-6,5.903705468449957e-6
t37,1.4619710054188649e-6,1.631750358573185e-6,1.6921740280035077e-6,1.194417623498313e-6,5.980313015493871e-6
t38,1.4721297763733737e-6,1.7052215816570418e-6,1.8389165171488747e-6,1.2049688570556559e-6,6.2212367322349454e-6
t39,1.5039396353175262e-6,1.924584641712215e-6,2.250090103639799e-6,1.23849091265595e-6,6.917105293325491e-6
t40,2.3436376997485766,16.444529071098675,581.3832923771569,0.0031494707677864682,600.1746086187719
t41,1.7556276942163318,12.290777454974764,687.2852900181792,0.002772859362531541,701.3344680267328
t42,1.7658760140443719,24.283355229673738,910.7063698639906,0.009093799034047917,936.7646949067429
t43,1.7642908292171249,135.46308097637504,839.3676639729543,0.008320915387810175,976.6033566939343
t44,1.7644049148217562,109.10201248590722,839.3678334793512,0.008416780205464738,950.2426676602857
t45,1.7645932153361081,96.02872727919429,839.3680701525243,0.008587516310949724,937.1699781633656
t46,1.7648162409285313,123.22597427367276,839.3682459856643,0.008789399406444479,964.367825899672
t47,1.773636989550119,178.566954152555,839.3708108545397,0.01714256816186995,1019.7285445648067
t48,1.7736663501542225,177.7535084662265,839.371060037716,0.01717683056004191,1018.9154116846568
t49,1.7733676080807863,177.75272270116227,839.3706090251247,0.016886782119725968,1018.9135861164875
t50,1.7650466277716794,177.17852372509714,839.3679566933099,0.008993412672575618,1018.3205204588513
t51,1.7638798151158526,129.86294214276006,839.3673953073791,0.00794042337477188,971.0021576886297
t52,1.7628724675801128,45.14090979833226,839.3665793022614,0.007060021497790362,886.2774215896715
t53,1.7561082492308122,12.291406731043944,803.2064941755397,0.002597876900211787,817.2566070327147
t54,1.7550714951099893,12.290196143923826,737.7394431598237,0.002184772219295524,751.7868955710768
t55,1.754113320703966,12.289100244893492,689.8716214412761,0.0019256737481233455,703.9167606806218
t56,1.7527657624086965,12.287643376996781,493.707307330193,0.0016981074874862238,507.74941457708593
t57,1.7407170669830114,12.277935831718604,77.13018855215778,0.0015723154573003774,91.15041376631669
t58,1.4405489002214383e-6,1.739683108721872e-6,1.767185226514477e-6,1.1799995728096075e-6,6.1274168082673956e-6
t59,1.4611357070535445e-6,1.6447975761882457e-6,1.655290778235314e-6,1.1939421809608964e-6,5.955166242438001e-6
t60,1.4589517420597571e-6,1.6157791316740447e-6,1.64035841482141e-6,1.1914174411864847e-6,5.906506729741696e-6
t61,1.4622137599834912e-6,1.632955051744019e-6,1.6934105350986895e-6,1.1947380876970105e-6,5.98331743452321e-6
t62,1.4725217067388277e-6,1.706776429534567e-6,1.841470648197362e-6,1.2054265023326342e-6,6.226195286803391e-6
