Line,1,2,3,4,5,Total
AnnualSum,219.35871251471744,-386.72922644433555,-461.8768133418374,-83.06768608199492,131.52362697834207,-580.7913863751085
t1,350.9920866639336,-585.2299439768941,-523.6832426916388,-147.30915312327187,158.75368228815395,-746.4765708397173
t2,337.85085005327596,-562.1503265444762,-523.6827527607486,-149.2963588886955,155.31088953190917,-741.9676986087352
t3,311.2251017585604,-525.1715850238054,-523.6826748288345,-150.0309436792056,149.92484375575117,-737.7352580175339
t4,277.00856387604904,-480.49132216462283,-523.6826113897968,-149.403007928516,143.14865525542038,-733.4197223514661
t5,244.4291097904142,-439.4728234636461,-523.6825584031902,-149.25679606228627,135.68124699851606,-732.3018211401924
t6,197.0037999241698,-371.68494303404964,-523.6824609923775,-144.17819976284878,123.74945868108301,-718.7923451840231
t7,164.27507191542347,-323.61311367921314,-523.6823899735149,-138.1721820693629,113.77936701350555,-707.4132467931619
t8,77.40448023322571,-164.5300564608415,-523.6820115467102,-99.1989021797322,71.17635075638977,-638.8301391976685
t9,52.821923345055524,-0.0014053975585208533,-356.68842094507374,-43.191155945661485,0.0009448449281416387,-347.05811409831006
t10,269.0685320948948,-197.20357238390528,-106.70694100779927,-32.61808628787263,33.635164898542094,-33.824902686140284
t11,266.88616016535724,-171.67492253658597,-102.00672263662959,-15.845372610289298,34.49657453547867,11.855716917331058
t12,266.43403907217663,-177.27407950898035,-102.76257023724214,-6.961759331834108,36.19310928256261,15.628739276682637
t13,282.86231853136314,-187.54683701714276,-109.23702934926405,-1.9853670875081326,39.458353852081416,23.551438929529617
t14,294.78782697018704,-197.10518108900436,-114.29441364247624,-0.7109681172406335,41.61050462266479,24.287768744130595
t15,302.97802391531354,-207.8858446432033,-118.43805633723565,-9.44200312287621,41.8621971614696,9.074316973467973
t16,302.6020005480916,-216.38293946372696,-119.65360075525868,-41.57068250476458,37.28524760618508,-37.71997456947352
t17,54.52643384372433,-103.51586153883058,-523.6815518258505,-68.05161094435638,55.922217869652606,-584.8003725956605
t18,195.94497496854612,-376.0675302728074,-523.6824999377309,-132.65143660462763,129.0844708461652,-707.3720210004545
t19,240.92212397505264,-453.89293375705495,-523.6825979245632,-139.01895607227937,140.46894246987927,-735.2034213089656
t20,239.38254568011845,-449.9812769961147,-523.6825607051893,-138.88516416196896,140.01223310653356,-733.154223076621
t21,236.2630425311351,-444.4458891740517,-523.6825390253781,-138.4920695170871,139.29089923269387,-731.066555952688
t22,282.74927133522135,-512.7842533555726,-523.6826556086645,-139.12149454187315,150.28119661356496,-742.557935557324
t23,319.9445211224134,-575.0674107627096,-523.6996173327238,-137.81150984987357,158.90263366913513,-757.7313831537585
t24,326.03732661669505,-586.340948885449,-523.6996808903162,-136.9333436051798,160.58172854950246,-760.3549182147476
t25,325.0697943638121,-582.0641081211119,-523.6996619021336,-135.53080644271265,160.8686444264785,-755.3561376756675
t26,322.21613813839446,-574.1531276228773,-523.6995718311088,-135.9956357776133,159.91111609207135,-751.7210810011335
t27,331.05112253428126,-576.6616262450729,-523.6976683343736,-137.6873811219463,160.24579699246974,-746.7497561746417
t28,316.056998527134,-547.6259151248487,-523.6827256280266,-138.9215571741102,156.435627119219,-737.7375722806324
t29,269.2896391616572,-483.0707886126319,-523.682610521746,-136.70972205986786,147.74889925338516,-726.4245827792034
t30,221.88484151433798,-415.9873214298357,-523.6825204228002,-134.11675270395602,136.8003886306686,-715.1013644115852
t31,188.52982034241302,-366.08306059043065,-523.6824591413919,-131.3344432684112,127.16124244955762,-705.408900208263
t32,95.4752041576353,-202.72198274243468,-523.6821403734988,-101.55225374619825,88.10534408816848,-644.3758286163279
t33,49.51937337219321,-0.0016164902975194346,-410.105419324759,-33.43244949242115,0.00125596814031529,-394.01885596714413
t34,290.63716725913804,-185.1585971585089,-111.1797359799624,-35.30481072884793,34.946250287503844,-6.059726320677363
t35,289.29395700732147,-181.47264353869602,-110.20081529014799,-18.940564652714375,37.162634962781816,15.842568488544902
t36,306.1789268975405,-186.76677864309758,-116.12165818896767,-10.182821408017343,40.84215927299127,33.94982793044919
t37,331.3245791557279,-198.65452996047722,-125.6843948328163,-3.638900001733365,45.61323894711472,48.959993307815765
t38,344.31259424623386,-220.4491921526677,-133.0469872578885,-6.172015129290363,48.15354489457213,32.79794460095941
