Zone,1,2,3,4
t1,124.7958526553829,127.31697257963107,122.32463720251383,124.79591673749066
t2,124.7821614636125,127.3030019616112,122.31121980058846,124.78222118270668
t3,124.78136479666749,127.30218319500105,122.31044317812375,124.78141803566777
t4,124.78112688285063,127.30193180340746,122.31021527935742,124.78117210639287
t5,124.78103228683567,127.30182558518912,122.31012770394693,124.78106808928628
t6,124.78083155519649,127.30160245791755,122.30994054163459,124.78085350041947
t7,124.78075438649667,127.30150605085005,122.3098731008259,124.78076421113052
t8,124.77984435666505,127.3004668113665,122.30903282942548,124.77979259000465
t9,113.2099771650595,115.49676795305783,113.20957770182386,113.21003438687963
t10,-677239.3364832564,-677239.3364654556,-677239.3364910862,-677239.3364689529
t11,-677239.3367592231,-677239.3367415885,-677239.336765999,-677239.3367432845
t12,-677239.3367962216,-677239.3367786211,-677239.3368032267,-677239.3367793657
t13,-677239.3367757577,-677239.336756894,-677239.3367831865,-677239.3367571059
t14,-677239.3367218439,-677239.3367020406,-677239.3367296696,-677239.3367021165
t15,-677239.3365400109,-677239.3365195511,-677239.3365482875,-677239.3365205617
t16,-677239.3290987358,-677239.3290783078,-677239.32910737,-677239.3290827695
t17,124.76477584490154,127.28500902063719,122.29431931535353,124.76471357173084
t18,124.7819082873872,127.3027004640184,122.3109952680589,124.78194024203835
t19,124.78120716237562,127.30200283006124,122.3102972650478,124.7812505048655
t20,124.78102765892837,127.30181917787628,122.31012181689191,124.78107060123992
t21,124.78091947768202,127.30170773370833,122.31001649644601,124.78096171368637
t22,124.7812718321962,127.30208134733232,122.31035344243703,124.78132732582812
t23,337.50294511325706,344.32117114272864,330.81970929139476,337.5030105071008
t24,337.5100390754298,344.32840977861423,330.8266614966765,337.51010659730935
t25,337.50836229709336,344.3266989134748,330.82501841087844,337.5084309209419
t26,337.48881847328477,344.3067596349259,330.80586249078937,337.4888860646988
t27,286.7194236169489,292.5117223933046,281.04180188738246,286.7194916779129
t28,124.78215404969096,127.30298948941487,122.31121421934257,124.78221775269279
t29,124.7811791261566,127.3019829359096,122.31026618327898,124.78123312843884
t30,124.78096680286338,127.30175083199663,122.31006665919806,124.78100802818831
t31,124.78098600028028,127.30175594790374,122.31009281545343,124.78101571595815
t32,124.78008533563052,127.30075147725248,122.30925019101443,124.78006802113104
t33,113.21073416492793,115.49752028287526,113.21022093492245,113.21087472258664
t34,-677239.336301997,-677239.3362825227,-677239.3363093272,-677239.3362863092
t35,-677239.3366970884,-677239.3366777197,-677239.3367042665,-677239.3366797479
t36,-677239.3367197455,-677239.3366990251,-677239.336727142,-677239.336700115
t37,-677239.3366494997,-677239.3366266857,-677239.33665739,-677239.3366270751
t38,-677239.3362905631,-677239.3362666266,-677239.3362993702,-677239.3362672871
t39,-677239.3243303148,-677239.3243032678,-677239.3243400523,-677239.324305541
t40,120.13859875480203,122.56551149892806,117.75992873402683,120.13879577947058
t41,120.13955381756483,122.56658775870889,117.7605708789,120.1396296171971
t42,286.7130184532326,292.5052009922911,281.035518814019,286.71310114745444
t43,286.7299823548883,292.5224917980804,281.0521512726179,286.73005221090557
t44,286.7274014904208,292.51985884386943,281.049621594355,286.72746862008637
t45,286.72706776868836,292.5195191251545,281.049294437161,286.72713303457016
t46,286.7273702708789,292.5198249088272,281.0495916981861,286.72743741624646
t47,335.71975257467363,342.5019463891946,329.0718286539268,335.7198210518988
t48,335.72582004292275,342.5081365705045,329.0777749593518,335.725891555154
t49,335.7223631290583,342.5046075424161,329.0743879084107,335.7224344981194
t50,286.76837188332905,292.561644891928,281.089783647196,286.7684423149699
t51,286.7282511717135,292.52071963130953,281.05045633162507,286.7283210989355
t52,286.72425083488605,292.5166478943721,281.0465333494279,286.72432013169487
t53,124.78174212534296,127.30256996409301,122.31081107633038,124.7818039544452
t54,124.78105573933483,127.30185475832984,122.31014759711472,124.78110311294958
t55,124.78103846765353,127.3018228785367,122.31013791950136,124.78107182272768
t56,124.78054495894159,127.3012570785737,122.30968941289463,124.78054317138673
t57,113.21028082644332,115.49707617771465,113.20967452262283,113.2104439664597
t58,-677239.3356588479,-677239.3356359244,-677239.3356683188,-677239.3356402547
t59,-677239.3365858748,-677239.3365626923,-677239.3365953495,-677239.3365643723
t60,-677239.3366807852,-677239.336656769,-677239.3366903039,-677239.336656668
t61,-677239.3366260125,-677239.3365998322,-677239.3366362232,-677239.3365986366
t62,-677239.3363346573,-677239.3363062455,-677239.3363455144,-677239.3363047745
t63,-677239.3265520667,-677239.3265233269,-677239.3265631726,-677239.3265231005
t64,120.13870205462067,122.56561139619734,117.7600080894017,120.13896108175459
t65,120.13982099570241,122.56685545759005,117.7608349773967,120.13994259588512
t66,286.72792721840625,292.5203867269662,281.0501412407248,286.7280545975384
t67,286.7302386547458,292.5227111646758,281.0524128153618,286.7303516082149
t68,286.72803952389853,292.520471385283,281.0502563695242,286.72814602226794
t69,286.72760566516655,292.52003596779736,281.0498300041003,286.72770701092696
t70,286.72761595975527,292.52004616538153,281.04983954579603,286.7277090126782
t71,360.1808318285624,367.4571593609511,353.0485352982057,360.18091577207394
t72,360.182996722009,367.459372254005,353.0506556802165,360.183080008368
t73,286.8488639983632,292.6437397716353,281.16868599243855,286.84894761799563
t74,286.72815426092143,292.5205977935932,281.05036611579754,286.728242784034
t75,286.7278755030801,292.52031822006415,281.05009256486875,286.7279696049152
t76,286.72771002343484,292.5201540679984,281.04993004703294,286.72780392826854
t77,286.72743714608026,292.51988370772386,281.0496611517268,286.7275252626268
t78,286.72554536462883,292.5179633542429,281.04780460913435,286.7256268080217
t79,124.78209753507487,127.30292963681187,122.31116073641624,124.78216866881645
t80,124.78067286607435,127.30144435082069,122.30978609887373,124.78072590988812
t81,120.13883921427902,122.56556660108032,117.76015328749769,120.13889256457
t82,-677239.3349674215,-677239.3349441364,-677239.3349771525,-677239.3349466637
t83,-677239.336657292,-677239.3366358236,-677239.3366663547,-677239.3366359968
t84,-677239.3367210364,-677239.3366985136,-677239.3367301769,-677239.3366978121
t85,-677239.3366911638,-677239.3366670874,-677239.3367006549,-677239.3366657252
t86,-677239.3365427761,-677239.3365167493,-677239.3365528167,-677239.3365153801
t87,-677239.3351333876,-677239.3351061863,-677239.3351437828,-677239.3351063007
t88,120.13774690087787,122.56460649169523,117.75975337970821,120.13853886559886
t89,120.13927382266893,122.56627751414696,117.76031544376893,120.13936253318373
t90,286.72172069062356,292.5140666289307,281.0440543811564,286.72182875244874
t91,286.88008887190955,292.67561261341683,281.19929161748166,286.8801959910128
t92,286.8436684053017,292.63845301329224,281.1635936702966,286.8437774033688
t93,286.72760533759475,292.5200487241156,281.0498282913867,286.7277110832807
t94,286.85412133019366,292.64911895831636,281.17383864773564,286.85422219121693
t95,335.6061011915017,342.38599409375047,328.96042965874346,335.60620219513123
t96,335.6043844726644,342.3842442977047,328.95874683942606,335.6044821597382
t97,335.59921917603054,342.3789749828359,328.95368395316336,335.59931179581736
t98,286.73297348077983,292.5255321651818,281.05508658921445,286.7330577439591
t99,286.727970414683,292.5204294393298,281.0501822134065,286.72804821949194
t100,286.72961074676346,292.52210734821324,281.0517893601584,286.7296878085811
t101,286.70915235942215,292.50124497863703,281.03173470743155,286.7092312030394
t102,124.78156602056583,127.302387402624,122.31064040865303,124.78164132869466
t103,124.78213588995229,127.302960681648,122.31120340225175,124.78220640395398
t104,124.77955589239934,127.30028023515419,122.30870255567035,124.77960706842512
t105,120.1375089053921,122.56377298132541,117.75985176070223,120.13831596037772
t106,-677239.3342096716,-677239.3341885677,-677239.3342178711,-677239.3341900206
t107,-677239.3365831407,-677239.3365625927,-677239.3365907912,-677239.3365620262
t108,-677239.3366853581,-677239.3366632271,-677239.3366938293,-677239.3366618834
t109,-677239.3366344362,-677239.336610104,-677239.3366435057,-677239.3366081958
t110,-677239.3365254416,-677239.3364989626,-677239.3365355673,-677239.3364969551
t111,-677239.3349424427,-677239.3349148493,-677239.3349528583,-677239.3349140026
t112,120.13663849403895,122.56347935219121,117.7596734807999,120.13848077515568
t113,120.1391571166885,122.56615424636028,117.76020682619327,120.13925244229802
t114,129.42443658338934,132.03906937502475,126.86156517072162,129.4245460230438
t115,286.7426097341128,292.53536160454513,281.06453340341017,286.7427114303556
t116,286.7275766278375,292.52001899342827,281.04979933271204,286.72767792461286
t117,286.7275322178451,292.5199698279422,281.04975647111377,286.7276306873497
t118,286.7283817006498,292.52082568734636,281.05059033687013,286.7284754893105
t119,360.2379956326667,367.5154829426071,353.10456657069375,360.2380894011682
t120,360.2355174120647,367.51295195441423,353.10213852316843,360.23560830230326
t121,286.7288121300919,292.52126214738934,281.05101273926846,286.72890218852365
t122,286.7278487340883,292.52028567924464,281.05006791110367,286.7279410692942
t123,286.72767415216225,292.52011299777837,281.04989648833316,286.7277704239693
t124,286.7272973324006,292.5197371375818,281.049526209595,286.7273950048776
t125,286.72454705430596,292.51693955132777,281.0468291088167,286.72464609185226
t126,124.78434148348883,127.30521550433929,122.31336123901674,124.78443751929024
t127,124.78174503055999,127.30255615101271,122.31082205291875,124.78182953448236
t128,124.78042438115139,127.30117388503761,122.30955122068029,124.78049116194155
t129,117.76808634399835,120.14652112926001,117.75994188022678,120.13843519375857
t130,-677239.3342663724,-677239.3342448019,-677239.3342751481,-677239.3342452922
t131,-677239.3365503139,-677239.3365285415,-677239.3365589364,-677239.3365267173
t132,-677239.3366191809,-677239.3365958085,-677239.3366283069,-677239.3365927921
t133,-677239.3364530914,-677239.3364268246,-677239.336463176,-677239.3364227484
t134,-677239.3345702228,-677239.3345420205,-677239.3345809787,-677239.3345379526
t135,117.7608367318507,120.13968217821566,117.76003189880264,120.13897392146077
t136,120.13943581765469,122.56639309453482,117.76053083250677,120.13961023881681
t137,124.78232635179468,127.30315978172143,122.31139619085971,124.78248444314
t138,327.13002354243787,333.73866992219536,320.65219972732086,327.13017402902165
t139,327.1175279204926,333.72588517474617,320.6399574404603,327.1176594144923
t140,286.72797320191313,292.52039097640164,281.05019458050293,286.7280998012031
t141,286.7276359411317,292.5200569951043,281.04986250788465,286.7277557657097
t142,286.7278812919323,292.52030217749177,281.05010298511974,286.7279960643919
t143,327.1252424619903,333.73376654139946,320.6475156469543,327.12535478489326
t144,327.12136530178094,333.7298073581653,320.6437159555241,327.1214716200213
t145,286.7285057845614,292.5209338975717,281.0507152219071,286.7286071795493
t146,286.72779695449293,292.5202232026819,281.05001896100697,286.7278930391553
t147,286.72762953677204,292.5200646942826,281.0498532025967,286.7277268663818
t148,286.72738276586495,292.51982460372756,281.0496094832935,286.72748327249286
t149,286.7260309378309,292.5184530340702,281.0482831669661,286.72613198888797
t150,124.78788075783262,127.30882874336183,122.3168287675596,124.7879753594084
t151,124.78180547275409,127.30261876241997,122.3108808310139,124.78188630455612
t152,124.77997897152217,127.3006949445859,122.30912394147688,124.78003255583285
t153,113.21269659213647,115.49929630731798,113.21144602084534,115.49780116582534
t154,-677239.336036332,-677239.336016025,-677239.336044486,-677239.3360164543
t155,-677239.3367011826,-677239.3366820437,-677239.3367087226,-677239.3366811064
t156,-677239.3367447552,-677239.336724835,-677239.33675251,-677239.3367230691
t157,-677239.3367210301,-677239.3366989008,-677239.3367296924,-677239.3366960277
t158,-677239.3365611094,-677239.3365364413,-677239.3365704603,-677239.3365326688
t159,-677239.3344720646,-677239.3344457645,-677239.3344824498,-677239.3344425266
t160,117.77007699204697,120.14903746052255,117.75973970450758,120.1386319722761
t161,120.13935990429344,122.56636716579901,117.76039848060975,120.13949554282686
t162,286.7257106074626,292.5181379089203,281.0479670835901,286.7258524163955
t163,286.7280511904734,292.52050692489223,281.0502660454603,286.7281811659522
