Zone,1,2,3,4
t1,-4.252202243562428e-5,-1.1344528443651937e-5,-6.291919524736636e-5,-0.00011264188416440309
t2,-4.3175518422752426e-5,-1.1531080933116766e-5,-6.374463163998297e-5,-0.00011434856477962858
t3,-4.4122952185826485e-5,-1.1827056964976363e-5,-6.516773398177055e-5,-0.00011700583085632686
t4,-4.554664018567461e-5,-1.2260145869421019e-5,-6.695828694955469e-5,-0.00011978682324293126
t5,-4.6443311282989886e-5,-1.2675769472543432e-5,-6.949840320442883e-5,-0.0001237026974286352
t6,-4.9175445465677376e-5,-1.346611258140831e-5,-7.294691649067002e-5,-0.00013006990180661624
t7,-5.147945384663578e-5,-1.4110409549277721e-5,-7.595292595646086e-5,-0.00013588827835246952
t8,-5.2613075965797854e-5,-1.4470686143968029e-5,-7.754675048461282e-5,-0.00013835919079627373
t9,-5.3593856798622936e-5,-1.4770181869027666e-5,-7.878359838180548e-5,-0.00014091635086365024
t10,-5.399334946391559e-5,-1.4884945733272909e-5,-7.919893223114784e-5,-0.00014089895004653632
t11,-5.69817505021728e-5,-1.5735572196957636e-5,-8.273499212704871e-5,-0.00014773087278382668
t12,-5.609618313189362e-5,-1.548419560970738e-5,-8.182261400213503e-5,-0.00014631292825576322
t13,-5.28024841174738e-5,-1.45441186445995e-5,-7.794732336447844e-5,-0.00013960641028852878
t14,-5.020965665266311e-5,-1.381534755043027e-5,-7.47896757741012e-5,-0.00013347803366524529
t15,-4.850148239763295e-5,-1.3272356485992314e-5,-7.257932312887012e-5,-0.0001289430357533193
t16,-4.817303852971854e-5,-1.3193209563870205e-5,-7.222317257486934e-5,-0.00012894309097420117
t17,-4.721581227625718e-5,-1.2899912245369849e-5,-7.083816404368502e-5,-0.00012575314562831658
t18,-4.70599528758928e-5,-1.2869750472325216e-5,-7.049957672467314e-5,-0.00012575647381399851
t19,-4.769234299091142e-5,-1.3022367070595267e-5,-7.083960940319723e-5,-0.0001257567957522893
t20,-4.801450343767371e-5,-1.3115374346280361e-5,-7.118255308526141e-5,-0.0001268084693759346
t21,-4.817710893502905e-5,-1.317799500721296e-5,-7.187829446251896e-5,-0.0001278775569629772
t22,-4.5110549516971294e-5,-1.2274115340313089e-5,-6.788968366162154e-5,-0.00012074313760406396
t23,-4.201377159068002e-5,-1.13570087548602e-5,-6.402696967827337e-5,-0.00011349542080776209
t24,-4.1270735723201305e-5,-1.1139185684251679e-5,-6.292166763302244e-5,-0.00011264850936157738
t25,-4.151565009724459e-5,-1.1211032893159259e-5,-6.319452692020256e-5,-0.00011264838143780469
t26,-4.2013679640389675e-5,-1.136929696900128e-5,-6.40268294897839e-5,-0.0001143549900312485
t27,-4.27817279982566e-5,-1.1607197114496647e-5,-6.516902581651384e-5,-0.00011611018001061812
t28,-4.440097348182976e-5,-1.2081117125748992e-5,-6.726614789446609e-5,-0.00011978728750772003
t29,-4.674975971648184e-5,-1.277962397813765e-5,-7.016284106802462e-5,-0.00012472151843684258
t30,-4.934577013936471e-5,-1.3564533609220174e-5,-7.367679034340324e-5,-0.00013119453279971996
t31,-5.147955194489802e-5,-1.4163505582701128e-5,-7.634575853240453e-5,-0.0001358887238302736
t32,-5.261318378358098e-5,-1.447070669959024e-5,-7.75469433462419e-5,-0.00013835969894868
t33,-5.3000695358781115e-5,-1.4581690878581332e-5,-7.79537058903344e-5,-0.00013835462508333455
t34,-5.1847740572972535e-5,-1.4216340223970217e-5,-7.594435196052049e-5,-0.00013586491034141735
t35,-5.2225662069829606e-5,-1.4324195662029558e-5,-7.633693464521511e-5,-0.00013586490082783856
t36,-4.9002223452470926e-5,-1.3368388550617087e-5,-7.222317061964431e-5,-0.00012894307106837012
t37,-4.496320951547911e-5,-1.2121567606139287e-5,-6.664628935886323e-5,-0.00011882653274823983
t38,-4.264769491084995e-5,-1.1405707728858897e-5,-6.318533914249913e-5,-0.00011347071325744377
t39,-4.0665431477352116e-5,-1.082424825193193e-5,-6.055503776735386e-5,-0.0001085675553261031
t40,-3.9291314778217476e-5,-1.04058318551124e-5,-5.8601912982166495e-5,-0.00010479927362574283
t41,-3.885232948556053e-5,-1.0268629815725669e-5,-5.789970251501271e-5,-0.00010407624131586632
t42,-3.896217518982205e-5,-1.0310679212243487e-5,-5.813379629248997e-5,-0.00010408034993525917
t43,-3.896252471817973e-5,-1.0310746900565992e-5,-5.813432817088013e-5,-0.00010408146600839327
t44,-3.907204384879403e-5,-1.0331803031023374e-5,-5.8134194227964166e-5,-0.00010408115068840466
t45,-3.951620124894934e-5,-1.049203399670688e-5,-5.884275669084364e-5,-0.00010554199805019254
t46,-3.8962424025595564e-5,-1.0321257819770204e-5,-5.836856542374827e-5,-0.0001040810587441959
t47,-3.7284653213684536e-5,-9.834751381012627e-6,-5.654335014430033e-5,-0.00010059769379308312
t48,-3.688616692498703e-5,-9.747603016951265e-6,-5.610395496167169e-5,-0.00010059805372662502
t49,-3.748704365072439e-5,-9.952938825130847e-6,-5.7215263840396654e-5,-0.00010196453039341616
t50,-3.810619788025538e-5,-1.0144663228907025e-5,-5.813452955543416e-5,-0.00010408195463516756
t51,-3.940436740938511e-5,-1.0524589480288947e-5,-6.0061607790557385e-5,-0.0001070442134570844
t52,-4.188745436498984e-5,-1.127135547249602e-5,-6.319321648957932e-5,-0.00011264490152371648
t53,-4.412302756032302e-5,-1.1946302552322799e-5,-6.635119814946129e-5,-0.00011791908676556359
t54,-4.6749740699668866e-5,-1.2705305138959493e-5,-6.949850847008608e-5,-0.00012370296902477508
t55,-4.867152096715624e-5,-1.3288815031060283e-5,-7.223129824063356e-5,-0.00012896509732101427
t56,-4.9689301344630325e-5,-1.3580996176163807e-5,-7.330961680458034e-5,-0.0001311930819106005
t57,-4.986182204807429e-5,-1.3630583180253988e-5,-7.367422006387747e-5,-0.00013118807955874636
t58,-4.5987066157933914e-5,-1.2486130608777598e-5,-6.851708214683719e-5,-0.00012169424561872704
t59,-4.55429177451831e-5,-1.2329708099103322e-5,-6.756921119946103e-5,-0.00012072339229757568
t60,-4.4397303163473514e-5,-1.198600960875581e-5,-6.604438548200316e-5,-0.0001178998279818592
t61,-4.138806875649151e-5,-1.1067415339920339e-5,-6.184333829504215e-5,-0.00011096619295785628
t62,-3.9289133951221e-5,-1.0416265119822665e-5,-5.907545944054827e-5,-0.00010552257619477577
t63,-3.906823650734927e-5,-1.0363033481612514e-5,-5.859758944086937e-5,-0.00010478730622428086
t64,-3.842140064153645e-5,-1.0164906874583666e-5,-5.766794834491835e-5,-0.00010335805959129317
t65,-3.8421939518132865e-5,-1.0134226016984626e-5,-5.721250989873698e-5,-0.00010265424238259789
t66,-3.907223192579182e-5,-1.0352983998199627e-5,-5.8368915552017745e-5,-0.00010408198800295376
t67,-3.9072381012042806e-5,-1.0342440270554245e-5,-5.813470291071273e-5,-0.00010408240752676452
t68,-3.918244809927059e-5,-1.037420563996677e-5,-5.836893793046834e-5,-0.00010408200025110252
t69,-3.997023600672903e-5,-1.0612154972755709e-5,-5.9324808796762755e-5,-0.000106288519949352
t70,-3.9293130083203206e-5,-1.0427516000939878e-5,-5.884310487335727e-5,-0.00010480731002774451
t71,-3.630339325076634e-5,-9.5675980617517e-6,-5.524478393233565e-5,-9.861572434562313e-5
t72,-3.555218007766517e-5,-9.338541347026047e-6,-5.420490562468494e-5,-9.670646670025293e-5
t73,-3.639877316767584e-5,-9.604970675855019e-6,-5.5456358676509946e-5,-9.926554752286565e-5
t74,-3.718392944628647e-5,-9.844476169347509e-6,-5.676504416890755e-5,-0.00010127489326345491
t75,-3.810614209949037e-5,-1.0134418638786689e-5,-5.813443021703466e-5,-0.00010336588426785437
t76,-3.962892516632281e-5,-1.0579181534796301e-5,-6.006170819786936e-5,-0.00010704449270543251
t77,-4.163860227736721e-5,-1.1210952170439018e-5,-6.292068789899765e-5,-0.0001118107815291711
t78,-4.357768223749798e-5,-1.1761792889263241e-5,-6.546137194236867e-5,-0.00011611091084465172
t79,-4.584207664585387e-5,-1.2429387372836315e-5,-6.82059384689116e-5,-0.0001217148936864727
t80,-4.7059832005076845e-5,-1.2794547195338392e-5,-6.982891682692502e-5,-0.00012472091050988706
t81,-4.75317284516309e-5,-1.2945524893072235e-5,-7.049787983590959e-5,-0.000125752173142038
t82,-4.721255201658788e-5,-1.2839083115632336e-5,-6.982147777714697e-5,-0.00012470067809680117
t83,-4.883422267130668e-5,-1.327235658423278e-5,-7.152085906715517e-5,-0.00012785616152512629
t84,-4.721254973134284e-5,-1.2749302598632786e-5,-6.916333972351977e-5,-0.00012368246366612704
t85,-4.4119372446955034e-5,-1.1787295425542488e-5,-6.458444631158473e-5,-0.0001160882136169341
t86,-4.188340312006202e-5,-1.1114736254822507e-5,-6.158148341054623e-5,-0.00011096618800363193
t87,-4.0429791449382955e-5,-1.0689149478848203e-5,-5.956088224674398e-5,-0.00010702389999911078
t88,-3.9402587385677905e-5,-1.0373881741200399e-5,-5.813117898789244e-5,-0.00010479894649285009
t89,-3.940315013020383e-5,-1.0342183820138986e-5,-5.789957092151647e-5,-0.00010407589111896225
t90,-3.9741961088350287e-5,-1.0470450686449218e-5,-5.8368599968291405e-5,-0.00010480688557413914
t91,-4.102829178877483e-5,-1.0824870763107376e-5,-6.006219645941801e-5,-0.00010781233166905851
t92,-4.2013509842081286e-5,-1.1139134512177046e-5,-6.132993213686719e-5,-0.00011017735639796569
t93,-4.317649975406442e-5,-1.1480998665358368e-5,-6.292066935975958e-5,-0.00011264577187184055
t94,-4.139242565563926e-5,-1.0985976070387827e-5,-6.081651722767724e-5,-0.0001093773846820823
t95,-3.9293515866711325e-5,-1.0406191470300122e-5,-5.860567301828895e-5,-0.000104809065939701
t96,-3.896291840363014e-5,-1.0310817692448514e-5,-5.836937269005758e-5,-0.00010480892472259426
t97,-3.8853845088388336e-5,-1.0279330535809534e-5,-5.8134890778078e-5,-0.00010408312875698694
t98,-3.8853529610926155e-5,-1.0300251161199873e-5,-5.836877077636226e-5,-0.00010480720204950022
t99,-3.9516337218258436e-5,-1.0502891368707085e-5,-5.932470556319991e-5,-0.00010628825338782531
t100,-4.078829122345574e-5,-1.087044263104921e-5,-6.107186783928984e-5,-0.00010858816487655665
t101,-4.4262096004496525e-5,-1.190640017272509e-5,-6.546079410757191e-5,-0.00011700887519165919
t102,-4.6291710883050865e-5,-1.251543640565462e-5,-6.820581813844546e-5,-0.00012171459458659965
t103,-4.81773218431407e-5,-1.30532646711019e-5,-7.049983291584172e-5,-0.00012575713041009748
t104,-4.951697051837591e-5,-1.3449823734662074e-5,-7.223092350618208e-5,-0.00012896417595288293
t105,-5.003703623487491e-5,-1.3597444066252942e-5,-7.258566071633936e-5,-0.00013006581889386728
t106,-4.9341529464425584e-5,-1.3320233068316408e-5,-7.117463282555393e-5,-0.0001278561942076553
t107,-4.985894181802349e-5,-1.3449314398985412e-5,-7.152084904292968e-5,-0.0001278561521030406
t108,-4.70559857201171e-5,-1.263121372978334e-5,-6.788233096131242e-5,-0.00012169419612996373
t109,-4.343872295217031e-5,-1.1568546579159352e-5,-6.346047142325021e-5,-0.00011347070296458415
