Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,0.0021873064627876276,1.263188804443215,0.0,0.0,0.0,0.0,0.0,6.9823810118752165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025651295264136394,8.680957083350775,0.0,0.0,0.0,0.0,0.0,0.0,0.002673379283724538,0.0,0.0,0.0,0.0001420149881055523,0.0,0.0,0.0,0.0,0.0,0.0,0.00014201446187900755,0.0,0.0,0.0,0.0,0.0,0.0,0.0001420223164684796,0.0,0.0,0.0,0.0,0.0,0.0,0.0001420113433057709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.002084090376209045,1.5216785747573658,0.0,0.0,0.0,0.0,0.0,8.418201115869774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002445448952819363,10.47355127865846,0.0,0.0,0.0,0.0,0.0,0.0,0.002548708789696058,0.0,0.0,0.0,0.0001347498869227635,0.0,0.0,0.0,0.0,0.0,0.0,0.0001347496154733851,0.0,0.0,0.0,0.0,0.0,0.0,0.00013475746656770453,0.0,0.0,0.0,0.0,0.0,0.0,0.00013474655748565919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.001970037602527361,1.7663674681452124,0.0,0.0,0.0,0.0,0.0,9.778170575136718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023130972377090205,12.172850621843118,0.0,0.0,0.0,0.0,0.0,0.0,0.0024107283194283527,0.0,0.0,0.0,0.0001267651141971666,0.0,0.0,0.0,0.0,0.0,0.0,0.0001267650793743863,0.0,0.0,0.0,0.0,0.0,0.0,0.00012677311130984996,0.0,0.0,0.0,0.0,0.0,0.0,0.00012676210359630728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0018416692457831076,1.99756132460164,0.0,0.0,0.0,0.0,0.0,11.060576386416223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021640164086213745,13.775700347810783,0.0,0.0,0.0,0.0,0.0,0.0,0.0022551262327494942,0.0,0.0,0.0,0.00011782140344051057,0.0,0.0,0.0,0.0,0.0,0.0,0.00011782159096081533,0.0,0.0,0.0,0.0,0.0,0.0,0.00011783009387313498,0.0,0.0,0.0,0.0,0.0,0.0,0.00011781875091188718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0016933034063752656,2.2149466756168237,0.0,0.0,0.0,0.0,0.0,12.261988815715826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019916005619660874,15.277350609976994,0.0,0.0,0.0,0.0,0.0,0.0,0.0020748831657576156,0.0,0.0,0.0,0.00010752796232717921,0.0,0.0,0.0,0.0,0.0,0.0,0.00010752831297740908,0.0,0.0,0.0,0.0,0.0,0.0,0.00010753785374519384,0.0,0.0,0.0,0.0,0.0,0.0,0.00010752578216840844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0015145287499310517,2.4180398704598014,0.0,0.0,0.0,0.0,0.0,13.383015338129585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017837887800654724,16.678899282002305,0.0,0.0,0.0,0.0,0.0,0.0,0.0018571465400566516,0.0,0.0,0.0,9.517474491324683e-5,0.0,0.0,0.0,0.0,0.0,0.0,9.517520937273093e-5,0.0,0.0,0.0,0.0,0.0,0.0,9.518671867372492e-5,0.0,0.0,0.0,0.0,0.0,0.0,9.517311683154646e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0012823022965054625,2.6059112632289656,0.0,0.0,0.0,0.0,0.0,14.415477864531503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001514013295723149,17.969150926417647,0.0,0.0,0.0,0.0,0.0,0.0,0.0015733689043220002,0.0,0.0,0.0,7.920096147981986e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.920130940912952e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.921730182050785e-5,0.0,0.0,0.0,0.0,0.0,0.0,7.920009273858568e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0009223307421112872,2.778824698998279,0.0,0.0,0.0,0.0,0.0,15.40059357881892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010977837500247333,19.20085737399309,0.0,0.0,0.0,0.0,0.0,0.0,0.0011314119684584494,0.0,0.0,0.0,5.497074225083285e-5,0.0,0.0,0.0,0.0,0.0,0.0,5.4970294144385034e-5,0.0,0.0,0.0,0.0,0.0,0.0,5.499964007004133e-5,0.0,0.0,0.0,0.0,0.0,0.0,5.497095568310305e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,6.80554691336194e-8,3.106950776113136,0.0,0.0,0.0,0.0,0.0,17.248442161696445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.819068808551246e-8,21.508079709691057,0.0,0.0,0.0,0.0,0.0,0.0,6.8508976225062e-8,0.0,0.0,0.0,7.182906964906476e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.180575204071866e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.184381892445686e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.18497620380753e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
