Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,-249568.80728076777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249561.82439369132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249568.5211880245,0.0,0.0,0.0,-252556.40147227538,0.0,0.0,0.0,0.0,0.0,0.0,-252558.93218785405,0.0,0.0,0.0,0.0,0.0,0.0,-252554.21190286844,0.0,0.0,0.0,0.0,0.0,0.0,-252556.62764299448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,-249547.88555369442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249541.40455819116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249547.62041886654,0.0,0.0,0.0,-252268.17045206,0.0,0.0,0.0,0.0,0.0,0.0,-252270.66560929647,0.0,0.0,0.0,0.0,0.0,0.0,-252266.03821451758,0.0,0.0,0.0,0.0,0.0,0.0,-252268.3888441502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,-249525.86621814437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249519.9177210357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249525.6232469022,0.0,0.0,0.0,-251950.2746359355,0.0,0.0,0.0,0.0,0.0,0.0,-251952.7390836052,0.0,0.0,0.0,0.0,0.0,0.0,-251948.2007002272,0.0,0.0,0.0,0.0,0.0,0.0,-251950.48436364377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,-249502.46972719254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249497.09382531355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249502.2507099958,0.0,0.0,0.0,-251596.12763204347,0.0,0.0,0.0,0.0,0.0,0.0,-251598.56651322878,0.0,0.0,0.0,0.0,0.0,0.0,-251594.11534188516,0.0,0.0,0.0,0.0,0.0,0.0,-251596.32801178592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,-249477.26115095883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249472.5137067335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249477.06880375533,0.0,0.0,0.0,-251195.37474081418,0.0,0.0,0.0,0.0,0.0,0.0,-251197.79357375516,0.0,0.0,0.0,0.0,0.0,0.0,-251193.4321945184,0.0,0.0,0.0,0.0,0.0,0.0,-251195.56509178836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,-249449.48499138615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249445.45200786696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249449.3236483984,0.0,0.0,0.0,-250729.8166890852,0.0,0.0,0.0,0.0,0.0,0.0,-250732.22166740012,0.0,0.0,0.0,0.0,0.0,0.0,-250727.9627994159,0.0,0.0,0.0,0.0,0.0,0.0,-250729.99630779875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,-249417.55187685133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249414.3936824175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249417.4292489971,0.0,0.0,0.0,-250160.59785052107,0.0,0.0,0.0,0.0,0.0,0.0,-250162.9965788564,0.0,0.0,0.0,0.0,0.0,0.0,-250158.8848928204,0.0,0.0,0.0,0.0,0.0,0.0,-250160.7668892712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,-249376.23631939242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249374.46124389162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249376.1728826637,0.0,0.0,0.0,-249358.74191175413,0.0,0.0,0.0,0.0,0.0,0.0,-249361.1427054972,0.0,0.0,0.0,0.0,0.0,0.0,-249357.4260097026,0.0,0.0,0.0,0.0,0.0,0.0,-249358.9049714627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,-148050.1099030192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148154.423458842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-147980.87982945165,0.0,0.0,0.0,-144570.2006141226,0.0,0.0,0.0,0.0,0.0,0.0,-144580.98538778647,0.0,0.0,0.0,0.0,0.0,0.0,-144564.13237225078,0.0,0.0,0.0,0.0,0.0,0.0,-144553.86758891676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
