Line,1,2,3,4,5,Total
AnnualSum,6262.477917152793,10682.673258163257,10333.45867224045,3928.596237486878,3366.975383039282,34574.181468082665
t1,7020.068676648132,11704.830356570812,10473.80969303294,2946.4120166517214,3175.301961350364,35320.42270425397
t2,6757.248345059452,11243.24251080016,10473.802676319661,2986.1607058804298,3106.450212973442,34566.904451033144
t3,6224.734069906896,10503.668403129761,10473.801564329047,3000.8530274493955,2998.7298765174723,33201.786941332575
t4,5540.40378603363,9610.063622625152,10473.800617000474,2988.2946195875884,2863.206508440198,31475.769153687044
t5,4888.815027123835,8789.693946716303,10473.799788353435,2985.3704732921765,2713.8586591420317,29851.537894627778
t6,3940.309417977337,7433.936923809651,10473.798268714429,2883.7988618046693,2475.223406952887,27207.06687925897
t7,3285.7351430036197,6472.500582757367,10473.797088469219,2763.6785624001286,2275.8218750016918,25271.533251632027
t8,1548.3246110117948,3290.8407046427815,10473.790667433774,1984.213570227227,1423.7628218727173,18720.932375188295
t9,1056.7101573641116,0.5457565421874137,7134.028815476996,864.0957263607064,0.5158959629031159,9055.896351706904
t10,20265.29997302995,25523.099970572996,10474.199977626595,15359.399975325792,6230.699979654024,77852.69987620934
t11,20265.299973045858,25523.09997059308,10474.199977640372,15359.399975341776,6230.699979665985,77852.69987628706
t12,20265.29997305091,25523.099970590796,10474.199977643395,15359.399975346265,6230.699979667562,77852.69987629894
t13,20265.299973051533,25523.09997059576,10474.199977642105,15359.399975345263,6230.699979667229,77852.6998763019
t14,20265.299973050012,25523.099970595904,10474.199977640847,15359.399975344186,6230.699979665433,77852.69987629638
t15,20265.29997304075,25523.099970584528,10474.199977634793,15359.399975337663,6230.699979660567,77852.6998762583
t16,20265.299972866163,25523.099970395437,10474.19997748215,15359.399975172459,6230.699979525548,77852.69987544176
t17,1090.7665282282535,2070.5602111440553,10473.783520272837,1361.2710645761547,1118.6821850432464,16115.063509264546
t18,3919.1324188505423,7521.588087802978,10473.798747224597,2653.263350968892,2581.9231503990018,27149.705755246014
t19,4818.67483570299,9078.09552556433,10473.800268901572,2780.6133193267574,2809.612099335656,29960.796048831304
t20,4787.883769574831,8999.862920372609,10473.799815610946,2777.938088663061,2800.4782156394713,29839.962809860917
t21,4725.493956929943,8889.15542894964,10473.7995331981,2770.0764625574834,2786.0516948149743,29644.577076450143
t22,5655.217678873951,10255.921845751176,10473.801278489524,2782.6644023641934,3005.856927094497,32173.462132573342
t23,6398.979163883316,11501.438688131766,10474.0488541455,2756.320082971677,3178.1412816692596,34308.928070801514
t24,6520.834558541697,11726.908719368254,10474.049697091372,2738.7559175777324,3211.722645899135,34672.271538478184
t25,6501.48414012984,11641.37214257075,10474.049451998411,2710.705483244534,3217.4611169631326,34545.07233490667
t26,6444.411948184776,11483.1534911978,10474.048219830076,2720.0031456763604,3198.3113098153053,34319.928114704315
t27,6621.128080879498,11533.340232655519,10474.020604391535,2753.854892446702,3205.021135053013,34587.36494542627
t28,6321.371540744492,10952.754422852453,10473.802263249305,2778.6650427236586,3128.944992792123,33655.53826236203
t29,5386.025285362621,9661.65285467167,10473.800580052779,2734.4291720811907,2955.211197926075,31211.119090094333
t30,4437.92990941718,8319.98409598512,10473.799192447977,2682.5701023591027,2736.241492985041,28650.524793194425
t31,3770.8297350177604,7321.899115756989,10473.798181779182,2626.9239012520497,2543.45885961408,26736.90979342006
t32,1909.7385814475842,4054.6786923475584,10473.792824616285,2031.2805638525192,1762.3420578528223,20231.832720116774
