Region,Resource,Zone,Cluster,AnnualSum
East,East_batteries_1,1,1,-284.1216953641097
East,East_conventional_hydroelectric_1,1,1,-420.21529562437286
East,East_landfill_gas_1,1,1,-1513.789215468577
East,East_natural_gas_internal_combustion_engine_1,1,1,10.505372098810561
East,East_petroleum_liquids_with_gt_1,1,1,44.48723988150224
East,East_petroleum_liquids_with_ic_1,1,1,6.118744310606051
East,East_solar_photovoltaic_1,1,1,-28335.081909294848
North,North_conventional_hydroelectric_1,2,1,-2519.9393750080612
North,North_landfill_gas_1,2,1,-1513.6296228514905
North,North_natural_gas_internal_combustion_engine_1,2,1,75.15426754601215
North,North_onshore_wind_turbine_1,2,1,-203.96622398011024
North,North_petroleum_liquids_with_cc_1,2,1,949.0671669518517
North,North_petroleum_liquids_with_gt_1,2,1,0.0019726268527760957
North,North_petroleum_liquids_with_st_1,2,1,15.288011810550076
North,North_solar_photovoltaic_1,2,1,-7556.349902609827
South,South_batteries_1,3,1,-1230.7989722215243
South,South_conventional_hydroelectric_1,3,1,-3188.5415695834054
South,South_natural_gas_fired_combined_cycle_1,3,1,1664.4587538845528
South,South_natural_gas_steam_turbine_1,3,1,2307.7690278927944
South,South_onshore_wind_turbine_1,3,1,-33179.97028461344
South,South_petroleum_liquids_with_gt_1,3,1,0.0025532873804046024
South,South_petroleum_liquids_with_st_1,3,1,0.0031569425409254583
South,South_solar_photovoltaic_1,3,1,-24784.502264161296
West,West_batteries_1,4,1,-3974.1437445647443
West,West_petroleum_liquids_with_gt_1,4,1,222.9611762659577
West,West_petroleum_liquids_with_ic_1,4,1,0.904494324790024
West,West_solar_photovoltaic_1,4,1,-25527.15694961671
East,East_battery_moderate_0,1,0,-0.0033470972117107724
East,East_naturalgas_ctavgcf_moderate_0,1,0,-9.469275043797185e-5
East,East_naturalgas_ccavgcf_moderate_0,1,0,-0.00011427261691248218
East,East_microgrid_solar_moderate_0,1,0,-1.0449893942306531e-5
East,East_microgrid_diesel_moderate_0,1,0,-1.0358063515863846e-5
East,East_utilitypv_class1_moderate_1,1,1,-509188.8594807663
East,East_landbasedwind_class3_moderate_1,1,1,-84441.7976296838
North,North_battery_moderate_0,2,0,-0.0033471961143144175
North,North_naturalgas_ctavgcf_moderate_0,2,0,-9.465381362468906e-5
North,North_naturalgas_ccavgcf_moderate_0,2,0,-0.00011424641011344755
North,North_microgrid_solar_moderate_0,2,0,-1.04981496020057e-5
North,North_microgrid_diesel_moderate_0,2,0,-1.0348926708930686e-5
North,North_utilitypv_class1_moderate_1,2,1,-779676.6522234849
North,North_landbasedwind_class3_moderate_1,2,1,-61275.8214221183
South,South_battery_moderate_0,3,0,-0.0033460533121492052
South,South_naturalgas_ctavgcf_moderate_0,3,0,-9.472990591996146e-5
South,South_naturalgas_ccavgcf_moderate_0,3,0,-0.00011429793632352587
South,South_microgrid_solar_moderate_0,3,0,-1.053688236807033e-5
South,South_microgrid_diesel_moderate_0,3,0,-1.0366625169947722e-5
South,South_utilitypv_class1_moderate_1,3,1,-767068.0607443232
South,South_landbasedwind_class3_moderate_1,3,1,-87109.2032695139
West,West_battery_moderate_0,4,0,-0.003347093486846264
West,West_naturalgas_ctavgcf_moderate_0,4,0,-9.469176009285493e-5
West,West_naturalgas_ccavgcf_moderate_0,4,0,-0.00011427211636509121
West,West_microgrid_solar_moderate_0,4,0,-1.034060005516216e-5
West,West_microgrid_diesel_moderate_0,4,0,-1.0357680229594627e-5
West,West_utilitypv_class1_moderate_1,4,1,-0.0014034627632433137
West,West_landbasedwind_class3_moderate_1,4,1,-67645.09629158031
North,North_to_south_underground_line,2,0,0.0
East,North_to_east_underground_line,1,0,0.0
West,South_to_west_underground_line,4,0,0.0
