Constraint,CapRes_1
t1,3.4635191143764715e-8
t2,3.2740155341288276e-8
t3,3.0496849528833486e-8
t4,2.8090298186245083e-8
t5,2.5986167335105708e-8
t6,2.3007731597582062e-8
t7,2.1117075871632968e-8
t8,1.697890940254401e-8
t9,1.1629355862809616e-8
t10,8.494894908872919e-9
t11,6.4778644192050576e-9
t12,5.92835649476051e-9
t13,6.513952754330105e-9
t14,7.463201901374869e-9
t15,8.880478667611178e-9
t16,1.1025793754495447e-8
t17,1.6352203703592856e-8
t18,2.3925611729437292e-8
t19,2.6325173566587414e-8
t20,2.6065120779389903e-8
t21,2.5736468191693598e-8
t22,3.0031630036777424e-8
t23,3.6167854777497686e-8
t24,3.700156961295783e-8
t25,3.675116339495525e-8
t26,3.61472252816185e-8
t27,3.4410262726475786e-8
t28,3.117159498797022e-8
t29,2.7566150100436083e-8
t30,2.440383830635308e-8
t31,2.2357548285040416e-8
t32,1.7874185176149138e-8
t33,1.2091924989566544e-8
t34,9.185598680908736e-9
t35,7.508330591981125e-9
t36,7.572364976127244e-9
t37,8.71981691293427e-9
t38,1.0559117880296872e-8
t39,1.270085883179776e-8
t40,1.6863805044795654e-8
t41,2.5581616163298185e-8
t42,3.918106720033385e-8
t43,4.4848458811722155e-8
t44,4.460145297580438e-8
t45,4.283055718593528e-8
t46,4.566667255993228e-8
t47,5.391530449277773e-8
t48,5.472484225799116e-8
t49,5.292553258193911e-8
t50,5.1266301624937875e-8
t51,4.487748015145667e-8
t52,3.639475643389233e-8
t53,3.10842918520374e-8
t54,2.6908288718660916e-8
t55,2.4400209840283627e-8
t56,1.9163816982350454e-8
t57,1.252302391118708e-8
t58,1.0665199839577744e-8
t59,9.041980660904411e-9
t60,8.546010902719557e-9
t61,9.490207248377364e-9
t62,1.1168702991198471e-8
t63,1.3093759592430933e-8
t64,1.746484527374643e-8
t65,2.665492560287898e-8
t66,4.758003096594427e-8
t67,5.9190014169073686e-8
t68,5.7504188365090864e-8
t69,5.220833417374972e-8
t70,5.4348560492715715e-8
t71,7.151319744949e-8
t72,7.527926425428507e-8
t73,7.085101658956774e-8
t74,6.347210437403962e-8
t75,5.715256849116972e-8
t76,4.9646232277160305e-8
t77,4.12687909393451e-8
t78,3.518052153594064e-8
t79,3.004117843697886e-8
t80,2.3191025028761755e-8
t81,1.49497321602722e-8
t82,1.076904438780998e-8
t83,8.207426242142775e-9
t84,7.806394062748466e-9
t85,8.536618523741643e-9
t86,9.936640092207233e-9
t87,1.2138196958790225e-8
t88,1.625720158148612e-8
t89,2.3900367787124004e-8
t90,4.160303361492185e-8
t91,4.6594754092673e-8
t92,4.4875354732044866e-8
t93,4.130071630315238e-8
t94,4.5706052283155665e-8
t95,4.9345016532289905e-8
t96,4.9943796172771416e-8
t97,5.02270218364642e-8
t98,4.974362445854666e-8
t99,4.659888143259333e-8
t100,4.183352892207436e-8
t101,3.311519180207876e-8
t102,2.973722287302895e-8
t103,2.762141129602226e-8
t104,2.122943337292988e-8
t105,1.4165537770184138e-8
t106,1.0678885970101869e-8
t107,8.67680938226765e-9
t108,8.308622213471237e-9
t109,9.18929432587498e-9
t110,1.0072896033177234e-8
t111,1.2173692048455626e-8
t112,1.5854429361142505e-8
t113,2.252477853283009e-8
t114,3.690476831330452e-8
t115,4.6685390881097895e-8
t116,4.8062157772836717e-8
t117,4.781126938579913e-8
t118,5.489294821522946e-8
t119,6.05265831014489e-8
t120,5.887546031313761e-8
t121,5.401278890315458e-8
t122,4.888393325917927e-8
t123,4.337902602284148e-8
t124,3.683281892701991e-8
t125,3.1890750208016625e-8
t126,2.906213920533332e-8
t127,2.658555369435195e-8
t128,2.1284110351512422e-8
t129,1.3649808374853486e-8
t130,1.0570121227737469e-8
t131,8.92265731347772e-9
t132,8.969466204595083e-9
t133,1.0344724202171456e-8
t134,1.2443624360297053e-8
t135,1.5724638274538725e-8
t136,2.045353883332196e-8
t137,3.104894179606688e-8
t138,5.1984622126805673e-8
t139,6.188415730277943e-8
t140,5.7929051896322484e-8
t141,5.3357244533295455e-8
t142,5.8676632927109204e-8
t143,6.736253739772582e-8
t144,6.582081153387413e-8
t145,5.895301776094595e-8
t146,5.147006306309439e-8
t147,4.543525962407947e-8
t148,3.9101870384763155e-8
t149,3.3691347820583545e-8
t150,2.9665788551493488e-8
t151,2.661622408797165e-8
t152,2.03762593938821e-8
t153,1.315985384879701e-8
t154,9.552103175831786e-9
t155,7.449880582226221e-9
t156,7.14674711106569e-9
t157,7.797498386648751e-9
t158,9.37713947503684e-9
t159,1.1540740787439415e-8
t160,1.5058944703166064e-8
t161,2.2390572229395012e-8
t162,3.598801658166768e-8
t163,3.8986893585468464e-8
t164,3.7712392526912634e-8
t165,3.662809136574071e-8
t166,4.0939170743026025e-8
t167,4.921153682004372e-8
t168,5.056004447787027e-8
t169,4.871900118370197e-8
t170,4.422351722602124e-8
t171,3.9807983054804454e-8
t172,3.452816306005352e-8
t173,3.001771750042613e-8
t174,2.6506693119683564e-8
t175,2.453618725351371e-8
t176,1.8726566232473493e-8
t177,1.273979755294865e-8
t178,9.454587055933005e-9
t179,7.273755545777068e-9
t180,6.777068860285118e-9
t181,7.293832111504187e-9
t182,8.364612041692262e-9
t183,1.0185041690044555e-8
t184,1.2911496331794321e-8
t185,1.9351699843694096e-8
t186,3.05005903109054e-8
t187,3.1531070686654414e-8
t188,3.154986477122492e-8
t189,2.9950091659283925e-8
t190,3.423751397426128e-8
t191,4.153420438741756e-8
t192,4.366554375458832e-8
t193,4.3228598340386636e-8
t194,4.148263234568759e-8
t195,3.8888641876190435e-8
t196,3.499265351764216e-8
t197,3.0900367682519184e-8
t198,2.741701193388713e-8
t199,2.530175491528626e-8
t200,2.0311825249028382e-8
t201,1.4050096800899155e-8
t202,1.105672631832503e-8
t203,9.13339019195566e-9
t204,9.230033622768977e-9
t205,1.0465302965195546e-8
t206,1.2496529289884756e-8
t207,1.7175567340068067e-8
t208,2.7344066988580393e-8
t209,4.9985487663929366e-8
t210,8.920518826276883e-8
t211,1.0009020648331743e-7
t212,9.641975250029159e-8
t213,8.632633740891083e-8
t214,9.263034278289212e-8
t215,1.1660206271456615e-7
t216,1.2060684701753032e-7
t217,1.1322932583600318e-7
t218,9.959751577701944e-8
t219,8.052025325847962e-8
t220,5.914530177112838e-8
t221,4.7281488586800036e-8
t222,3.923795545750389e-8
t223,3.524138837765467e-8
t224,2.9217811986038575e-8
t225,2.3021464601724004e-8
t226,1.9468185154052485e-8
t227,1.3816168087943803e-8
t228,1.2115174441682505e-8
t229,1.3310612986330921e-8
t230,1.5994622658957415e-8
t231,1.9338796452746806e-8
t232,2.789557113228042e-8
t233,4.9016642740206005e-8
t234,1.1057880731320498e-7
t235,1.4477851784788366e-7
t236,1.332344383438521e-7
t237,1.21959604986753e-7
t238,1.3658387495314563e-7
t239,2.0902815933236065e-7
t240,2.2904457200835278e-7
t241,2.0450996105445656e-7
t242,1.6902847585824433e-7
t243,1.2085546023575596e-7
t244,7.802563141150953e-8
t245,5.63196722632471e-8
t246,4.6277404178784986e-8
t247,3.978422042867116e-8
t248,2.9001918038195e-8
t249,1.87438804511848e-8
t250,1.4850324991156372e-8
t251,1.2170474198563467e-8
t252,1.1101228323298944e-8
t253,1.2113087396208066e-8
t254,1.4590399273883655e-8
t255,1.8308438104383342e-8
t256,2.5752693322627134e-8
t257,4.257586278541309e-8
t258,9.68041991334133e-8
t259,1.3289053471379564e-7
t260,9.553808049126695e-8
t261,8.849618745716689e-8
t262,9.127247921424155e-8
t263,1.0482212895462859e-7
t264,7.504954436986992e-8
t265,6.826550559993881e-8
t266,6.218966325198444e-8
t267,5.406852445692244e-8
t268,4.306563447957218e-8
t269,3.6594996333690426e-8
t270,3.201130274041767e-8
t271,1.9044018160901162e-8
t272,2.6664216863093604e-8
t273,1.7412508869744968e-8
t274,1.3448648976578954e-8
t275,1.1367731088253526e-8
t276,1.040920228886884e-8
t277,1.1114487377226425e-8
t278,1.2456820785526092e-8
t279,1.4882811358218703e-8
t280,1.962779509129809e-8
t281,2.8979529632862666e-8
t282,5.241751192380978e-8
t283,6.418747253952118e-8
t284,6.008994646587388e-8
t285,5.787712482620054e-8
t286,6.402268666730092e-8
t287,7.848298489487134e-8
t288,8.262467002142907e-8
t289,7.881128457778348e-8
t290,7.532095507328366e-8
t291,6.09801746977903e-8
t292,4.556914774229364e-8
t293,3.654426023567738e-8
t294,3.164893288333344e-8
t295,1.790986317537463e-8
t296,1.8457592610168053e-8
t297,1.2650133192849183e-8
t298,1.0250139143089212e-8
t299,8.891371903456041e-9
t300,8.558708562939429e-9
t301,9.426843409643545e-9
t302,1.0965762144096508e-8
t303,1.3753029128026173e-8
t304,1.8307909494762005e-8
t305,2.7071562222660648e-8
t306,4.7521818523880265e-8
t307,5.366073235049134e-8
t308,5.122548165056325e-8
t309,4.74918532693618e-8
t310,5.121766683352926e-8
t311,5.6358536444083035e-8
t312,5.57921983613249e-8
t313,5.134219135658743e-8
t314,4.662344538765719e-8
t315,4.193110675292013e-8
t316,3.672327758105951e-8
t317,3.208037585730443e-8
t318,2.8845493112773086e-8
t319,2.7343750174976155e-8
t320,2.0212238949780438e-8
t321,1.3778626687476943e-8
t322,1.0540215643417841e-8
t323,8.480367157653417e-9
t324,8.182857980077054e-9
t325,8.93525656813808e-9
t326,1.0468867215274229e-8
t327,1.265042353886738e-8
t328,1.6109425991343736e-8
t329,2.35608585987345e-8
t330,3.9043068997869884e-8
t331,4.492810212820942e-8
t332,4.325599246699985e-8
t333,4.2449322570054704e-8
t334,4.861228412122148e-8
t335,5.5147317631638956e-8
t336,5.593202020369347e-8
t337,5.021322177572903e-8
t338,5.040544529161656e-8
t339,4.57712865944085e-8
t340,4.05580852385058e-8
t341,3.480336198322754e-8
t342,3.089179901690479e-8
t343,2.858827585179724e-8
t344,2.2137628192824675e-8
t345,1.434313605764728e-8
t346,1.049321491016817e-8
t347,8.006823558704987e-9
t348,7.3007925395785164e-9
t349,7.73779664225129e-9
t350,8.846604121967195e-9
t351,1.0776555336845725e-8
t352,1.3632603921448803e-8
t353,2.0232397877282856e-8
t354,3.227059160341438e-8
t355,3.6078470869236604e-8
t356,3.423620233225956e-8
t357,3.334621899674373e-8
t358,3.8785526403219045e-8
t359,4.848531485358199e-8
t360,5.261421498017433e-8
t361,5.20639147559474e-8
t362,5.113090109643437e-8
t363,4.9572530059859804e-8
t364,4.512435448675357e-8
t365,3.9400291728415094e-8
t366,3.4276177127002375e-8
t367,3.122226206812466e-8
t368,2.1786118242614484e-8
t369,1.4765131037567876e-8
t370,1.1550887922287251e-8
t371,9.284793356369457e-9
t372,9.19564751978315e-9
t373,1.0351575630898214e-8
t374,1.2174495101899309e-8
t375,1.5249223535222585e-8
t376,2.150368302540694e-8
t377,3.3192265474156536e-8
t378,5.7021423232236626e-8
t379,6.541138940533488e-8
t380,6.130041201420057e-8
t381,5.6800031662077274e-8
t382,5.835849861621916e-8
t383,6.55351571106367e-8
t384,1.0249149396282558e-7
t385,9.67209678593911e-8
t386,9.172031020458013e-8
t387,7.710921636204213e-8
t388,5.8600667742260106e-8
t389,4.828617492119518e-8
t390,4.142640051965926e-8
t391,3.78320416054811e-8
t392,2.8371417635772766e-8
t393,1.8038617978716505e-8
t394,1.4341090953637197e-8
t395,1.2339310756431711e-8
t396,1.1368526275280733e-8
t397,1.2296487639857322e-8
t398,1.4796461384406817e-8
t399,1.806467502057509e-8
t400,2.5277858481165692e-8
t401,4.3287064550504364e-8
t402,1.0394352529876265e-7
t403,1.409125069052993e-7
t404,1.3003119412673082e-7
t405,1.1403974811053186e-7
t406,1.1473430251939558e-7
t407,1.5098450627792126e-7
t408,1.808556522727139e-7
t409,1.6663177847626034e-7
t410,1.450584280341681e-7
t411,1.0922094613016276e-7
t412,7.393506606741647e-8
t413,5.336801529033095e-8
t414,4.351804044773075e-8
t415,3.746210216886109e-8
t416,1.8665026121096906e-8
t417,1.3145836918350292e-8
t418,1.062838498004879e-8
t419,8.820199590371839e-9
t420,8.555987901890918e-9
t421,9.02451712214042e-9
t422,1.0218278489241727e-8
t423,1.2541143590998082e-8
t424,2.1413228554176515e-8
t425,3.1588837703469105e-8
t426,5.5797250182252e-8
t427,6.61023271639418e-8
t428,6.748145631676715e-8
t429,6.140161372202042e-8
t430,6.396729392690086e-8
t431,7.556892519614858e-8
t432,8.389301555058119e-8
t433,7.985804737637495e-8
t434,7.487017498494877e-8
t435,5.90467492237991e-8
t436,4.465713939522931e-8
t437,3.234526090719865e-8
t438,2.7867667727171996e-8
t439,2.5156090534419297e-8
t440,2.0879328967562774e-8
t441,1.4203477158618496e-8
t442,1.1457318717109396e-8
t443,9.941278125686756e-9
t444,9.29432917815993e-9
t445,1.0125239672655037e-8
t446,1.1809576913214303e-8
t447,1.483310744530536e-8
t448,1.9657107904641375e-8
t449,3.0582847986711834e-8
t450,5.884504548952768e-8
t451,7.47082028159927e-8
t452,7.205540768786335e-8
t453,6.878585575209063e-8
t454,6.775362566301595e-8
t455,8.171197272081098e-8
t456,8.617044759864614e-8
t457,8.160602316901938e-8
t458,7.56646754818443e-8
t459,6.129269052399203e-8
t460,4.59775083311509e-8
t461,3.711664022775496e-8
t462,3.2366897244155875e-8
t463,2.918498128682735e-8
t464,2.1440439355759353e-8
t465,1.4100218260188967e-8
t466,1.1019205873233915e-8
t467,9.463625761161818e-9
t468,8.749369687752289e-9
t469,9.412877615074257e-9
t470,1.1055608091138496e-8
t471,1.360607294553846e-8
t472,1.796415751902104e-8
t473,2.8001312957337592e-8
t474,5.5746781235403945e-8
t475,6.886414925308475e-8
t476,6.788910124963589e-8
t477,6.453955819061261e-8
t478,6.697554115900483e-8
t479,7.054673626420344e-8
t480,6.90421318407143e-8
t481,6.431189370881756e-8
t482,6.163146550329432e-8
t483,5.619828778937079e-8
t484,4.9913297116201946e-8
t485,4.283975213304331e-8
t486,3.767423111792747e-8
t487,3.388317312277502e-8
t488,2.2843400981839935e-8
t489,1.5196431662956324e-8
t490,1.1108270007642194e-8
t491,8.808040335969749e-9
t492,8.324709475205878e-9
t493,9.204590130892392e-9
t494,1.1208220117130486e-8
t495,1.355228477315853e-8
t496,1.7719528795221624e-8
t497,2.8325804644757776e-8
t498,4.290025352248929e-8
t499,4.700085077760404e-8
t500,4.502688506933539e-8
t501,4.43786558828473e-8
t502,5.071851735748983e-8
t503,6.195360928981686e-8
t504,6.39109777634108e-8
t505,5.985853582722754e-8
t506,5.3210590128800585e-8
t507,4.779682040943281e-8
t508,4.1466017609886987e-8
t509,3.5687282127266566e-8
t510,3.053021160789867e-8
t511,2.739464195484053e-8
t512,2.0462816862914147e-8
t513,1.3881990263476495e-8
t514,9.954308888588326e-9
t515,7.48871242831131e-9
t516,6.869634198275154e-9
t517,7.287816363062115e-9
t518,8.438848796497506e-9
t519,1.0079499244708034e-8
t520,1.2320568687368727e-8
t521,1.674076673252766e-8
t522,2.5350427305891697e-8
t523,2.9567199432089727e-8
t524,2.865528466222495e-8
t525,2.8277867730454043e-8
t526,3.2364885336211496e-8
t527,3.6667577613679455e-8
t528,3.736805389833205e-8
t529,3.653606262301167e-8
t530,3.4422496742872903e-8
t531,3.2243880232121024e-8
t532,2.9098823817682082e-8
t533,2.5659718334741186e-8
t534,2.3379256500235877e-8
t535,2.1765587672616133e-8
t536,1.7528874234552083e-8
t537,1.2120966444838977e-8
t538,8.854064500765966e-9
t539,7.299823533396711e-9
t540,7.4212665781313155e-9
t541,8.356155803474194e-9
t542,9.953479888825004e-9
t543,1.2378420732460984e-8
t544,1.6622629656133506e-8
t545,2.415903841117991e-8
t546,4.2147728210389644e-8
t547,5.067826859386276e-8
