Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
East_batteries_1,1,3.6,0.0,0.0,3.6,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0
East_conventional_hydroelectric_1,1,6.6,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_landfill_gas_1,1,2.4,1.0622521907023388e-12,0.0,2.3999999999989376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_natural_gas_internal_combustion_engine_1,1,3.2,4.8083005849801075e-11,0.0,3.1999999999519173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_petroleum_liquids_with_gt_1,1,126.0,1.046211610596263e-9,0.0,125.99999999895378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_petroleum_liquids_with_ic_1,1,4.0,4.932078235561744e-11,0.0,3.9999999999506795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_solar_photovoltaic_1,1,49.2,3.657556523403681e-11,0.0,49.199999999963424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_conventional_hydroelectric_1,2,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_landfill_gas_1,2,2.4,2.531605620261312e-11,0.0,2.3999999999746837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_natural_gas_internal_combustion_engine_1,2,22.4,1.7182656620334767e-9,0.0,22.399999998281736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_onshore_wind_turbine_1,2,0.6,6.994708220147549e-12,0.0,0.5999999999930052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_petroleum_liquids_with_cc_1,2,429.4,1.3585131556212128e-10,0.0,429.3999999998642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_petroleum_liquids_with_gt_1,2,488.1,2.031710414596813e-9,0.0,488.0999999979683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_petroleum_liquids_with_st_1,2,664.1,319.940257404948,0.0,344.159742595052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_solar_photovoltaic_1,2,14.9,3.693888258124021e-11,0.0,14.899999999963061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_batteries_1,3,5.1,0.0,0.0,5.1,1.3,0.0,0.0,1.3,0.0,0.0,0.0,0.0
South_conventional_hydroelectric_1,3,46.2,0.0,0.0,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_natural_gas_fired_combined_cycle_1,3,580.0,9.393166163290873e-11,0.0,579.999999999906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_natural_gas_steam_turbine_1,3,765.6,1.0970481014191492e-9,0.0,765.5999999989031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_onshore_wind_turbine_1,3,75.0,1.4175196448955606e-11,0.0,74.99999999998583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_petroleum_liquids_with_gt_1,3,84.0,6.704293386217709e-9,0.0,83.99999999329572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_petroleum_liquids_with_st_1,3,1008.7000000000002,2.2300072269440007e-8,0.0,1008.6999999777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_solar_photovoltaic_1,3,43.8,3.0334991293294204e-11,0.0,43.799999999969664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West_batteries_1,4,21.8,0.0,0.0,21.8,4.2,0.0,0.0,4.2,0.0,0.0,0.0,0.0
West_petroleum_liquids_with_gt_1,4,220.0,2.9877297595162165e-11,0.0,219.99999999997013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West_petroleum_liquids_with_ic_1,4,3.6,1.3661000778361036e-9,0.0,3.5999999986339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West_solar_photovoltaic_1,4,45.0,3.5096848943122515e-11,0.0,44.9999999999649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_battery_moderate_0,1,0.0,0.0,2.0301618047905197e-5,2.0301618047905197e-5,0.0,0.0,6.620034476652288e-5,6.620034476652288e-5,0.0,0.0,0.0,0.0
East_naturalgas_ctavgcf_moderate_0,1,0.0,0.0,1.1388471820839126e-6,1.1388471820839126e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_naturalgas_ccavgcf_moderate_0,1,0.0,0.0,8.561008354903746e-7,8.561008354903746e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_microgrid_solar_moderate_0,1,0.0,0.0,2.3720158738480822e-8,2.3720158738480822e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_microgrid_diesel_moderate_0,1,0.0,0.0,3.988432256530234e-7,3.988432256530234e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_utilitypv_class1_moderate_1,1,0.0,0.0,654.2430824133754,654.2430824133754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East_landbasedwind_class3_moderate_1,1,0.0,0.0,169.00000000009237,169.00000000009237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_battery_moderate_0,2,0.0,0.0,2.0304967019812778e-5,2.0304967019812778e-5,0.0,0.0,6.62098848725482e-5,6.62098848725482e-5,0.0,0.0,0.0,0.0
North_naturalgas_ctavgcf_moderate_0,2,0.0,0.0,1.1389000087400786e-6,1.1389000087400786e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_naturalgas_ccavgcf_moderate_0,2,0.0,0.0,8.561315958702751e-7,8.561315958702751e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_microgrid_solar_moderate_0,2,0.0,0.0,2.371301350247906e-8,2.371301350247906e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_microgrid_diesel_moderate_0,2,0.0,0.0,3.9884675152423115e-7,3.9884675152423115e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_utilitypv_class1_moderate_1,2,0.0,0.0,999.99994248754,999.99994248754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North_landbasedwind_class3_moderate_1,2,0.0,0.0,127.40000000009438,127.40000000009438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_battery_moderate_0,3,0.0,0.0,2.0297809804401903e-5,2.0297809804401903e-5,0.0,0.0,6.618683173878044e-5,6.618683173878044e-5,0.0,0.0,0.0,0.0
South_naturalgas_ctavgcf_moderate_0,3,0.0,0.0,1.1387969760437648e-6,1.1387969760437648e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_naturalgas_ccavgcf_moderate_0,3,0.0,0.0,8.56071703766117e-7,8.56071703766117e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_microgrid_solar_moderate_0,3,0.0,0.0,2.3788886574224118e-8,2.3788886574224118e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_microgrid_diesel_moderate_0,3,0.0,0.0,3.988396423475197e-7,3.988396423475197e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_utilitypv_class1_moderate_1,3,0.0,0.0,999.9999977286457,999.9999977286457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South_landbasedwind_class3_moderate_1,3,0.0,0.0,173.50000000008822,173.50000000008822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West_battery_moderate_0,4,0.0,0.0,2.0301724582724303e-5,2.0301724582724303e-5,0.0,0.0,6.620073710233942e-5,6.620073710233942e-5,0.0,0.0,0.0,0.0
