Resource,Zone,AnnualSum,Capacity,CapacityFactor
East_batteries_1,1,0.03503368049371616,3.6,0.0
East_conventional_hydroelectric_1,1,0.9464778868597852,6.6,0.0
East_landfill_gas_1,1,2.239755726841238,2.3999999999989376,0.9332315528508979
East_natural_gas_internal_combustion_engine_1,1,2.6887016362162255,3.1999999999519173,0.8402192613301674
East_petroleum_liquids_with_gt_1,1,8.41917809490586,125.99999999895378,0.06681887376964672
East_petroleum_liquids_with_ic_1,1,1.2030547862385417,3.9999999999506795,0.3007636965633339
East_solar_photovoltaic_1,1,8.375562303785856,49.199999999963424,0.17023500617463014
North_conventional_hydroelectric_1,2,5.321625812214133,37.0,0.14382772465443122
North_landfill_gas_1,2,2.2397557361919014,2.3999999999746837,0.9332315567564387
North_natural_gas_internal_combustion_engine_1,2,18.896873463866694,22.399999998281736,0.8436104225587326
North_onshore_wind_turbine_1,2,0.21687351878360037,0.5999999999930052,0.0
North_petroleum_liquids_with_cc_1,2,189.1058280184793,429.3999999998642,0.44039550074180905
North_petroleum_liquids_with_gt_1,2,0.0004361320515103537,488.0999999979683,0.0
North_petroleum_liquids_with_st_1,2,2.7934307768305304,344.159742595052,0.008116669183232351
North_solar_photovoltaic_1,2,2.4199066947516807,14.899999999963061,0.16240984528574492
South_batteries_1,3,0.15169785957936177,5.1,0.0
South_conventional_hydroelectric_1,3,6.64871771837726,46.2,0.1439116389259099
South_natural_gas_fired_combined_cycle_1,3,386.2945149292383,579.999999999906,0.6660250257401518
South_natural_gas_steam_turbine_1,3,571.8396941911323,765.5999999989031,0.7469170509299015
South_onshore_wind_turbine_1,3,25.65559649107549,74.99999999998583,0.34207461988105975
South_petroleum_liquids_with_gt_1,3,0.0005708183510825042,83.99999999329572,0.0
South_petroleum_liquids_with_st_1,3,0.0007012340143074764,1008.6999999777,0.0
South_solar_photovoltaic_1,3,7.3597405804364096,43.799999999969664,0.16803060685938953
West_batteries_1,4,0.49011122307083244,21.8,0.0
West_petroleum_liquids_with_gt_1,4,43.35886225938696,219.99999999997013,0.19708573754268818
West_petroleum_liquids_with_ic_1,4,0.16954377795823092,3.5999999986339,0.0
West_solar_photovoltaic_1,4,7.489257803893664,44.9999999999649,0.16642795119776124
East_battery_moderate_0,1,2.011404158805162e-6,2.0301618047905197e-5,0.0
East_naturalgas_ctavgcf_moderate_0,1,5.26749939562591e-7,1.1388471820839126e-6,0.0
East_naturalgas_ccavgcf_moderate_0,1,3.6708628286025084e-7,8.561008354903746e-7,0.0
East_microgrid_solar_moderate_0,1,2.7487675546244263e-9,2.3720158738480822e-8,0.0
East_microgrid_diesel_moderate_0,1,1.2102175413379337e-7,3.988432256530234e-7,0.0
East_utilitypv_class1_moderate_1,1,123.07649292469883,654.2430824133754,0.1881204344884924
East_landbasedwind_class3_moderate_1,1,63.64502948081263,169.00000000009237,0.3765978075785546
North_battery_moderate_0,2,2.011637334294748e-6,2.0304967019812778e-5,0.0
North_naturalgas_ctavgcf_moderate_0,2,5.268124181740078e-7,1.1389000087400786e-6,0.0
North_naturalgas_ccavgcf_moderate_0,2,3.671214548188858e-7,8.561315958702751e-7,0.0
North_microgrid_solar_moderate_0,2,2.753998077131512e-9,2.371301350247906e-8,0.0
North_microgrid_diesel_moderate_0,2,1.2103087777305338e-7,3.9884675152423115e-7,0.0
North_utilitypv_class1_moderate_1,2,188.30628552690877,999.99994248754,0.18830629635686083
North_landbasedwind_class3_moderate_1,2,44.0467920578485,127.40000000009438,0.3457362013957175
South_battery_moderate_0,3,2.010956290737958e-6,2.0297809804401903e-5,0.0
South_naturalgas_ctavgcf_moderate_0,3,5.266900209731946e-7,1.1387969760437648e-6,0.0
South_naturalgas_ccavgcf_moderate_0,3,3.670529559147812e-7,8.56071703766117e-7,0.0
South_microgrid_solar_moderate_0,3,2.7862855564028946e-9,2.3788886574224118e-8,0.0
South_microgrid_diesel_moderate_0,3,1.210126107517188e-7,3.988396423475197e-7,0.0
South_utilitypv_class1_moderate_1,3,188.36014138066423,999.9999977286457,0.1883601418084906
South_landbasedwind_class3_moderate_1,3,66.25214417618014,173.50000000008822,0.381856738767402
West_battery_moderate_0,4,2.0114152132734188e-6,2.0301724582724303e-5,0.0
West_naturalgas_ctavgcf_moderate_0,4,5.267585364991602e-7,1.1388551138640474e-6,0.0
West_naturalgas_ccavgcf_moderate_0,4,3.670913033553847e-7,8.561055584530495e-7,0.0
West_microgrid_solar_moderate_0,4,2.6946991894753976e-9,2.3553843039836026e-8,0.0
West_microgrid_diesel_moderate_0,4,1.2102182481759927e-7,3.9884328310893806e-7,0.0
West_utilitypv_class1_moderate_1,4,4.890023240936674e-7,3.1861620034623644e-6,0.0
West_landbasedwind_class3_moderate_1,4,51.45030033078735,170.8000000000885,0.30123126657353033
North_to_south_underground_line,2,0.0,523.7100000015975,0.0
North_to_east_underground_line,1,0.0,489.46071052645715,0.0
South_to_west_underground_line,4,0.0,1.2640343947193064e-11,0.0
