Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.04139139943891546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17922714977640095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790539024837196,0.0,0.0,0.0,2.376412507694377e-6,0.0,0.0,0.0,0.0,0.0,0.0,2.37668799858466e-6,0.0,0.0,0.0,0.0,0.0,0.0,2.3758833630023178e-6,0.0,0.0,0.0,0.0,0.0,0.0,2.376425568266494e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7996819571084736
t1,1.3670099559676413e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.363294184113272e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3634078843002827e-7,0.0,0.0,0.0,1.431616340221825e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.4317041480297445e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.4316805385433907e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.4316577570701213e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.820370808246278e-7
t2,1.3651738901920527e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3617636348350494e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3621936456376658e-7,0.0,0.0,0.0,1.421491679902397e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.421574719763512e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.4215546356658632e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.4215296452537556e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.775281851250297e-7
t3,1.3630591981249904e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3599994564546927e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3608136298800006e-7,0.0,0.0,0.0,1.4104723823661134e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.4105483934882676e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.410535660348187e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.410505563806542e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.725934284468794e-7
t4,1.360625727355318e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35797786629926e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.359178418874811e-7,0.0,0.0,0.0,1.3982472731517364e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3983180934929378e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3983068321797063e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.398279618399533e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.670933829753302e-7
t5,1.3577370069127937e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3556297865553193e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3571702805485562e-7,0.0,0.0,0.0,1.384525844689721e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3845874589286747e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3845824988072721e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3845570418204016e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.60878991826274e-7
t6,1.3541347879364415e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3528304040616693e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3546802079028227e-7,0.0,0.0,0.0,1.3689484842975854e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3690035549044076e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.369000897660314e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3689767989380787e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.53757513570132e-7
t7,1.349184304063715e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3490778087996167e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3511275203308445e-7,0.0,0.0,0.0,1.3498758256934565e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3499181317052415e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3499261804012134e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3499011612179748e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.449010932212064e-7
t8,1.3411354876259123e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3431082702464167e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3454186671131342e-7,0.0,0.0,0.0,1.323127913207141e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3231419254283958e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3231731762055676e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3231448980376333e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.322250337864201e-7
