Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,9.790517725360184,0.0,0.0,0.0,0.2353310716839496,0.0,0.0,0.0,2.938931942613025,0.0,0.0,0.0,0.0,27.193668033640805,0.0,0.0,8.659375259413547,0.0,0.0,0.0,8.786969646298834,0.0,0.0,0.0,4.679756787578111e-9,0.0,129.02854098077813,66.28235953676543,0.0,0.0,0.0,4.689355684055467e-9,0.0,197.68234443490127,46.19251094770247,0.0,0.0,0.0,4.735115360243131e-9,0.0,198.97613712314137,68.98322239923792,0.0,0.0,0.0,4.600489848536872e-9,0.0,6.221903488155775e-7,53.67751125220854,0.0,0.0,0.0,818.4274209946404
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42137820000319304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.649299999998576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.68819300007308,0.0,0.0,0.0,0.0,0.0,0.0,86.03627760007195,0.0,0.0,0.0,0.0,0.0,0.0,124.2751005000714,0.0,0.0,0.0,0.0,0.0,0.0,128.48378760007478,0.0,0.0,0.0,508.55403690029294
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43756200000300355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.29764999999826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.24663000007557,0.0,0.0,0.0,0.0,0.0,0.0,88.83627480007402,0.0,0.0,0.0,0.0,0.0,0.0,127.74163050007317,0.0,0.0,0.0,0.0,0.0,0.0,131.89637160007658,0.0,0.0,0.0,524.4561189003006
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4471524000028913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.79614999999797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.94792600007706,0.0,0.0,0.0,0.0,0.0,0.0,91.38172680007591,0.0,0.0,0.0,0.0,0.0,0.0,129.30156900007395,0.0,0.0,0.0,0.0,0.0,0.0,134.96769720007816,0.0,0.0,0.0,535.8422214003059
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4459536000029054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.21972499999771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.61026400007688,0.0,0.0,0.0,0.0,0.0,0.0,93.79990620007771,0.0,0.0,0.0,0.0,0.0,0.0,127.74163050007317,0.0,0.0,0.0,0.0,0.0,0.0,138.03902280007975,0.0,0.0,0.0,540.8565021003081
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45194760000283524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.167774999997334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.29857400007779,0.0,0.0,0.0,0.0,0.0,0.0,97.10899380008017,0.0,0.0,0.0,0.0,0.0,0.0,128.7815895000737,0.0,0.0,0.0,0.0,0.0,0.0,141.2809776000814,0.0,0.0,0.0,552.0898575003133
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.459739800002744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.69224999999724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.493377000079,0.0,0.0,0.0,0.0,0.0,0.0,97.99990200008082,0.0,0.0,0.0,0.0,0.0,0.0,131.5548135000751,0.0,0.0,0.0,0.0,0.0,0.0,141.96349440008177,0.0,0.0,0.0,559.1635767003168
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46513440000268086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.84209999999721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.01285600007984,0.0,0.0,0.0,0.0,0.0,0.0,98.254447200081,0.0,0.0,0.0,0.0,0.0,0.0,132.94142550007584,0.0,0.0,0.0,0.0,0.0,0.0,140.76909000008112,0.0,0.0,0.0,561.2850531003177
t8,0.0,0.0,0.0,0.0,0.0,0.0,4.177818000005067,0.0,0.0,0.0,0.4675320000026531,0.0,0.0,0.0,1.3396590000048432,0.0,0.0,0.0,0.0,56.19374999999752,0.0,0.0,4.638157200004959,0.0,0.0,0.0,4.225770000004876,0.0,0.0,0.0,2.133617931272424e-9,0.0,58.82299553979476,131.6881800000802,0.0,0.0,0.0,2.5121667709208294e-9,0.0,105.89399390978376,95.45445000007894,0.0,0.0,0.0,2.020922579073986e-9,0.0,84.9149998071365,134.67469050007668,0.0,0.0,0.0,2.212819998954537e-9,0.0,2.992076854855644e-7,137.3565060000794,0.0,0.0,0.0,819.8485022651374
