Line,1,2,3,4,5,Total
AnnualSum,219.3422457701648,-386.6617807102912,-461.9303377013723,-83.0342248689056,131.53433566643662,-580.7497618439677
t1,350.9864327221602,-585.2242384629849,-523.7048738658088,-147.30008185527043,158.74744920057196,-746.495312261332
t2,337.8429540801786,-562.1415104596933,-523.7048338255216,-149.28372523332632,155.3005670041804,-741.9865484341823
t3,311.2195875827358,-525.1645334372089,-523.7048266721042,-150.0149850954482,149.91089760611965,-737.7538600159058
t4,277.0064775543704,-480.48717190247766,-523.7048209020093,-149.38268383525823,143.13010171281903,-733.4380973725557
t5,244.43145416471074,-439.4725981117098,-523.7048161188279,-149.2310119830164,135.6570091129547,-732.3199629358886
t6,197.01415235581914,-371.69221267127136,-523.7048072443379,-144.1432574064105,123.71578608034912,-718.8103388858515
t7,164.290730258573,-323.62491218249903,-523.7048008146893,-138.13077005896432,113.73902267739318,-707.4307301201865
t8,77.40182983807134,-164.52167494364585,-523.704766841133,-99.17345537976055,71.1522715421035,-638.8457957843646
t9,52.840661857356714,-0.00012515310644577683,-356.65544095190455,-43.188131111336794,8.58694719615601e-5,-347.00294948951915
t10,269.07552297736765,-197.20067382310265,-106.72591098437714,-32.61452077861351,33.63089514569272,-33.83468746303292
t11,266.88884880705444,-171.68374463042483,-102.02466022308587,-15.833890894442225,34.493550608742936,11.840103667844453
t12,266.4342209768402,-177.2880041960606,-102.78094773925275,-6.949360147260538,36.190166595554885,15.606075489821205
t13,282.86377528429915,-187.5610180641221,-109.25475837871446,-1.9734997298066266,39.4545914775439,23.529090589199875
t14,294.7907772403559,-197.11534953463865,-114.31206693398747,-0.7003349424840625,41.605788875732294,24.26881470497802
t15,302.98049758211386,-207.88888222851617,-118.45621542155723,-9.435507452720975,41.857226606118225,9.057119085437705
t16,302.5986433682705,-216.38075708808736,-119.66830117020291,-41.56587996021295,37.27967032180184,-37.736624528430916
t17,54.49158402100368,-103.47225038865233,-523.7047256444123,-68.04940080543334,55.922028084867684,-584.8127647326266
t18,195.95187272398925,-376.0702296796298,-523.7048108176291,-132.61808577747485,129.0523457520185,-707.388907798726
