Zone,1,2,3,4
t1,1.9431445807113914,1.9823999987964367,1.904666438394391,1.943144781299537
t2,1.9431051462547309,1.982359758837598,1.9046277931755737,1.9431053331486363
t3,1.9431026494384394,1.9823571925922019,1.9046253592284512,1.9431028158947106
t4,1.9431019075580953,1.9823564083075338,1.9046246487143192,1.9431020487276542
t5,1.9431016119711928,1.982356075993085,1.9046243751818042,1.9431017233847452
t6,1.9431009805901618,1.9823553736326074,1.904623786546121,1.943101048113943
t7,1.9431007311580422,1.982355062876488,1.9046235679540164,1.9431007601574806
t8,1.9430977648325682,1.9823516815743796,1.9046208246208594,1.9430975963632575
t9,1.7629180148493961,1.7985316323174747,1.7629167511218087,1.7629182024210779
t10,-10546.040931649291,-10546.040931593523,-10546.040931673826,-10546.040931604484
t11,-10546.04093251388,-10546.040932458634,-10546.040932535112,-10546.040932463948
t12,-10546.040932629803,-10546.04093257466,-10546.040932651753,-10546.040932576994
t13,-10546.040932565684,-10546.040932506583,-10546.04093258896,-10546.040932507247
t14,-10546.040932396752,-10546.040932334712,-10546.040932421274,-10546.040932334949
t15,-10546.040931826996,-10546.040931762898,-10546.04093185293,-10546.040931766063
t16,-10546.040908470066,-10546.040908406068,-10546.040908497123,-10546.04090842005
t17,1.943045774981958,1.9822983666724328,1.9045700458115469,1.9430455710898904
t18,1.94310447480039,1.982358936859675,1.9046272094276218,1.9431045738149777
t19,1.943102125106028,1.9823565958118514,1.9046248723314023,1.9431022602350054
t20,1.9431015925003563,1.9823560508077498,1.9046243518377513,1.9431017264014592
t21,1.94310126086503,1.9823557091016666,1.9046240290044871,1.9431013925822407
t22,1.9431023422761966,1.9823568567083907,1.9046250626981243,1.9431025156300832
t23,5.255648235729487,5.3618228981202325,5.151575965333805,5.255648441087291
t24,5.255670927631975,5.361846052801744,5.151598203814591,5.255671139818345
t25,5.255665631501671,5.361840648988195,5.15159301411306,5.255665847114483
t26,5.255601896286142,5.361775624167919,5.151530543834862,5.255602108526973
t27,4.464926701088167,4.5551271989527065,4.376512282284746,4.464926914570213
t28,1.9431051338114247,1.9823597307193153,1.904627786236968,1.9431053332878627
t29,1.943102071131516,1.9823565683710953,1.9046248080678774,1.9431022399614173
t30,1.9431014069195633,1.9823558416237115,1.904624184070921,1.9431015353578487
t31,1.9431014685764239,1.982355858534193,1.9046242676558662,1.9431015605481543
t32,1.9430985543043005,1.982352611844424,1.9046215384265985,1.9430984962269677
t33,1.7629203100423028,1.7985339103582978,1.7629186873546714,1.7629207682572656
t34,-10546.040931081408,-10546.040931020398,-10546.040931104377,-10546.040931032265
t35,-10546.040932319216,-10546.040932258536,-10546.04093234171,-10546.040932264892
t36,-10546.040932390204,-10546.040932325288,-10546.04093241338,-10546.040932328702
t37,-10546.040932170108,-10546.040932098635,-10546.040932194834,-10546.040932099855
t38,-10546.040931045416,-10546.040930970428,-10546.040931073014,-10546.040930972495
t39,-10546.040893491267,-10546.04089340653,-10546.040893521778,-10546.04089341365
t40,1.8708155886411846,1.908609428859448,1.8337707418732043,1.8708162229507765
t41,1.8708185530197186,1.9086127780323072,1.8337726992131087,1.8708187904672162
t42,4.4649079951203845,4.555108156469527,4.37649393186277,4.464908254592269
t43,4.464958277825799,4.555159405157414,4.376543232916554,4.464958497094662
t44,4.464950338115455,4.555151305178008,4.376535450703903,4.464950548780555
t45,4.4649493495195935,4.555150298913604,4.376534481579296,4.464949554304526
t46,4.464950241732901,4.555151200202637,4.376535358478406,4.464950452464437
t47,5.228084127554119,5.333701913378207,5.124557684802225,5.228084342895849
t48,5.228103249660303,5.333721422274194,5.124576425022817,5.228103474747839
t49,5.228092220750644,5.33371016334952,5.124565618965425,5.2280924451208115
t50,4.4650742930220275,4.555277726011135,4.376656960377937,4.4650745143558535
t51,4.4649528834991665,4.555153882858029,4.376537951584669,4.4649531030325464
t52,4.46494086015651,4.555141646400535,4.376526160471689,4.464941077610037
t53,1.9431038378526433,1.98235841080822,1.9046265179167456,1.9431040314262376
t54,1.9431016862778672,1.9823561684532194,1.9046244382514046,1.9431018342220503
t55,1.9431016336631746,1.9823560695533564,1.9046244095253193,1.9431017372868236
t56,1.9431000269901522,1.9823542318294922,1.9046229460732218,1.9431000187834415
t57,1.7629188648324252,1.7985324937622063,1.7629169490027556,1.7629193956652565
t58,-10546.040929066667,-10546.040928994847,-10546.040929096342,-10546.040929008417
t59,-10546.04093197081,-10546.040931898182,-10546.0409320005,-10546.040931903444
t60,-10546.040932268166,-10546.040932192924,-10546.04093229799,-10546.040932192607
t61,-10546.040932096563,-10546.04093201454,-10546.040932128555,-10546.040932010794
t62,-10546.04093118368,-10546.040931094667,-10546.040931217698,-10546.040931090058
t63,-10546.040900509994,-10546.040900419954,-10546.040900544793,-10546.040900419244
t64,1.8708159151066883,1.908609743770301,1.8337709918150107,1.8708167474498758
t65,1.870819406968212,1.908613633742936,1.8337735432622722,1.8708197887488698
t66,4.464952016257258,4.555152990487269,4.376537109196209,4.464952416900024
t67,4.464959021871433,4.555160030647385,4.376543994686572,4.464959377318716
t68,4.464952291425975,4.5551531762521495,4.376537394828202,4.464952626375709
t69,4.4649509575794095,4.555151838310318,4.376536083967627,4.464951276256132
t70,4.4649509869027915,4.555151867235641,4.376536110992089,4.46495127943656
t71,5.609544618411132,5.722868582906948,5.498464518945939,5.609544883053825
t72,5.609551327273055,5.722875440945986,5.498471089787164,5.609551589578957
t73,4.465320195879384,4.555528522170072,4.376898006927009,4.465320459239431
t74,4.4649526398226405,4.555153561330661,4.3765377278123765,4.464952918108039
t75,4.464951800818729,4.55515272068391,4.376536904430022,4.46495209665991
t76,4.464951287708254,4.555152212056847,4.376536400470388,4.464951582890305
t77,4.4649504562569655,4.55515138930599,4.376535580983372,4.464950733139329
t78,4.464944726533705,4.555145574392498,4.376529957709082,4.464944982323564
t79,1.9431049457605933,1.9823595318809377,1.9046276079379854,1.9431051685971403
t80,1.9431004600499133,1.9823548545962244,1.9046232797857519,1.9431006256694212
t81,1.8708163500643762,1.908609589926764,1.833771451818442,1.8708165212589094
t82,-10546.040926901105,-10546.040926828153,-10546.040926931597,-10546.040926836075
t83,-10546.04093219455,-10546.040932127293,-10546.04093222295,-10546.040932127837
t84,-10546.040932394259,-10546.040932323696,-10546.040932422897,-10546.040932321499
