Zone,1,2,3,4
t1,-1.3341348241228353e-7,-3.574165631621301e-8,-1.9730995099722037e-7,-3.5306163057141186e-7
t2,-1.3546093779636845e-7,-3.632614983403908e-8,-1.9989612980772717e-7,-3.584086018400381e-7
t3,-1.384291479759484e-7,-3.725344785689827e-8,-2.0435443732159173e-7,-3.667328933616906e-7
t4,-1.4288923829491852e-7,-3.8610294629807616e-8,-2.0996368040141412e-7,-3.7544440596054814e-7
t5,-1.4569826957052426e-7,-3.9912410037656437e-8,-2.1792080154878783e-7,-3.8771027111118313e-7
t6,-1.5425735769704406e-7,-4.2388507710343834e-8,-2.2872380444441045e-7,-4.0765511873535696e-7
t7,-1.6147501314349975e-7,-4.440701836746789e-8,-2.3814018965802526e-7,-4.258796766132186e-7
t8,-1.6502745853538118e-7,-4.553592099326376e-8,-2.4313502041650434e-7,-4.336247097756583e-7
t9,-1.6810361492052638e-7,-4.6474756478182795e-8,-2.470161205471349e-7,-4.416510060711244e-7
t10,-1.6936459957074621e-7,-4.683535190741041e-8,-2.4833589853702927e-7,-4.4164861105678385e-7
t11,-1.7872749715846556e-7,-4.950040524539899e-8,-2.5941471125274776e-7,-4.630538586061106e-7
t12,-1.7595293644311967e-7,-4.8712824695016e-8,-2.5655613976773477e-7,-4.586112585249293e-7
t13,-1.656335185828691e-7,-4.5767513161148664e-8,-2.4441450504388863e-7,-4.3759896487202873e-7
t14,-1.5750999707555235e-7,-4.348423409059555e-8,-2.3452132150631494e-7,-4.183980764983084e-7
t15,-1.521581629244061e-7,-4.178301340371806e-8,-2.2759609372278893e-7,-4.0418942051437985e-7
t16,-1.5112909850394057e-7,-4.1535038117644446e-8,-2.2648018404916513e-7,-4.041894298590624e-7
t17,-1.4812024028811095e-7,-4.0614952630420055e-8,-2.2212120786435918e-7,-3.9414181864347614e-7
t18,-1.4762986423114125e-7,-4.052010779573403e-8,-2.210567144130087e-7,-3.9414245410272494e-7
t19,-1.4961066629143313e-7,-4.099819123919904e-8,-2.2212147419486428e-7,-3.9414249952523345e-7
t20,-1.506200919299832e-7,-4.1289600112185424e-8,-2.2319613849563543e-7,-3.974375684734661e-7
t21,-1.5112966595484908e-7,-4.148581080861804e-8,-2.2537591028782617e-7,-4.007871004156484e-7
t22,-1.4152292609532873e-7,-3.865401473917866e-8,-2.1288101884233858e-7,-3.7843906209176536e-7
t23,-1.318174270912377e-7,-3.578017688408572e-8,-2.007732949049674e-7,-3.557170609160295e-7
t24,-1.2948945024203614e-7,-3.5097682589168363e-8,-1.973104827052501e-7,-3.530632422757715e-7
t25,-1.3025677331494297e-7,-3.5322796600719895e-8,-1.9816536386291852e-7,-3.5306322579045883e-7
t26,-1.3181741342010863e-7,-3.5818727457419676e-8,-2.0077327363177965e-7,-3.5841021159726603e-7
t27,-1.3422552250545816e-7,-3.65643744695436e-8,-2.043547210508129e-7,-3.639172176345218e-7
t28,-1.3929994295507026e-7,-3.8049354253619e-8,-2.1092755139701195e-7,-3.7544450478334513e-7
t29,-1.466580402720461e-7,-4.023772345559343e-8,-2.2000178546205467e-7,-3.9090046614868534e-7
t30,-1.5479066549830054e-7,-4.269679474328538e-8,-2.3100969845545834e-7,-4.111765581726522e-7
t31,-1.6147503658800173e-7,-4.45733065872039e-8,-2.39370244987023e-7,-4.25879780023824e-7
t32,-1.6502747992966967e-7,-4.5535924449715064e-8,-2.431350590745955e-7,-4.3362481242281156e-7
t33,-1.662448438675109e-7,-4.588414524039269e-8,-2.4441535849074544e-7,-4.3362405477601726e-7
t34,-1.6264222391075515e-7,-4.474057121538532e-8,-2.381389815576808e-7,-4.258763248034079e-7
t35,-1.638262781391696e-7,-4.507848701970968e-8,-2.393689836083714e-7,-4.2587632213203274e-7
t36,-1.537269854263138e-7,-4.208389033966717e-8,-2.2648018085972165e-7,-4.0418942277803575e-7
t37,-1.410724501625192e-7,-3.817753113362435e-8,-2.0900732265625597e-7,-3.7249318607063713e-7
t38,-1.3381777879009312e-7,-3.59346986996219e-8,-1.9816387316060257e-7,-3.5571282726321547e-7
t39,-1.2760717350903843e-7,-3.4112947004114246e-8,-1.8992285420620964e-7,-3.403505332392088e-7
t40,-1.2329544829564124e-7,-3.2801270455997895e-8,-1.8379056689024147e-7,-3.2850818541406433e-7
t41,-1.219185577228481e-7,-3.237116308950852e-8,-1.8158782241086062e-7,-3.2623582182668475e-7
t42,-1.2226026683291155e-7,-3.2502560401991635e-8,-1.8231680837180765e-7,-3.2623678053972813e-7
t43,-1.2226029878168624e-7,-3.2502566142410925e-8,-1.8231685757216677e-7,-3.2623688944125205e-7
t44,-1.226036167150152e-7,-3.2568572499929236e-8,-1.8231683611722956e-7,-3.2623683881332454e-7
t45,-1.2399523462001652e-7,-3.307060155389592e-8,-1.8453680153765009e-7,-3.308134939160768e-7
t46,-1.2226028152611673e-7,-3.253554051192977e-8,-1.8305111169547646e-7,-3.262368198083496e-7
t47,-1.170029323287254e-7,-3.101113118327201e-8,-1.7733106637391405e-7,-3.1531915464639244e-7
t48,-1.1575429738084234e-7,-3.073802274861586e-8,-1.759541857450114e-7,-3.1531920987439215e-7
t49,-1.1763677359840681e-7,-3.138135085207754e-8,-1.7943555277302287e-7,-3.195997576322343e-7
t50,-1.1957738024715446e-7,-3.1982159067187265e-8,-1.8231688590273853e-7,-3.262369620392845e-7
t51,-1.2364456928690855e-7,-3.3172511750137277e-8,-1.8835428007944505e-7,-3.3551742439401146e-7
t52,-1.3142380498466718e-7,-3.551217821818372e-8,-1.9816506784606207e-7,-3.5306233097730645e-7
t53,-1.3842916903599954e-7,-3.762699009385323e-8,-2.0806131971290509e-7,-3.695925028194151e-7
t54,-1.466580353257271e-7,-4.0004908061501445e-8,-2.1792082502346618e-7,-3.877103298263964e-7
t55,-1.5267830993214464e-7,-4.18329829994181e-8,-2.2648134771938536e-7,-4.041926302618938e-7
t56,-1.5586777288684347e-7,-4.274853376837373e-8,-2.2986116122984027e-7,-4.111762628195693e-7
t57,-1.5641156094686836e-7,-4.2904393158277974e-8,-2.310092883783015e-7,-4.111755131160982e-7
t58,-1.442802647431095e-7,-3.931972623386858e-8,-2.14868651006478e-7,-3.814779548158925e-7
t59,-1.4288872148391733e-7,-3.8829645081408694e-8,-2.1189891154677473e-7,-3.7843623531778696e-7
t60,-1.3929942555823303e-7,-3.775281500303827e-8,-2.0712150683950343e-7,-3.695897177450799e-7
t61,-1.298712755798495e-7,-3.487480298585013e-8,-1.9395927052609e-7,-3.478658974171196e-7
t62,-1.2329516588769043e-7,-3.283470633160368e-8,-1.8528727700842555e-7,-3.308104681101155e-7
t63,-1.22603047289401e-7,-3.266791791910622e-8,-1.8379000172907862e-7,-3.2850658457038094e-7
t64,-1.2057010435729288e-7,-3.2046428948189095e-8,-1.8086457832856167e-7,-3.239931535535332e-7
t65,-1.2057019339938348e-7,-3.1950046308245923e-8,-1.7943498887137763e-7,-3.2178119087582814e-7
t66,-1.226036634889236e-7,-3.2634806396680655e-8,-1.830511923130203e-7,-3.2623702533283873e-7
t67,-1.2260367511975682e-7,-3.260166964636951e-8,-1.8231692125219666e-7,-3.262370522126802e-7
t68,-1.22948802906564e-7,-3.270124746943704e-8,-1.8305117478543365e-7,-3.262369831174004e-7
t69,-1.2541691158253678e-7,-3.3446762063657224e-8,-1.8604586627306832e-7,-3.331493324087396e-7
t70,-1.2329576900579456e-7,-3.2868308554394015e-8,-1.845368657373787e-7,-3.2850972834130164e-7
t71,-1.1392757595266768e-7,-3.0173891007530114e-8,-1.7326109570139403e-7,-3.09104831775182e-7
t72,-1.1157416043960236e-7,-2.94562394642518e-8,-1.7000348823216542e-7,-3.0312431103969106e-7
t73,-1.1422810535582182e-7,-3.029125922059851e-8,-1.73926674321088e-7,-3.111486858964872e-7
t74,-1.1668832994337679e-7,-3.104170676745846e-8,-1.780271301070174e-7,-3.174448525216341e-7
t75,-1.1957737820847565e-7,-3.19500789947369e-8,-1.8231687890630234e-7,-3.2399466438433406e-7
t76,-1.243478229744067e-7,-3.334348970937677e-8,-1.8835429344606e-7,-3.355174639694707e-7
t77,-1.3064352898276148e-7,-3.5322779640418375e-8,-1.973102409876545e-7,-3.5044706792607485e-7
t78,-1.3671831981452407e-7,-3.704858805619808e-8,-2.052695020175713e-7,-3.63917338004655e-7
t79,-1.4381414413626302e-7,-3.914040213156792e-8,-2.1387096374516484e-7,-3.8148097571981176e-7
t80,-1.476298369045742e-7,-4.028455415970224e-8,-2.189564887096552e-7,-3.909003476134867e-7
t81,-1.4911056998372166e-7,-4.075794686750583e-8,-2.210564075377917e-7,-3.941416661810399e-7
t82,-1.481198095130972e-7,-4.042554105079404e-8,-2.189554459687498e-7,-3.9089746100709447e-7
t83,-1.532006388820021e-7,-4.178301349473985e-8,-2.2427978926543625e-7,-4.007840449779326e-7
t84,-1.4811980776742222e-7,-4.014425574242953e-8,-2.1689346908536903e-7,-3.87707381337028e-7
t85,-1.3842864912880793e-7,-3.7130232819239894e-8,-2.0254739533039428e-7,-3.6391375473948374e-7
t86,-1.3142319619869974e-7,-3.502306495421539e-8,-1.9313885962759642e-7,-3.4786589610575486e-7
t87,-1.2686892302215733e-7,-3.3689673075918634e-8,-1.86808135890972e-7,-3.355142497366652e-7
t88,-1.2364426166545644e-7,-3.2701196053223844e-8,-1.8231629764773017e-7,-3.28508142113447e-7
t89,-1.2364434908007356e-7,-3.26016273578168e-8,-1.815877978886697e-7,-3.262357537194536e-7
t90,-1.2470227885026155e-7,-3.300295087862707e-8,-1.830511479711381e-7,-3.2850971230997545e-7
t91,-1.2873052546336356e-7,-3.411303598334113e-8,-1.8835437392061231e-7,-3.379189339323166e-7
t92,-1.3181733823206993e-7,-3.509767020751544e-8,-1.923263334500914e-7,-3.453284673100041e-7
t93,-1.3546111401709364e-7,-3.616878073305882e-8,-1.9731023070879886e-7,-3.530624567087037e-7
t94,-1.2987193086121606e-7,-3.4617880971428465e-8,-1.9071837451457737e-7,-3.4282351689083545e-7
t95,-1.232958662287667e-7,-3.280133066668699e-8,-1.8379130252838833e-7,-3.2851028016944844e-7
t96,-1.222604025332196e-7,-3.25025803329736e-8,-1.8305131852079448e-7,-3.285102641316308e-7
t97,-1.2191886691295242e-7,-3.240396916126519e-8,-1.823170244637709e-7,-3.2623743971305887e-7
t98,-1.219187761133377e-7,-3.24696439388658e-8,-1.8305114799979128e-7,-3.28509707216989e-7
t99,-1.2399526061604734e-7,-3.3104519172982385e-8,-1.8604585684308292e-7,-3.331493040481118e-7
