Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,0.0004846263440041671,1.2627418025699222,0.0,0.0,0.0,0.0,0.0,6.986162590412672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005204988350834035,8.687574832592915,0.0,0.0,0.0,0.0,0.0,0.0,0.0005225333533366097,0.0,0.0,0.0,2.6511858260153862e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.6510930035635922e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.651201415392892e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.6511653251481467e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.00046205006725210095,1.5212105845008317,0.0,0.0,0.0,0.0,0.0,8.422715063514016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004964080291292556,10.480867886101612,0.0,0.0,0.0,0.0,0.0,0.0,0.0004983047362005999,0.0,0.0,0.0,2.5151770698669397e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.5150960342897576e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.5152051207882843e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.5151583579371795e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0004370550540399117,1.7658976221198666,0.0,0.0,0.0,0.0,0.0,9.783458682185694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046973793315771865,12.180963499669417,0.0,0.0,0.0,0.0,0.0,0.0,0.00047146485710498903,0.0,0.0,0.0,2.3658445685111158e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.3657751891457953e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.3658895149006537e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.3658276351942198e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0004088645003957113,1.9970845490975293,0.0,0.0,0.0,0.0,0.0,11.066470742850843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043966318167566493,13.784392943079482,0.0,0.0,0.0,0.0,0.0,0.0,0.00044117182379163215,0.0,0.0,0.0,2.1987714967841514e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.1987140302697863e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.1988397491211875e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.198756731150688e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.00037620788955852595,2.214461182603749,0.0,0.0,0.0,0.0,0.0,12.268269822170511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004048376672440249,15.286329321138568,0.0,0.0,0.0,0.0,0.0,0.0,0.0004060503828425895,0.0,0.0,0.0,2.0067533279843393e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.0067081458538875e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.006855548225599e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.0067414104031874e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.00033675345085253073,2.4175512549829863,0.0,0.0,0.0,0.0,0.0,13.389456656642302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003628003425643981,16.687857397405985,0.0,0.0,0.0,0.0,0.0,0.0,0.00036357741164273365,0.0,0.0,0.0,1.77666724639498e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.776635085342727e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.776822807328466e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.7766591429880546e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.000285330213643435,2.605431451123283,0.0,0.0,0.0,0.0,0.0,14.422035393458714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030812665404314444,17.978035775689857,0.0,0.0,0.0,0.0,0.0,0.0,0.00030814986121139085,0.0,0.0,0.0,1.4797751818470422e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4797547724558455e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4800299258514886e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4797724709637466e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0002051849422091287,2.7783667726496892,0.0,0.0,0.0,0.0,0.0,15.407011105362617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022350585472296247,19.2093826725473,0.0,0.0,0.0,0.0,0.0,0.0,0.00022161144183363763,0.0,0.0,0.0,1.0301198135511094e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.0300989786431233e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.0306361175145265e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.0301215831056681e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,4.133100372231081e-8,3.10794703193603,0.0,0.0,0.0,0.0,0.0,17.256572494509047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.150381844410414e-8,21.51881487821593,0.0,0.0,0.0,0.0,0.0,0.0,4.160437310593455e-8,0.0,0.0,0.0,4.2050052634864726e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.204953938783083e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.2050101762849074e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.2050210911618386e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
