Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,-3886.307192465351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3886.2021715722435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3886.3069004507543,0.0,0.0,0.0,-3933.1266186191083,0.0,0.0,0.0,0.0,0.0,0.0,-3933.166538853712,0.0,0.0,0.0,0.0,0.0,0.0,-3933.093409325784,0.0,0.0,0.0,0.0,0.0,0.0,-3933.1260745655613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,-3885.9817979464306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3885.8842914821016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3885.9815040415065,0.0,0.0,0.0,-3928.618517941862,0.0,0.0,0.0,0.0,0.0,0.0,-3928.657898854628,0.0,0.0,0.0,0.0,0.0,0.0,-3928.5861817084374,0.0,0.0,0.0,0.0,0.0,0.0,-3928.6179736637173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,-3885.6393050006295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3885.5497804112533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3885.639014147836,0.0,0.0,0.0,-3923.6463351344655,0.0,0.0,0.0,0.0,0.0,0.0,-3923.6852497524956,0.0,0.0,0.0,0.0,0.0,0.0,-3923.614884064614,0.0,0.0,0.0,0.0,0.0,0.0,-3923.6457975148974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,-3885.275366614869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3885.194432611995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3885.275085532307,0.0,0.0,0.0,-3918.10709638074,0.0,0.0,0.0,0.0,0.0,0.0,-3918.145621422387,0.0,0.0,0.0,0.0,0.0,0.0,-3918.0765808424585,0.0,0.0,0.0,0.0,0.0,0.0,-3918.1065719629687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,-3884.8832200185234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3884.811720462531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3884.882957824446,0.0,0.0,0.0,-3911.838808302591,0.0,0.0,0.0,0.0,0.0,0.0,-3911.8770274852536,0.0,0.0,0.0,0.0,0.0,0.0,-3911.8093517742473,0.0,0.0,0.0,0.0,0.0,0.0,-3911.838303683589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,-3884.4511185072934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3884.390348235181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3884.450888389089,0.0,0.0,0.0,-3904.556682211184,0.0,0.0,0.0,0.0,0.0,0.0,-3904.5946923107495,0.0,0.0,0.0,0.0,0.0,0.0,-3904.528577286412,0.0,0.0,0.0,0.0,0.0,0.0,-3904.556203375669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,-3883.9543512940477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3883.9067226119437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3883.9541726867374,0.0,0.0,0.0,-3895.6524064711366,0.0,0.0,0.0,0.0,0.0,0.0,-3895.6903293466044,0.0,0.0,0.0,0.0,0.0,0.0,-3895.6264747977466,0.0,0.0,0.0,0.0,0.0,0.0,-3895.6519582932683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,-3883.3116938666262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3883.2848863812087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3883.3116018354813,0.0,0.0,0.0,-3883.1041380051533,0.0,0.0,0.0,0.0,0.0,0.0,-3883.1421031487107,0.0,0.0,0.0,0.0,0.0,0.0,-3883.0843949063124,0.0,0.0,0.0,0.0,0.0,0.0,-3883.103746823647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,-10.290549766563787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.714905879234008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.355417340151451,0.0,0.0,0.0,-52.313403268538345,0.0,0.0,0.0,0.0,0.0,0.0,-52.314704032244855,0.0,0.0,0.0,0.0,0.0,0.0,-52.319546014897114,0.0,0.0,0.0,0.0,0.0,0.0,-52.3121619556053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
