Line,1,2,3,4,5,Total
AnnualSum,6262.518999420831,10679.659532393107,10335.102395266269,3927.9603200438564,3367.7922641251057,34573.03351124917
t1,7019.771805843317,11704.528788047674,10474.1250640097,2946.0449708120696,3174.992730285339,35319.463358998095
t2,6756.902592062541,11242.874595440684,10474.124490074382,2985.7182121446795,3106.0554203863207,34565.67531010861
t3,6224.435324229428,10503.335119985964,10474.124386924064,3000.343465045703,2998.2620845628257,33200.50038074798
t4,5540.173165522533,9609.787931708006,10474.124299743675,2987.6974668441703,2862.6462024922853,31474.429066310666
t5,4888.67272566925,8789.4964818454,10474.124224028523,2984.6640372045576,2713.184378310687,29850.141847058418
t6,3940.326740783943,7433.888824875033,10474.124083726863,2882.9089729319517,2474.3599632266655,27205.608585544458
t7,3285.8583236916866,6472.542836605364,10474.123976002897,2762.659230147139,2274.8247217683675,25270.009088215455
t8,1548.080422808367,3290.478201924988,10474.123391689925,1983.5129808644128,1423.089805988762,18719.284803276456
t9,1056.8627400373744,0.09987672029831514,7133.157246244021,863.8121571111354,0.09711363112768111,9054.029133743956
t10,20265.299991723794,25523.099991722993,10474.199991725633,15359.399991724484,6230.6999917272515,77852.69995862414
t11,20265.299991724147,25523.09999172337,10474.199991725944,15359.39999172483,6230.699991727534,77852.69995862583
t12,20265.299991724205,25523.09999172347,10474.199991726,15359.399991724882,6230.699991727571,77852.69995862612
t13,20265.2999917242,25523.099991723397,10474.199991725993,15359.39999172487,6230.699991727565,77852.69995862604
t14,20265.299991724132,25523.09999172335,10474.199991725942,15359.3999917248,6230.699991727524,77852.69995862574
t15,20265.29999172391,25523.09999172311,10474.199991725756,15359.399991724576,6230.699991727359,77852.69995862471
t16,20265.299991720105,25523.099991719275,10474.199991722076,15359.399991720833,6230.699991723836,77852.69995860613
t17,1089.8757505025308,2069.4900113834233,10474.122740040071,1361.0321747140838,1118.4851079646019,16113.005784604711
t18,3919.081102515406,7521.449111391526,10474.12412839308,2652.405516565409,2581.091112386831,27148.150971252253
t19,4818.4558322109615,9077.809522389016,10474.124273718975,2779.9419073802273,2808.973038484275,29959.304574183458
t20,4787.697377185187,8999.628910560363,10474.12422728772,2777.2696722678156,2799.845959492656,29838.566146793743
t21,4725.341696981307,8888.975231381919,10474.124199362474,2769.4099761844072,2785.426314078024,29643.277417988134
t22,5654.670655690062,10255.36190112888,10474.1243622182,2782.0892752152877,3005.333418246632,32171.579612499056
t23,6398.283083195821,11501.044270451219,10474.171709293914,2756.087829942236,3178.184447747214,34307.7713406304
t24,6520.036835348199,11726.523216461354,10474.171785801394,2738.482989622682,3211.8972382334878,34671.11206546712
t25,6500.619840066488,11640.72536455667,10474.171762193255,2710.5344407820653,3217.534803488198,34543.58621108668
t26,6443.83986468954,11482.791297459147,10474.171659637368,2719.8588343804504,3198.311115902794,34318.972772069304
t27,6620.6962349511605,11533.07534289087,10474.166543428353,2753.5751650492057,3204.8971168652415,34586.41040318483
t28,6321.042935240614,10952.4187736963,10474.124451898699,2778.22835647339,3128.5622680078354,33654.37678531684
t29,5385.7542605011295,9661.352554408933,10474.124297467104,2733.877558009389,2954.7032922885737,31209.81196267513
t30,4437.790123430255,8319.798297339856,10474.124169988305,2681.860000625867,2735.5672777289533,28649.139869113238
t31,3770.808539878958,7321.812752196917,10474.124077479582,2626.068126017443,2542.6328533066644,26735.446348879566
t32,1909.7322269658823,4054.5746060527586,10474.123590311794,2030.36448217294,1761.4527036522657,20230.247609155642
t33,990.8252803997764,0.09925911849087851,8201.469954215036,668.6288651555273,0.09712681275664241,9861.120485701587
t34,20265.29999172358,25523.09999172273,10474.199991725442,15359.399991724264,6230.699991727089,77852.69995862311
t35,20265.299991724023,25523.09999172325,10474.199991725845,15359.399991724702,6230.699991727446,77852.69995862528
t36,20265.299991724056,25523.09999172326,10474.199991725893,15359.399991724746,6230.6999917274825,77852.69995862544
t37,20265.299991724,25523.09999172315,10474.199991725838,15359.39999172466,6230.699991727427,77852.69995862506
t38,20265.299991723656,25523.099991722815,10474.199991725538,15359.399991724324,6230.699991727158,77852.69995862349
t39,20265.29999171838,25523.099991717445,10474.199991720427,15359.399991719043,6230.6999917221965,77852.69995859748
t40,2083.2710662299282,932.4793847045981,10474.119829623884,876.352891560964,1463.1930051881482,15829.416177307523
t41,5405.030370086321,7233.108368452261,10474.121323826932,2331.54233900006,3002.688464307028,28446.490865672604
