Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.04139842182388696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17925721553836368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790170382870256,0.0,0.0,0.0,1.4084115817438844e-6,0.0,0.0,0.0,0.0,0.0,0.0,1.4084867529947281e-6,0.0,0.0,0.0,0.0,0.0,0.0,1.408341061075984e-6,0.0,0.0,0.0,0.0,0.0,0.0,1.4084148758469343e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7996783093035479
t1,1.898851356157479e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8904819334285583e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8892882223069117e-7,0.0,0.0,0.0,2.1303996429081673e-7,0.0,0.0,0.0,0.0,0.0,0.0,2.130377077429089e-7,0.0,0.0,0.0,0.0,0.0,0.0,2.1304287761197462e-7,0.0,0.0,0.0,0.0,0.0,0.0,2.130400317340915e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4200227325690865e-6
t2,1.8972161688879926e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8894438242022828e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8884514135774524e-7,0.0,0.0,0.0,2.0963834848052272e-7,0.0,0.0,0.0,0.0,0.0,0.0,2.0963607023577766e-7,0.0,0.0,0.0,0.0,0.0,0.0,2.096411217485314e-7,0.0,0.0,0.0,0.0,0.0,0.0,2.0963804235119334e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4060647234827978e-6
t3,1.8952052389337469e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8881274507643502e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.887355767422497e-7,0.0,0.0,0.0,2.05965235405615e-7,0.0,0.0,0.0,0.0,0.0,0.0,2.059627048065095e-7,0.0,0.0,0.0,0.0,0.0,0.0,2.0596822107439095e-7,0.0,0.0,0.0,0.0,0.0,0.0,2.0596466740209915e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.390929674400674e-6
t4,1.8929487857588556e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.886668795145874e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8861281117797676e-7,0.0,0.0,0.0,2.0198167821249535e-7,0.0,0.0,0.0,0.0,0.0,0.0,2.0197916908856377e-7,0.0,0.0,0.0,0.0,0.0,0.0,2.019847343693779e-7,0.0,0.0,0.0,0.0,0.0,0.0,2.0198116616867315e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3745013171075598e-6
t5,1.8903641673714313e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8850144361882104e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.884704617986769e-7,0.0,0.0,0.0,1.9760980853710274e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9760728050169853e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.976130630629145e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9760940068323411e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3564478749395908e-6
t6,1.8873086771280016e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8830784673099056e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.883008836535265e-7,0.0,0.0,0.0,1.9270734719742003e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9270492169115669e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9271058700011869e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9270663133583588e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3361690853218486e-6
t7,1.8834448609932734e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8805963391222756e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.880759120768832e-7,0.0,0.0,0.0,1.868905958839533e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.8688826646826333e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.8689402647417012e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.8688958917706392e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3120425100918888e-6
t8,1.877811049203858e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8768514665362865e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.877320069738457e-7,0.0,0.0,0.0,1.7890053903959476e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.788983651404703e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7890506107706751e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7889982233181124e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.278802046136804e-6
t9,3.4401740722430896e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.440495393899768e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44386150505463e-8,0.0,0.0,0.0,3.4403590785184696e-8,0.0,0.0,0.0,0.0,0.0,0.0,3.440279044749985e-8,0.0,0.0,0.0,0.0,0.0,0.0,3.440379791237447e-8,0.0,0.0,0.0,0.0,0.0,0.0,3.4403495886491345e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.408589847435252e-7
t10,0.3260869227447626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4130434442036868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565217357050841,0.0,0.0,0.0,1.0586413456770177e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.0586965108614066e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.0585735966163732e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.0586273882835887e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.304390069387704
t11,0.32608683286051626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.413043354124278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565217266942558,0.0,0.0,0.0,8.755634448961473e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.756081302788255e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.755086383182567e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.755521709866368e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.304382476251196
t12,0.32608683285934825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4130433541229417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565217266942835,0.0,0.0,0.0,8.071243113809547e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.071656910231504e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.070737357718726e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.07114030212281e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.304379738702808
t13,0.3260868328592878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4130433541227998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5652172669429385,0.0,0.0,0.0,7.609240414655295e-6,0.0,0.0,0.0,0.0,0.0,0.0,7.609629205906552e-6,0.0,0.0,0.0,0.0,0.0,0.0,7.608763521707919e-6,0.0,0.0,0.0,0.0,0.0,0.0,7.609142547547453e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3043778907007155
t14,0.3260868328597006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.413043354123268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565217266944635,0.0,0.0,0.0,7.4534528840122986e-6,0.0,0.0,0.0,0.0,0.0,0.0,7.453831953585236e-6,0.0,0.0,0.0,0.0,0.0,0.0,7.452986149167188e-6,0.0,0.0,0.0,0.0,0.0,0.0,7.453355403747256e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.304377267553995
t15,0.3260868328745205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4130433541666911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56521726701912,0.0,0.0,0.0,7.70115865030291e-6,0.0,0.0,0.0,0.0,0.0,0.0,7.701548636242012e-6,0.0,0.0,0.0,0.0,0.0,0.0,7.700677155563933e-6,0.0,0.0,0.0,0.0,0.0,0.0,7.701057387112809e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.304378258502162
t16,0.3260869452920596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4130434667646012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5652173796437445,0.0,0.0,0.0,8.491775929862006e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.492215687871615e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.49124431092726e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.491673804848468e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3043817586101385
t17,1.8781081891763276e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8775293153958523e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8787607044952962e-7,0.0,0.0,0.0,1.8036896251152808e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.8036655952397946e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.803694439305752e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.8036795328342798e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2849127401562583e-6
t18,1.8846533486211334e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8818196285262933e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.882181521244143e-7,0.0,0.0,0.0,1.8788365380810564e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.8788199967122706e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.8788434277834343e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.8788373476347662e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3163991808603098e-6
t19,1.8882590877540618e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.884257991478847e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8843309373046014e-7,0.0,0.0,0.0,1.9190088935133724e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9189963848616565e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9190140877620942e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.919003389059666e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33328707717343e-6
t20,1.890664318148978e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8859379884580783e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8858557839070376e-7,0.0,0.0,0.0,1.9445898683739457e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9445820584458183e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.94459162643548e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9445834419332795e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3440805085702617e-6
t21,1.8923686923314306e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.887195228862403e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8870215730831674e-7,0.0,0.0,0.0,1.9609289143975694e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9609280600658933e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9609263282476077e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9609184700658661e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3510287267053939e-6
t22,1.8935885445203993e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8881556592259353e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8879113688840733e-7,0.0,0.0,0.0,1.9699073566992814e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9699063036195875e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9699049445906582e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9698964348646647e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3549270612404601e-6
t23,1.884862699170667e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87957016322811e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.879120790631408e-7,0.0,0.0,0.0,1.9625854117562025e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9623731134371125e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9627912361604185e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9625778772650487e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3493881291648968e-6
t24,1.8848697961020983e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8795618693684208e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8791085759261755e-7,0.0,0.0,0.0,1.9609722980777416e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9607617956947706e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9611774861250379e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9609644616660994e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3487416282960343e-6
t25,1.8846556938842955e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8794540569696578e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8790478926521858e-7,0.0,0.0,0.0,1.9548395670630597e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9546303627449054e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.9550438916997768e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.954829690115626e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3462501155129508e-6
