Zone,1,2,3,4
t1,741.4687169949967,756.4478631593297,726.7861341531038,741.468908430494
t2,741.0752745234497,756.046461427331,726.4004919792828,741.0754516642583
t3,741.0730230114743,756.0441468017005,726.3982976558016,741.0731810729211
t4,741.0723250441865,756.0434092693461,726.3976291771096,741.0724595157634
t5,741.0720463425444,756.0430964490625,726.3973711883369,741.0721531221606
t6,741.0714558683279,756.0424403743617,726.39682066469,741.0715220130639
t7,741.0712295189492,756.0421577820669,726.3966229200546,741.0712602061246
t8,741.0685832500742,756.0391352080087,726.394180444534,741.068434506958
t9,672.3518590102568,685.9339145061493,672.3506949656704,672.3520262572619
t10,-4.022112277011854e6,-4.022112276958974e6,-4.022112277035107e6,-4.022112276969363e6
t11,-4.022112277832059e6,-4.0221122777796728e6,-4.022112277852181e6,-4.0221122777847117e6
t12,-4.022112277941978e6,-4.0221122778896946e6,-4.022112277962782e6,-4.022112277891908e6
t13,-4.0221122778812023e6,-4.022112277825164e6,-4.022112277903264e6,-4.0221122778257974e6
t14,-4.022112277721055e6,-4.022112277662225e6,-4.022112277744293e6,-4.0221122776624537e6
t15,-4.022112277180828e6,-4.0221122771200496e6,-4.0221122772054076e6,-4.022112277123055e6
t16,-4.022112255010148e6,-4.022112254949465e6,-4.02211225503579e6,-4.022112254962722e6
t17,741.0245755513918,755.9939912998755,726.3512091517977,741.0243962717043
t18,741.0746047808959,756.045651481071,726.3999052478864,741.0747003932711
t19,741.0725752130099,756.0436325011282,726.397884165094,741.0727041630425
t20,741.0720364012466,756.0430813217241,726.3973574571951,741.0721641577221
t21,741.0717145947684,756.0427498639789,726.3970441327136,741.0718402525212
t22,741.0727544635095,756.0438522739902,726.3980384513575,741.0729191465336
t23,2004.428022059284,2044.9214744676638,1964.736349420786,2004.428215786772
t24,2004.4487382814898,2044.9426131497446,1964.756651691159,2004.4489381670826
t25,2004.4438434799044,2044.9376188826652,1964.7518552225129,2004.4440466719818
t26,2004.3870157464,2044.8796413270793,1964.696155384781,2004.3872159885914
t27,1702.8461521735737,1737.2470489488014,1669.1263971000828,1702.8463538029612
t28,741.0753383127802,756.0465119815974,726.4005595145022,741.0755271056843
t29,741.0724790803413,756.0435599700882,726.3977792897912,741.0726393283575
t30,741.0718536922897,756.0428765319954,726.3971916484102,741.0719763962314
t31,741.0719076682684,756.0428892136664,726.3972661966775,741.0719966049772
t32,741.0692784467996,756.0399569004055,726.394806975667,741.0692299083013
t33,672.354200730534,685.9362445478667,672.3527057979633,672.3546109397046
t34,-4.0221122764730356e6,-4.022112276415185e6,-4.0221122764948043e6,-4.0221122764264327e6
t35,-4.0221122776474603e6,-4.0221122775899223e6,-4.0221122776687765e6,-4.022112277595947e6
t36,-4.0221122777147936e6,-4.022112277653239e6,-4.0221122777367583e6,-4.0221122776564783e6
t37,-4.0221122775061117e6,-4.0221122774383374e6,-4.022112277529543e6,-4.0221122774394974e6
t38,-4.0221122764394926e6,-4.0221122763683847e6,-4.022112276465647e6,-4.0221122763703526e6
t39,-4.0221122407437726e6,-4.0221122406634246e6,-4.0221122407726897e6,-4.022112240670184e6
t40,713.5021850080274,727.9159946958067,699.3743383226164,713.5027623366918
t41,713.5050458946289,727.9192102679037,699.3762848880066,713.5052704145393
t42,1702.8274712556051,1737.2280295477651,1669.108072070648,1702.8277161198057
t43,1702.8769048343147,1737.2784152451252,1669.1565399681645,1702.8771117051776
t44,1702.8694381698012,1737.2707979857832,1669.1492212929713,1702.869637100574
t45,1702.8683980386263,1737.2697391022748,1669.148201550484,1702.8685915148342
t46,1702.869340379295,1737.2706921963093,1669.1491274324767,1702.8695393814605
t47,1993.88854459185,2034.169054890981,1954.4055776015962,1993.8887472560598
t48,1993.9062620711147,2034.1871306394999,1954.4229413160176,1993.9064734526078
t49,1993.896189501026,2034.176847910941,1954.413072323033,1993.896400609518
t50,1702.9850294928813,1737.3886892250316,1669.2625323564257,1702.9852379242104
t51,1702.8719275566812,1737.2733198442243,1669.1516669454434,1702.8721346464918
t52,1702.8600655233997,1737.2612457511934,1669.1400343669125,1702.8602708163091
t53,741.074126280613,756.0452776220171,726.3993733298439,741.0743095382642
t54,741.0721149483782,756.0431817516926,726.3974293383482,741.0722556853556
t55,741.072063521591,756.0430874486433,726.3974003422978,741.07216307555
t56,741.0706264958834,756.0414392037887,726.3960952890187,741.0706232214822
t57,672.3528514482218,685.934922126102,672.3510861661467,672.3533272548407
t58,-4.0221122745597325e6,-4.022112274491636e6,-4.022112274587859e6,-4.0221122745045e6
t59,-4.0221122773169694e6,-4.022112277248103e6,-4.0221122773451065e6,-4.022112277253094e6
t60,-4.022112277599012e6,-4.022112277527667e6,-4.02211227762728e6,-4.02211227752737e6
t61,-4.022112277436276e6,-4.022112277358502e6,-4.022112277466598e6,-4.0221122773549543e6
t62,-4.022112276570438e6,-4.0221122764860336e6,-4.0221122766026794e6,-4.0221122764816703e6
t63,-4.0221122473595957e6,-4.0221122472742177e6,-4.0221122473925776e6,-4.022112247273556e6
t64,713.5024915812768,727.9162914496288,699.3745749975383,713.5032502773893
t65,713.5058227065093,727.9199884970072,699.3770527907868,713.5061816347012
t66,1702.8709946575957,1737.2723610660998,1669.150759787917,1702.8713706184176
t67,1702.878115008522,1737.2795266751384,1669.1577564740996,1702.8784479922604
t68,1702.8714000171055,1737.272687064362,1669.1511718453196,1702.8717143054355
t69,1702.8700804046082,1737.2713619163164,1669.1498750751393,1702.870379718708
t70,1702.8701179150312,1737.271399299126,1669.1499102026344,1702.8703928550117
t71,2107.2489636395917,2149.819497249524,2065.5212510675087,2107.2492112643613
t72,2107.255140073316,2149.825810637316,2065.5273004600153,2107.2553855728374
t73,1767.3124567396817,1803.015593222624,1732.316161001956,1767.3127040573065
t74,1702.8717751684396,1737.2730971821807,1669.1515314862354,1702.8720366946397
t75,1702.8708855248685,1737.272203637916,1669.1506585752547,1702.8711635177738
t76,1702.8703800531632,1737.2717015654837,1669.150162251075,1702.8706575245465
t77,1702.8695401702093,1737.2708681253282,1669.149334907094,1702.8698007022751
t78,1702.8638928889764,1737.2651349620432,1669.1437929869267,1702.8641338471007
t79,741.0751752812128,756.0463391791823,726.4004054066958,741.0753858921007
t80,741.0709920217516,756.0419781201801,726.3963693425891,741.0711494974721
t81,713.5028955275557,727.91616489897,699.3750023870371,713.5030535521182
t82,-4.022112272500032e6,-4.0221122724308623e6,-4.022112272528932e6,-4.0221122724383725e6
t83,-4.0221122775291805e6,-4.0221122774654054e6,-4.0221122775560943e6,-4.0221122774659214e6
t84,-4.022112277718612e6,-4.0221122776517035e6,-4.022112277745757e6,-4.0221122776496224e6
t85,-4.0221122776298756e6,-4.0221122775583505e6,-4.0221122776580607e6,-4.0221122775543085e6
t86,-4.022112277188997e6,-4.0221122771116793e6,-4.022112277218814e6,-4.0221122771076174e6
t87,-4.022112272998324e6,-4.022112272917517e6,-4.0221122730291933e6,-4.022112272917864e6
t88,713.4996765516875,727.9133312113171,699.3738078690596,713.5019942378859
t89,713.50422454107,727.9183002738051,699.3755355795652,713.5044867702444
t90,1702.8535122620103,1737.2545600542546,1669.133614123046,1702.8538316645875
t91,1703.4982427714428,1737.9122522119787,1669.7655925786887,1703.4985588074658
t92,1703.3741326880088,1737.7856250357954,1669.6439439216579,1703.3744544769827
t93,1702.8700436957681,1737.27136270839,1669.1498350846123,1702.8703560726292
t94,1703.4119586082418,1737.824220629126,1669.6810179037407,1703.4122565770294
t95,1993.380508227734,2033.6507406720127,1953.9076069148791,1993.380806322413
t96,1993.3755247816819,2033.6456613046282,1953.9027218284687,1993.3758132724354
t97,1993.3604651192477,2033.630298374006,1953.8879607432343,1993.360738803974
t98,1702.889115719269,1737.2908398743875,1669.1685190818416,1702.889364787557
t99,1702.8711669998004,1737.2725325328208,1669.150924737429,1702.8713970605572
t100,1702.8760458735283,1737.2775227723057,1669.1557050587512,1702.8762737197444
t101,1702.8201363233882,1737.2205112876043,1669.1008985238468,1702.8203695102102
t102,741.0736197041616,756.0447522910712,726.3988825511562,741.0738426183266
t103,741.0752842231431,756.046426568085,726.4005271806282,741.0754930289727
t104,741.0677341865676,756.0385826174106,726.3932092407634,741.067886239715
t105,713.4989939748687,727.9109119971189,699.3741167292743,713.5013660864446
t106,-4.0221122702422277e6,-4.022112270179534e6,-4.022112270266578e6,-4.022112270183854e6
t107,-4.0221122773088817e6,-4.0221122772478396e6,-4.0221122773316014e6,-4.0221122772461595e6
t108,-4.022112277612625e6,-4.02211227754688e6,-4.0221122776377816e6,-4.022112277542892e6
t109,-4.022112277461358e6,-4.022112277389072e6,-4.0221122774882903e6,-4.022112277383409e6
t110,-4.022112277137518e6,-4.0221122770588566e6,-4.022112277167588e6,-4.0221122770528994e6
t111,-4.0221122724309256e6,-4.0221122723489543e6,-4.0221122724618562e6,-4.0221122723464468e6
t112,713.4963953548877,727.9099946548154,699.3735579420058,713.5018080745955
t113,713.503881549859,727.9179381195551,699.375216262944,713.504163182132
t114,768.6447037768266,784.1728751904301,753.4239816703542,768.6450272214112
