Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,0.0008164449518862891,1.222462660559248,0.0,0.0,0.0,0.0,0.0,5.706912209689891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008990961925150278,7.083339956623376,0.0,0.0,0.0,0.0,0.0,0.0,0.0009056069554367414,0.0,0.0,0.0,1.5590185277907723e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.5589838077652855e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.55905462349007e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.5589948793346674e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0007780639445687903,1.4836666342460516,0.0,0.0,0.0,0.0,0.0,7.238935960604197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008571437150525963,8.997557664963002,0.0,0.0,0.0,0.0,0.0,0.0,0.0008633689171383781,0.0,0.0,0.0,1.484866644423624e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4848357818173168e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4849030587569166e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4848444480446939e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0007355807376363576,1.731147370465947,0.0,0.0,0.0,0.0,0.0,8.689560974469067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008107111586926788,10.810237854082914,0.0,0.0,0.0,0.0,0.0,0.0,0.0008165667170503747,0.0,0.0,0.0,1.4020657335244087e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4020386595479028e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4021033900259185e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4020450183385368e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0006876699178514861,1.9654036861137945,0.0,0.0,0.0,0.0,0.0,10.069357062028477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007583577019749148,12.53459557648082,0.0,0.0,0.0,0.0,0.0,0.0,0.0007637195393742832,0.0,0.0,0.0,1.307781958327204e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.3077587342853592e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.3078221779334027e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.3077629541687578e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0006321582420246117,2.1862437083503803,0.0,0.0,0.0,0.0,0.0,11.380156826205486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006977298843429606,14.172719919990074,0.0,0.0,0.0,0.0,0.0,0.0,0.0007024030711220679,0.0,0.0,0.0,1.1973887592697713e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.197369491021504e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.1974337802253345e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.197371857795169e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0005650410145385706,2.393284097721722,0.0,0.0,0.0,0.0,0.0,12.624996070494191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006245122092269539,15.728677113007063,0.0,0.0,0.0,0.0,0.0,0.0,0.0006281517625867319,0.0,0.0,0.0,1.0624347642307077e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.0624197284241768e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.0624886617303045e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.0624203867523042e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.00047737122491443704,2.5857169890104252,0.0,0.0,0.0,0.0,0.0,13.800607741498546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005291363404889391,17.197726262496523,0.0,0.0,0.0,0.0,0.0,0.0,0.0005309739010912986,0.0,0.0,0.0,8.844402800405928e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.844297542567562e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.845132485319311e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.844294176148575e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.00033965871837883396,2.763871129372749,0.0,0.0,0.0,0.0,0.0,14.93791620061985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038067928494964226,18.61936992413826,0.0,0.0,0.0,0.0,0.0,0.0,0.0003779493439106211,0.0,0.0,0.0,6.090248993453274e-6,0.0,0.0,0.0,0.0,0.0,0.0,6.090178094360849e-6,0.0,0.0,0.0,0.0,0.0,0.0,6.0915309123977535e-6,0.0,0.0,0.0,0.0,0.0,0.0,6.0901865344059425e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,3.1532504264950856e-8,3.0932965445819565,0.0,0.0,0.0,0.0,0.0,16.787301156760694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15509383841504e-8,20.928574176050493,0.0,0.0,0.0,0.0,0.0,0.0,3.1589740837792986e-8,0.0,0.0,0.0,3.21530623330869e-8,0.0,0.0,0.0,0.0,0.0,0.0,3.215226012437995e-8,0.0,0.0,0.0,0.0,0.0,0.0,3.215333372831196e-8,0.0,0.0,0.0,0.0,0.0,0.0,3.21529940021079e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
