Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,-1.481931429688183e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4818977146985508e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4819324740512678e6,0.0,0.0,0.0,-1.5222875491801258e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5223034907266898e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.522273370947376e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.522287422088323e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,-1.481829538718641e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4817982595633336e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.481830738772244e6,0.0,0.0,0.0,-1.5184526299343114e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5184682667825674e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5184388599013248e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5184525126100502e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,-1.4817223332971085e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4816936105347578e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.481723637456729e6,0.0,0.0,0.0,-1.5142017412513047e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5142171042749395e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5141883747499296e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5142016329395208e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,-1.481608447477042e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4815824443761765e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4816097974877367e6,0.0,0.0,0.0,-1.50944111964785e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5094562400629355e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5094281651308222e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5094410198391743e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,-1.481485749742186e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4814627025150196e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4814870777506132e6,0.0,0.0,0.0,-1.5040225770500868e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5040374858398961e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.504010068382695e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5040224829547615e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,-1.4813505205909899e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4813308097692095e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.481351743457362e6,0.0,0.0,0.0,-1.4976832745722323e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.4976980034330147e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.4976713033572063e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.4976831804608798e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,-1.481194868252734e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4811792484145358e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4811958744495758e6,0.0,0.0,0.0,-1.489853480348322e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.4898680641864142e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.4898423205377844e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.4898533775710529e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,-1.4809921861660145e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4809833460068945e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.480992815801025e6,0.0,0.0,0.0,-1.4785863819807551e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.4786008673153203e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.478577469480578e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.4785862859308568e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,-275263.2133489901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-275608.29773811635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-275081.0319792689,0.0,0.0,0.0,-279541.20692308753,0.0,0.0,0.0,0.0,0.0,0.0,-279555.7101147061,0.0,0.0,0.0,0.0,0.0,0.0,-279539.1680314515,0.0,0.0,0.0,0.0,0.0,0.0,-279531.1296603086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
