region,Resource,zone,Cluster,R_ID,ESR_1,AnnualSum
East,East_batteries_1,1,1,1,0.0,0.0
East,East_conventional_hydroelectric_1,1,1,2,2.2500737376154688e-5,2.2500737376154688e-5
East,East_landfill_gas_1,1,1,3,6.192208582103797e-5,6.192208582103797e-5
East,East_natural_gas_internal_combustion_engine_1,1,1,4,0.0,0.0
East,East_petroleum_liquids_with_gt_1,1,1,5,0.0,0.0
East,East_petroleum_liquids_with_ic_1,1,1,6,0.0,0.0
East,East_solar_photovoltaic_1,1,1,7,0.000330094390776139,0.000330094390776139
North,North_conventional_hydroelectric_1,2,1,8,0.00018042823315144775,0.00018042823315144775
North,North_landfill_gas_1,2,1,9,6.0721109249787036e-5,6.0721109249787036e-5
North,North_natural_gas_internal_combustion_engine_1,2,1,10,0.0,0.0
North,North_onshore_wind_turbine_1,2,1,11,5.2167285030444134e-6,5.2167285030444134e-6
North,North_petroleum_liquids_with_cc_1,2,1,12,0.0,0.0
North,North_petroleum_liquids_with_gt_1,2,1,13,0.0,0.0
North,North_petroleum_liquids_with_st_1,2,1,14,0.0,0.0
North,North_solar_photovoltaic_1,2,1,15,8.748669414648347e-5,8.748669414648347e-5
South,South_batteries_1,3,1,16,0.0,0.0
South,South_conventional_hydroelectric_1,3,1,17,0.00023364578208622878,0.00023364578208622878
South,South_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0
South,South_natural_gas_steam_turbine_1,3,1,19,0.0,0.0
South,South_onshore_wind_turbine_1,3,1,20,0.0010110801216114448,0.0010110801216114448
South,South_petroleum_liquids_with_gt_1,3,1,21,0.0,0.0
South,South_petroleum_liquids_with_st_1,3,1,22,0.0,0.0
South,South_solar_photovoltaic_1,3,1,23,0.00029067799056418497,0.00029067799056418497
West,West_batteries_1,4,1,24,0.0,0.0
West,West_petroleum_liquids_with_gt_1,4,1,25,0.0,0.0
West,West_petroleum_liquids_with_ic_1,4,1,26,0.0,0.0
West,West_solar_photovoltaic_1,4,1,27,0.0002934893533793982,0.0002934893533793982
East,East_battery_moderate_0,1,0,28,0.0,0.0
East,East_naturalgas_ctavgcf_moderate_0,1,0,29,0.0,0.0
East,East_naturalgas_ccavgcf_moderate_0,1,0,30,0.0,0.0
East,East_microgrid_solar_moderate_0,1,0,31,1.4434911518091171e-5,1.4434911518091171e-5
East,East_microgrid_diesel_moderate_0,1,0,32,0.0,0.0
East,East_utilitypv_class1_moderate_1,1,1,33,0.005779958256605987,0.005779958256605987
East,East_landbasedwind_class3_moderate_1,1,1,34,0.0025513691296476957,0.0025513691296476957
North,North_battery_moderate_0,2,0,35,0.0,0.0
North,North_naturalgas_ctavgcf_moderate_0,2,0,36,0.0,0.0
North,North_naturalgas_ccavgcf_moderate_0,2,0,37,0.0,0.0
North,North_microgrid_solar_moderate_0,2,0,38,1.4406820798702183e-5,1.4406820798702183e-5
North,North_microgrid_diesel_moderate_0,2,0,39,0.0,0.0
North,North_utilitypv_class1_moderate_1,2,1,40,0.006295416280555645,0.006295416280555645
North,North_landbasedwind_class3_moderate_1,2,1,41,0.0017555867432523327,0.0017555867432523327
South,South_battery_moderate_0,3,0,42,0.0,0.0
South,South_naturalgas_ctavgcf_moderate_0,3,0,43,0.0,0.0
South,South_naturalgas_ccavgcf_moderate_0,3,0,44,0.0,0.0
South,South_microgrid_solar_moderate_0,3,0,45,1.4521039580963809e-5,1.4521039580963809e-5
South,South_microgrid_diesel_moderate_0,3,0,46,0.0,0.0
South,South_utilitypv_class1_moderate_1,3,1,47,0.007019830840566637,0.007019830840566637
South,South_landbasedwind_class3_moderate_1,3,1,48,0.002658759742034409,0.002658759742034409
West,West_battery_moderate_0,4,0,49,0.0,0.0
West,West_naturalgas_ctavgcf_moderate_0,4,0,50,0.0,0.0
West,West_naturalgas_ccavgcf_moderate_0,4,0,51,0.0,0.0
West,West_microgrid_solar_moderate_0,4,0,52,1.4161759499922032e-5,1.4161759499922032e-5
West,West_microgrid_diesel_moderate_0,4,0,53,0.0,0.0
West,West_utilitypv_class1_moderate_1,4,1,54,0.001582482495118981,0.001582482495118981
West,West_landbasedwind_class3_moderate_1,4,1,55,0.002047470398562351,0.002047470398562351
North,North_to_south_underground_line,2,0,56,0.0,0.0
East,North_to_east_underground_line,1,0,57,0.0,0.0
West,South_to_west_underground_line,4,0,58,0.0,0.0
