Region,Resource,Zone,Cluster,AnnualSum
East,East_batteries_1,1,1,-3.4083395309180864e-7
East,East_conventional_hydroelectric_1,1,1,-1.4516460670743817e-6
East,East_landfill_gas_1,1,1,-3.897610814296106e-6
East,East_natural_gas_internal_combustion_engine_1,1,1,-5.914693342695418e-17
East,East_petroleum_liquids_with_gt_1,1,1,-4.920535733803406e-17
East,East_petroleum_liquids_with_ic_1,1,1,-4.409185614658306e-17
East,East_solar_photovoltaic_1,1,1,-7.691869489038555e-5
North,North_conventional_hydroelectric_1,2,1,-4.901143474185505e-6
North,North_landfill_gas_1,2,1,-3.7960680664150215e-6
North,North_natural_gas_internal_combustion_engine_1,2,1,-6.541653094120174e-17
North,North_onshore_wind_turbine_1,2,1,-6.331831552753781e-7
North,North_petroleum_liquids_with_cc_1,2,1,-3.147498165192647e-17
North,North_petroleum_liquids_with_gt_1,2,1,-4.156520798285089e-17
North,North_petroleum_liquids_with_st_1,2,1,-3.813157565355128e-17
North,North_solar_photovoltaic_1,2,1,-2.040660593559101e-5
South,South_batteries_1,3,1,-1.4175934318455873e-6
South,South_conventional_hydroelectric_1,3,1,-5.666166912474546e-6
South,South_natural_gas_fired_combined_cycle_1,3,1,-4.4603326564181906e-17
South,South_natural_gas_steam_turbine_1,3,1,-4.570646337725871e-17
South,South_onshore_wind_turbine_1,3,1,-8.349244048203605e-5
South,South_petroleum_liquids_with_gt_1,3,1,-4.5423257755759484e-17
South,South_petroleum_liquids_with_st_1,3,1,-3.0352446686565954e-17
South,South_solar_photovoltaic_1,3,1,-6.991608054306946e-5
West,West_batteries_1,4,1,-4.547612900870357e-6
West,West_petroleum_liquids_with_gt_1,4,1,-4.578548050897427e-17
West,West_petroleum_liquids_with_ic_1,4,1,-4.3979186491568e-17
West,West_solar_photovoltaic_1,4,1,-6.935743988785145e-5
East,East_battery_moderate_0,1,0,-2.1695919197564037e-5
East,East_naturalgas_ctavgcf_moderate_0,1,0,-7.259799630362742e-17
East,East_naturalgas_ccavgcf_moderate_0,1,0,-9.273772506556939e-17
East,East_microgrid_solar_moderate_0,1,0,-3.867658631309757e-6
East,East_microgrid_diesel_moderate_0,1,0,-8.81470701345885e-18
East,East_utilitypv_class1_moderate_1,1,1,-0.001675120255266821
East,East_landbasedwind_class3_moderate_1,1,1,-0.00021019069615214138
North,North_battery_moderate_0,2,0,-2.1450528504154787e-5
North,North_naturalgas_ctavgcf_moderate_0,2,0,-7.193495512260362e-17
North,North_naturalgas_ccavgcf_moderate_0,2,0,-9.191740522417522e-17
North,North_microgrid_solar_moderate_0,2,0,-3.871034936222214e-6
North,North_microgrid_diesel_moderate_0,2,0,-8.691522130148049e-18
North,North_utilitypv_class1_moderate_1,2,1,-0.0018314408038461055
North,North_landbasedwind_class3_moderate_1,2,1,-0.00014840117592960922
South,South_battery_moderate_0,3,0,-2.1823656042257995e-5
South,South_naturalgas_ctavgcf_moderate_0,3,0,-7.283054952666046e-17
South,South_naturalgas_ccavgcf_moderate_0,3,0,-9.298409465961225e-17
South,South_microgrid_solar_moderate_0,3,0,-3.908515455977053e-6
South,South_microgrid_diesel_moderate_0,3,0,-8.81963524292606e-18
South,South_utilitypv_class1_moderate_1,3,1,-0.002036684614864374
South,South_landbasedwind_class3_moderate_1,3,1,-0.0002139464650781992
West,West_battery_moderate_0,4,0,-2.158753171171863e-5
West,West_naturalgas_ctavgcf_moderate_0,4,0,-7.229576764458675e-17
West,West_naturalgas_ccavgcf_moderate_0,4,0,-9.23634060773236e-17
West,West_microgrid_solar_moderate_0,4,0,-3.847382221242066e-6
West,West_microgrid_diesel_moderate_0,4,0,-8.786164224804408e-18
West,West_utilitypv_class1_moderate_1,4,1,-0.0004197105251812682
West,West_landbasedwind_class3_moderate_1,4,1,-0.00016520344716237036
North,North_to_south_underground_line,2,0,0.0
East,North_to_east_underground_line,1,0,0.0
West,South_to_west_underground_line,4,0,0.0
