region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
East,East_batteries_1,1,1,1,0.0,0.0,22446.0,2770.7999999999997,0.0037638459242806824,0.0,0.02223443953291594,0.0,-3.96795325553745e-7,-3.4083395309180864e-7,0.0,-9.417632411341913e-8,0.0,0.0,0.0,-4.350102772052278e-7,25216.825997888664,-25216.825998323675
East,East_conventional_hydroelectric_1,1,1,2,0.0,0.0,310516.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.4516460670743817e-6,0.0,3.2522192038587066e-6,2.2500737376154688e-5,0.0,0.0,2.4301310512939014e-5,310516.8,-310516.7999756987
East,East_landfill_gas_1,1,1,3,0.0,0.0,50398.27531520694,0.0,8.127328878512895,0.0,0.0,34.00416612334251,0.0,-3.897610814296106e-6,0.0,7.051148560418474e-6,6.192208582103797e-5,0.0,0.0,6.507562356716035e-5,50440.4068102088,-50440.40674513317
East,East_natural_gas_internal_combustion_engine_1,1,1,4,0.0,0.0,67136.66189795003,0.0,1.1060323998057441e-10,2.1496945515021447e-9,0.0,1.4422595459345955e-9,0.0,-5.914693342695418e-17,0.0,9.392991604024064e-6,0.0,0.0,0.0,9.392991603964917e-6,67136.66189795375,-67136.66188856076
East,East_petroleum_liquids_with_gt_1,1,1,5,0.0,0.0,339452.14533710334,0.0,9.57971820749974e-11,5.4404816320092286e-9,0.0,2.3017115769761754e-9,0.0,-4.920535733803406e-17,0.0,7.15193443016182e-5,0.0,0.0,0.0,7.151934430156899e-5,339452.1453371112,-339452.14526559185
East,East_petroleum_liquids_with_ic_1,1,1,6,0.0,0.0,83893.33878019855,0.0,8.256433623268454e-11,4.655711182009714e-9,0.0,1.791744821149625e-9,0.0,-4.409185614658306e-17,0.0,1.1737393616527316e-5,0.0,0.0,0.0,1.1737393616483225e-5,83893.33878020509,-83893.33876846769
East,East_solar_photovoltaic_1,1,1,7,0.0,0.0,1.1009696294359239e6,0.0,0.0,0.0,0.0,0.0,0.0,-7.691869489038555e-5,0.0,2.006371054487416e-7,0.000330094390776139,0.0,0.0,0.0002533763329912022,1.1009696294359239e6,-1.1009696291825476e6
North,North_conventional_hydroelectric_1,2,1,8,0.0,0.0,1.740776e6,0.0,0.0,0.0,0.0,0.0,0.0,-4.901143474185505e-6,0.0,2.423153403221382e-5,0.00018042823315144775,0.0,0.0,0.00019975862370947607,1.740776e6,-1.7407759998002413e6
North,North_landfill_gas_1,2,1,9,0.0,0.0,49392.810005676394,0.0,7.969699634592481,0.0,0.0,34.00884256321804,0.0,-3.7960680664150215e-6,0.0,6.910475388062755e-6,6.0721109249787036e-5,0.0,0.0,6.383551657143477e-5,49434.78854787421,-49434.78848403869
North,North_natural_gas_internal_combustion_engine_1,2,1,10,0.0,0.0,157413.49375534183,0.0,1.2895612709012875e-10,2.5064029212630247e-9,0.0,1.8559062338564693e-9,0.0,-6.541653094120174e-17,0.0,2.2023490346474432e-5,0.0,0.0,0.0,2.2023490346409014e-5,157413.4937553463,-157413.49373332283
