Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
East,East_batteries_1,1,1,-9.417632411341913e-8,-9.417632411341913e-8
East,East_conventional_hydroelectric_1,1,1,3.2522192038587066e-6,3.2522192038587066e-6
East,East_landfill_gas_1,1,1,7.051148560418474e-6,7.051148560418474e-6
East,East_natural_gas_internal_combustion_engine_1,1,1,9.392991604024064e-6,9.392991604024064e-6
East,East_petroleum_liquids_with_gt_1,1,1,7.15193443016182e-5,7.15193443016182e-5
East,East_petroleum_liquids_with_ic_1,1,1,1.1737393616527316e-5,1.1737393616527316e-5
East,East_solar_photovoltaic_1,1,1,2.006371054487416e-7,2.006371054487416e-7
North,North_conventional_hydroelectric_1,2,1,2.423153403221382e-5,2.423153403221382e-5
North,North_landfill_gas_1,2,1,6.910475388062755e-6,6.910475388062755e-6
North,North_natural_gas_internal_combustion_engine_1,2,1,2.2023490346474432e-5,2.2023490346474432e-5
North,North_onshore_wind_turbine_1,2,1,1.2603294472346093e-7,1.2603294472346093e-7
North,North_petroleum_liquids_with_cc_1,2,1,0.0012611114637714838,0.0012611114637714838
North,North_petroleum_liquids_with_gt_1,2,1,0.0011389455304628457,0.0011389455304628457
North,North_petroleum_liquids_with_st_1,2,1,0.0010661989877814534,0.0010661989877814534
North,North_solar_photovoltaic_1,2,1,6.447291767843676e-8,6.447291767843676e-8
South,South_batteries_1,3,1,-7.271859067377253e-8,-7.271859067377253e-8
South,South_conventional_hydroelectric_1,3,1,3.077439053376348e-5,3.077439053376348e-5
South,South_natural_gas_fired_combined_cycle_1,3,1,0.001703811000196181,0.001703811000196181
South,South_natural_gas_steam_turbine_1,3,1,0.0021646846680863797,0.0021646846680863797
South,South_onshore_wind_turbine_1,3,1,9.601958120286452e-6,9.601958120286452e-6
South,South_petroleum_liquids_with_gt_1,3,1,0.00024677674518412256,0.00024677674518412256
South,South_petroleum_liquids_with_st_1,3,1,0.0028414264219210287,0.0028414264219210287
South,South_solar_photovoltaic_1,3,1,1.928902671616816e-7,1.928902671616816e-7
West,West_batteries_1,4,1,4.897716944214537e-7,4.897716944214537e-7
West,West_petroleum_liquids_with_gt_1,4,1,0.0006135051105956142,0.0006135051105956142
West,West_petroleum_liquids_with_ic_1,4,1,3.59578019022003e-6,3.59578019022003e-6
West,West_solar_photovoltaic_1,4,1,1.8637772808756843e-7,1.8637772808756843e-7
East,East_battery_moderate_0,1,0,4.4189444871137826e-5,4.4189444871137826e-5
East,East_naturalgas_ctavgcf_moderate_0,1,0,5.641817764281753e-5,5.641817764281753e-5
East,East_naturalgas_ccavgcf_moderate_0,1,0,5.328271134050194e-5,5.328271134050194e-5
East,East_microgrid_solar_moderate_0,1,0,1.4340965753223576e-8,1.4340965753223576e-8
East,East_microgrid_diesel_moderate_0,1,0,6.278564462422172e-6,6.278564462422172e-6
East,East_utilitypv_class1_moderate_1,1,1,3.2474147723130475e-6,3.2474147723130475e-6
East,East_landbasedwind_class3_moderate_1,1,1,3.6240136951431985e-5,3.6240136951431985e-5
North,North_battery_moderate_0,2,0,4.4105325424378985e-5,4.4105325424378985e-5
North,North_naturalgas_ctavgcf_moderate_0,2,0,5.6421674065624445e-5,5.6421674065624445e-5
North,North_naturalgas_ccavgcf_moderate_0,2,0,5.3294104322772624e-5,5.3294104322772624e-5
North,North_microgrid_solar_moderate_0,2,0,1.4722281896483232e-8,1.4722281896483232e-8
North,North_microgrid_diesel_moderate_0,2,0,6.281668028487352e-6,6.281668028487352e-6
North,North_utilitypv_class1_moderate_1,2,1,3.629481239664827e-6,3.629481239664827e-6
North,North_landbasedwind_class3_moderate_1,2,1,1.6415411162708126e-5,1.6415411162708126e-5
South,South_battery_moderate_0,3,0,4.42115729199667e-5,4.42115729199667e-5
South,South_naturalgas_ctavgcf_moderate_0,3,0,5.641877992803628e-5,5.641877992803628e-5
South,South_naturalgas_ccavgcf_moderate_0,3,0,5.328213841122076e-5,5.328213841122076e-5
South,South_microgrid_solar_moderate_0,3,0,1.3560501240797874e-8,1.3560501240797874e-8
South,South_microgrid_diesel_moderate_0,3,0,6.283422770534242e-6,6.283422770534242e-6
South,South_utilitypv_class1_moderate_1,3,1,3.6974536609427555e-6,3.6974536609427555e-6
South,South_landbasedwind_class3_moderate_1,3,1,3.564663884682917e-5,3.564663884682917e-5
West,West_battery_moderate_0,4,0,4.4119627366579784e-5,4.4119627366579784e-5
West,West_naturalgas_ctavgcf_moderate_0,4,0,5.642020926599728e-5,5.642020926599728e-5
West,West_naturalgas_ccavgcf_moderate_0,4,0,5.329262136123223e-5,5.329262136123223e-5
West,West_microgrid_solar_moderate_0,4,0,1.3811147851464297e-8,1.3811147851464297e-8
West,West_microgrid_diesel_moderate_0,4,0,6.282752048482811e-6,6.282752048482811e-6
West,West_utilitypv_class1_moderate_1,4,1,9.134032323978829e-7,9.134032323978829e-7
West,West_landbasedwind_class3_moderate_1,4,1,2.262806761388024e-5,2.262806761388024e-5
North,North_to_south_underground_line,2,0,0.0,0.0
East,North_to_east_underground_line,1,0,0.0,0.0
West,South_to_west_underground_line,4,0,0.0,0.0
