Constraint,CapRes_1
t1,3.391578879322367e-9
t2,1.3630032528612977e-9
t3,-1.0208138894189578e-9
t4,-3.5869011697338783e-9
t5,-5.840242988542953e-9
t6,-8.944142606832655e-9
t7,-1.1151724537529101e-8
t8,-1.439818703696017e-8
t9,-1.8223454359548072e-8
t10,-1.9042685003052994e-8
t11,-2.0167179865020015e-8
t12,-2.0516536679180768e-8
t13,-1.99363459572289e-8
t14,-1.9064945258241305e-8
t15,-1.810114372340098e-8
t16,-1.705730142090739e-8
t17,-1.3084750387909792e-8
t18,-7.276389026096425e-9
t19,-5.735724336757883e-9
t20,-5.649696067993993e-9
t21,-5.743675629436907e-9
t22,-1.4620822859548093e-9
t23,5.136947701281293e-9
t24,7.19787705704733e-9
t25,6.572672940642818e-9
t26,4.967856260403472e-9
t27,2.781360690104716e-9
t28,-6.453119914898339e-10
t29,-4.387691031467956e-9
t30,-7.675967665645302e-9
t31,-9.989963063567072e-9
t32,-1.3272888193409258e-8
t33,-1.7616690585003608e-8
t34,-1.8332566896817507e-8
t35,-1.8814065102101083e-8
t36,-1.829986176626774e-8
t37,-1.698079315871139e-8
t38,-1.5553434011012993e-8
t39,-1.3282098292572399e-8
t40,-8.521428642791142e-9
t41,-1.1109462253865285e-9
t42,9.248138657669713e-9
t43,1.295078345232947e-8
t44,1.3365263113255308e-8
t45,1.1934645155680905e-8
t46,1.511160141580453e-8
t47,2.515500888784998e-8
t48,2.881490390482118e-8
t49,2.4736501550726576e-8
t50,2.0701357164738855e-8
t51,1.3635760647593738e-8
t52,4.726697882397077e-9
t53,-8.427046334111703e-10
t54,-5.190734124341764e-9
t55,-8.007815574177e-9
t56,-1.1721966356634279e-8
t57,-1.6506685893046396e-8
t58,-1.6397605023968695e-8
t59,-1.664538820793255e-8
t60,-1.615087885293244e-8
t61,-1.452236007202152e-8
t62,-1.2366799645302874e-8
t63,-1.00226391772981e-8
t64,-3.974216948098835e-9
t65,5.335517341623524e-9
t66,2.0717162227003796e-8
t67,2.6972261846004254e-8
t68,2.6760402331821265e-8
t69,2.1953895271697996e-8
t70,2.5020124843124282e-8
t71,4.9322296847759395e-8
t72,5.8826028947655706e-8
t73,4.504325742556142e-8
t74,3.564954197616866e-8
t75,2.7578548661853807e-8
t76,1.8466117822414844e-8
t77,9.176926204396888e-9
t78,2.706306386870005e-9
t79,-2.792699258992481e-9
t80,-7.830531215492225e-9
t81,-1.4315719669236831e-8
t82,-1.6667998530265316e-8
t83,-1.773078944174565e-8
t84,-1.7441801006728308e-8
t85,-1.6300072896864577e-8
t86,-1.492441415305628e-8
t87,-1.2840310833781096e-8
t88,-8.02396700160572e-9
t89,-9.749662722948885e-10
t90,1.2906298929636944e-8
t91,1.4762057609913851e-8
t92,1.2703579781671009e-8
t93,9.37198722456431e-9
t94,1.4484612271179175e-8
t95,2.202096191392406e-8
t96,2.1996172951898567e-8
t97,2.1529442220114854e-8
t98,1.9689089119103255e-8
t99,1.5900092009419168e-8
t100,1.0508130142500325e-8
t101,1.243491384711859e-9
t102,-2.522183897919426e-9
t103,-5.172108638361572e-9
t104,-9.474406329104551e-9
t105,-1.4839272340118914e-8
t106,-1.6700333408899955e-8
t107,-1.7445141215465207e-8
t108,-1.6749393408434797e-8
t109,-1.535900720142484e-8
t110,-1.4291768329315907e-8
t111,-1.2482336818807381e-8
t112,-8.173037537623711e-9
t113,-2.443816670200611e-9
t114,8.317987084496552e-9
t115,1.5028750148713702e-8
t116,1.68041996009994e-8
t117,1.6967616717793865e-8
t118,2.4961042243618704e-8
t119,3.6864870682121824e-8
t120,3.299816159965889e-8
t121,2.4200016161969356e-8
t122,1.8395524953632284e-8
t123,1.2050882107484142e-8
t124,4.950027077784283e-9
t125,-2.291987212759878e-10
t126,-3.344242558008825e-9
t127,-6.1232421979563245e-9
t128,-9.177747973943976e-9
t129,-1.4611892070071225e-8
t130,-1.626467880899184e-8
t131,-1.669389456058247e-8
t132,-1.5544950948503906e-8
t133,-1.2956878933935319e-8
t134,-9.03766765468357e-9
t135,-2.303491069988378e-9
t136,3.6013547806710606e-9
t137,1.3689988510958103e-8
t138,3.045976937723429e-8
t139,2.994842413232888e-8
t140,2.7298419141079374e-8
t141,2.3506272331435677e-8
t142,3.000311385070375e-8
t143,4.3843635579948634e-8
t144,4.003857308156861e-8
t145,2.944380101051019e-8
t146,2.1190578749565288e-8
t147,1.4618960953895346e-8
t148,7.680938460579257e-9
t149,1.667561876108342e-9
t150,-2.817610357356994e-9
t151,-6.1643866655691255e-9
t152,-1.0358147163243885e-8
t153,-1.6024170468642726e-8
t154,-1.7864542593627812e-8
t155,-1.8838396306593505e-8
t156,-1.868788719139502e-8
t157,-1.7710744840679436e-8
t158,-1.621034976807993e-8
t159,-1.4149307164644183e-8
t160,-1.0340459852591063e-8
t161,-3.6357983053226252e-9
t162,5.827423685098649e-9
t163,6.301498853067369e-9
t164,5.812902987656358e-9
t165,5.1498654933118915e-9
t166,9.640682893706626e-9
t167,1.9991390258327045e-8
t168,2.3793344758498384e-8
t169,1.8125497026360385e-8
t170,1.302671647916558e-8
t171,8.513001299907348e-9
t172,3.0382950049668624e-9
t173,-1.7232628513421123e-9
t174,-5.533841464462315e-9
t175,-7.9742926036591e-9
t176,-1.175816903665956e-8
t177,-1.643298622883252e-8
t178,-1.7967978249520476e-8
t179,-1.9023826895170465e-8
t180,-1.9140814220144154e-8
t181,-1.8419858717252753e-8
t182,-1.738416963438897e-8
t183,-1.5904901259944314e-8
t184,-1.3492744205739854e-8
t185,-7.789610673800487e-9
t186,8.362914832789336e-11
t187,9.526961308297244e-10
t188,-5.553212846499881e-10
t189,-1.5711609062621672e-9
t190,3.0180270924773685e-9
t191,1.0714085453206543e-8
t192,1.373205658317e-8
t193,1.2677793355920521e-8
t194,1.0373808946325489e-8
t195,7.555111613479684e-9
t196,3.3711302703241273e-9
t197,-9.55421773985549e-10
t198,-4.631354869552512e-9
t199,-7.06074097276997e-9
t200,-1.0072624469253415e-8
t201,-1.4415493066628803e-8
t202,-1.595232248085253e-8
t203,-1.6575175787320424e-8
t204,-1.5499469851521725e-8
t205,-1.2263457632001443e-8
t206,-7.530477164108958e-9
t207,3.980438842920044e-9
t208,2.4098240587794095e-8
t209,4.997310649498366e-8
t210,7.111527988768163e-8
t211,6.911819081834534e-8
t212,6.802243731793974e-8
t213,6.263612235155463e-8
t214,6.579933049308023e-8
t215,1.0938565502189328e-7
t216,1.2462414377497877e-7
t217,9.466266076980971e-8
t218,7.297209541386301e-8
t219,5.595053010027146e-8
t220,2.982993802549925e-8
t221,1.6358424043753364e-8
t222,7.401973573693799e-9
t223,2.7900323888623804e-9
t224,1.7269493055058048e-10
t225,-4.2365083963700905e-9
t226,-4.388894266125747e-9
t227,-8.092224346717278e-9
t228,-8.073644839104789e-9
t229,-1.2038116630766257e-9
t230,1.2584133478826001e-8
t231,2.5762301944319018e-8
t232,4.696450122492584e-8
t233,7.923902494802497e-8
t234,1.2241948577578992e-7
t235,1.219274238080573e-7
t236,1.1076562056833952e-7
t237,9.878530603579316e-8
t238,1.1674473887902203e-7
t239,2.6301664296925676e-7
t240,4.1092606304511853e-7
t241,2.4588476825128404e-7
t242,1.7392017063927892e-7
t243,8.953694374100933e-8
t244,5.061761100656319e-8
t245,2.3672360339371378e-8
t246,1.3093555658778383e-8
t247,6.2534598773771545e-9
t248,2.1638275065247634e-9
t249,-5.364425438979336e-9
t250,-7.657830639745192e-9
t251,-9.75195364917504e-9
t252,-1.0549188929661838e-8
t253,-6.03463808084104e-9
t254,5.227673344037098e-9
t255,2.31569736270281e-8
t256,4.3917346804145876e-8
t257,6.973745207952231e-8
t258,1.2367354003143276e-7
t259,1.1747496049595357e-7
t260,6.274662316609246e-8
t261,6.072839184713965e-8
t262,6.169267828387532e-8
t263,7.455035547634154e-8
t264,4.7177021327585416e-8
t265,3.893213931230695e-8
t266,3.256333914039248e-8
t267,2.2764470429000035e-8
t268,1.0986511180785551e-8
t269,4.303215336368664e-9
t270,-4.1218459878546243e-10
t271,-1.2816734581226e-8
t272,-8.63056511558312e-10
t273,-7.925688346035054e-9
t274,-1.0415678057822432e-8
t275,-1.2043719912872544e-8
t276,-1.2488683535653589e-8
t277,-1.0172644362252543e-8
t278,-7.182951884869714e-9
t279,-2.5897028422956654e-9
t280,3.8608081550741425e-9
t281,1.2485528620272538e-8
t282,2.8985321450896642e-8
t283,3.2329441451020966e-8
t284,3.001930321888655e-8
t285,2.8902836329058908e-8
t286,3.732074203865882e-8
t287,5.6006714845863984e-8
t288,6.793821938082393e-8
t289,5.768789300379744e-8
t290,4.853869777275706e-8
t291,3.198380038646315e-8
t292,1.4660401971431878e-8
t293,4.798544964253002e-9
t294,-6.061262985979396e-10
t295,-1.372301564091022e-8
t296,-1.1879871446914523e-8
t297,-1.6052260725619516e-8
t298,-1.668432879684594e-8
t299,-1.6669593109931492e-8
t300,-1.595465491878037e-8
t301,-1.4429176505728194e-8
t302,-1.2386990483861662e-8
t303,-8.226434716659449e-9
t304,-2.189961654674803e-9
t305,5.879802092423659e-9
t306,2.112583162090336e-8
t307,2.2700303662811393e-8
t308,2.0283476992765214e-8
t309,1.707617599051487e-8
t310,2.159753386788846e-8
t311,3.0259123009386266e-8
t312,3.0251607509615324e-8
t313,2.138871355374917e-8
t314,1.596330339635164e-8
t315,1.0656464251937816e-8
t316,4.942193773119351e-9
t317,-5.149056367229753e-11
t318,-3.647520663566814e-9
t319,-5.667363808321126e-9
t320,-9.486140948005723e-9
t321,-1.4222220101494317e-8
t322,-1.6189855650635426e-8
t323,-1.7231518701028323e-8
t324,-1.6495805339445325e-8
t325,-1.5102279318569407e-8
t326,-1.280663691503883e-8
t327,-9.693165052099576e-9
t328,-5.623099574261535e-9
t329,1.493017188116632e-9
t330,1.1835786737687112e-8
t331,1.1603747670001913e-8
t332,1.1155911194276943e-8
t333,1.098771715088386e-8
t334,1.8006192424794462e-8
t335,2.8211515086354776e-8
t336,3.0914541535288994e-8
t337,1.949707914194919e-8
t338,1.938672206693395e-8
t339,1.42467381978418e-8
t340,8.633878020438621e-9
t341,2.624729853454728e-9
t342,-1.622679115009901e-9
t343,-4.531044513140862e-9
t344,-7.680117224303502e-9
t345,-1.3573942564981985e-8
t346,-1.6450342186832398e-8
t347,-1.807849220782706e-8
t348,-1.8092362195052385e-8
t349,-1.732366707216501e-8
t350,-1.6239850212838098e-8
t351,-1.4474272506084666e-8
t352,-1.1614112486285236e-8
t353,-5.604834214109296e-9
t354,2.6785727782107572e-9
t355,3.0195720322170052e-9
t356,2.1448388398774445e-9
t357,1.8556043405780315e-9
t358,8.018797839421928e-9
t359,1.8853880313610593e-8
t360,2.4137579576024394e-8
t361,2.4144065295639253e-8
t362,2.24293056933099e-8
t363,1.8859107791005647e-8
t364,1.2997316567646446e-8
t365,6.575169640144844e-9
t366,1.0714263679025386e-9
t367,-2.279316623053857e-9
t368,-8.089007807346862e-9
t369,-1.2976101832395342e-8
t370,-1.5169302415395852e-8
t371,-1.6370734846374723e-8
t372,-1.538796070271186e-8
t373,-1.278798133458628e-8
t374,-9.09978958325715e-9
t375,-3.0497513036852325e-9
t376,5.328629956337381e-9
t377,1.7875314739368565e-8
t378,3.450989015508329e-8
t379,3.286167409848678e-8
t380,3.1530762320862225e-8
t381,2.8312471217038184e-8
t382,3.1207477308807764e-8
t383,4.0373302757791234e-8
t384,1.0053811383297699e-7
t385,8.113287071584391e-8
t386,6.722033038224254e-8
t387,5.146551413490222e-8
t388,2.8711127599686776e-8
t389,1.6727682948969707e-8
t390,8.490759917318825e-9
t391,3.8859013093105704e-9
t392,2.3612819361673183e-10
t393,-7.186642761379575e-9
t394,-8.806818961687167e-9
t395,-9.278395316017232e-9
t396,-9.832378296575897e-9
t397,-5.597654985937433e-9
t398,5.2345352534367156e-9
t399,2.125603609689284e-8
t400,3.908846378940908e-8
t401,6.519393361824408e-8
t402,1.0446843722819772e-7
t403,1.0502245239261511e-7
t404,1.0006712092481016e-7
t405,8.353646378138264e-8
t406,9.127260670312631e-8
t407,1.558501684885967e-7
t408,2.992674596182874e-7
t409,2.0285853028721486e-7
t410,1.4019849745670042e-7
t411,7.971316456898313e-8
t412,4.769562367620416e-8
t413,2.139219506001078e-8
t414,1.062998018406888e-8
t415,4.115649380769672e-9
t416,-1.0824400643048799e-8
t417,-1.4761958909431037e-8
t418,-1.6366161695747758e-8
t419,-1.7147527565188012e-8
t420,-1.7091454889507613e-8
t421,-1.606387995858306e-8
t422,-1.4189487189377138e-8
t423,-1.1285189061613748e-8
t424,4.28716723750366e-9
t425,1.5325164771694144e-8
t426,3.4572934042431156e-8
t427,3.3730403569429014e-8
t428,3.825223954423765e-8
t429,3.3040335526506694e-8
t430,3.6653333976496984e-8
t431,5.0586483586765225e-8
t432,6.677191350144161e-8
t433,5.789742491864176e-8
t434,4.461668321512199e-8
