Resource,Zone,AnnualSum,Capacity,CapacityFactor
East_batteries_1,1,0.1254615308093564,3.6,0.0
East_conventional_hydroelectric_1,1,0.555120640540193,6.6,0.0
East_landfill_gas_1,1,1.5276933982167091,2.3999178721527117,0.6365606989902227
East_natural_gas_internal_combustion_engine_1,1,2.0790082703115527e-11,3.1969838999023823,0.0
East_petroleum_liquids_with_gt_1,1,1.8143405696022253e-11,24.342211928081987,0.0
East_petroleum_liquids_with_ic_1,1,1.5816922649939573e-11,3.994920894295169,0.0
East_solar_photovoltaic_1,1,8.143831314638065,48.66594304185669,0.1673414878169202
North_conventional_hydroelectric_1,2,4.451384622830718,37.0,0.1203076925089343
North_landfill_gas_1,2,1.4980638410888143,2.352038571698876,0.6369214600110549
North_natural_gas_internal_combustion_engine_1,2,2.4239873513182024e-11,7.495880655016277,0.0
North_onshore_wind_turbine_1,2,0.12870305624753756,0.5854646929959308,0.0
North_petroleum_liquids_with_cc_1,2,1.1783148022401385e-11,429.22992116084845,0.0
North_petroleum_liquids_with_gt_1,2,1.5481174684145207e-11,387.64971558109005,0.0
North_petroleum_liquids_with_st_1,2,1.421657501429621e-11,362.8898163359617,0.0
North_solar_photovoltaic_1,2,2.1584034728038612,14.832001878194214,0.14552340881085254
South_batteries_1,3,0.5112111931052836,5.1,0.0
South_conventional_hydroelectric_1,3,5.764326477081336,46.2,0.12476897136539272
South_natural_gas_fired_combined_cycle_1,3,1.6566055759579514e-11,579.9064414973165,0.0
South_natural_gas_steam_turbine_1,3,1.6740267328898102e-11,736.7686807335039,0.0
South_onshore_wind_turbine_1,3,24.944580053683698,74.51624069626259,0.3347536029811281
South_petroleum_liquids_with_gt_1,3,1.670547332374931e-11,83.99254619646004,0.0
South_petroleum_liquids_with_st_1,3,1.1168242262582778e-11,967.1034433531354,0.0
South_solar_photovoltaic_1,3,7.171380635904408,43.003305293152174,0.16676347520305926
West_batteries_1,4,1.5995806289311685,21.8,0.0
West_petroleum_liquids_with_gt_1,4,1.7004371522366214e-11,208.81163784302092,0.0
West_petroleum_liquids_with_ic_1,4,1.5665747692242148e-11,1.2238541095678712,0.0
West_solar_photovoltaic_1,4,7.24074038623981,44.43536477030008,0.16294994817009284
East_battery_moderate_0,1,11.54164707265433,62.70532004897256,0.0
East_naturalgas_ctavgcf_moderate_0,1,2.6914428777952895e-11,19.202402513449336,0.0
East_naturalgas_ccavgcf_moderate_0,1,3.434999183937577e-11,18.13522011727909,0.0
East_microgrid_solar_moderate_0,1,0.35612687682652333,3.2991407655507907,0.0
East_microgrid_diesel_moderate_0,1,3.0937299413984816e-12,2.1369623594961658,0.0
East_utilitypv_class1_moderate_1,1,142.59862137242695,747.0681293260593,0.19087766667420605
East_landbasedwind_class3_moderate_1,1,62.94538893669588,168.34741662947937,0.3739017217901958
North_battery_moderate_0,2,11.528552573402443,62.66524945591596,0.0
North_naturalgas_ctavgcf_moderate_0,2,2.6905730634840513e-11,19.203592550435655,0.0
North_naturalgas_ccavgcf_moderate_0,2,3.433765966081464e-11,18.139097814867537,0.0
North_microgrid_solar_moderate_0,2,0.3554338445103037,3.282212173388938,0.0
North_microgrid_diesel_moderate_0,2,3.0815887758065056e-12,2.1380186843776245,0.0
North_utilitypv_class1_moderate_1,2,155.315599649315,809.1631169459068,0.19194597034468244
North_landbasedwind_class3_moderate_1,2,43.312466660355206,127.39221667132026,0.33999303718925455
South_battery_moderate_0,3,11.549159756278316,62.7205557139318,0.0
South_naturalgas_ctavgcf_moderate_0,3,2.689812939611699e-11,19.202607506302375,0.0
South_naturalgas_ccavgcf_moderate_0,3,3.4325000880832544e-11,18.135025115966947,0.0
South_microgrid_solar_moderate_0,3,0.3582517612083582,3.2891950844670412,0.0
South_microgrid_diesel_moderate_0,3,3.079812459841721e-12,2.1386159256303463,0.0
South_utilitypv_class1_moderate_1,3,173.1877905845379,896.8434271462085,0.19310816731480387
South_landbasedwind_class3_moderate_1,3,65.59484635400241,173.30027070002538,0.3785040039985963
West_battery_moderate_0,4,11.526429885591739,62.660848213003675,0.0
West_naturalgas_ctavgcf_moderate_0,4,2.6910233516668646e-11,19.203093993530455,0.0
West_naturalgas_ccavgcf_moderate_0,4,3.4354409990408016e-11,18.138593076402024,0.0
West_microgrid_solar_moderate_0,4,0.3493878833101775,3.292793613129663,0.0
West_microgrid_diesel_moderate_0,4,3.0835534507450717e-12,2.1383876397242014,0.0
West_utilitypv_class1_moderate_1,4,39.041773682717356,217.7696135178844,0.179280171609019
West_landbasedwind_class3_moderate_1,4,50.513592516373805,169.81960840919712,0.2974544164220108
North_to_south_underground_line,2,0.0,0.0,0.0
North_to_east_underground_line,1,0.0,0.0,0.0
South_to_west_underground_line,4,0.0,0.0,0.0
