Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.1482295968861062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6039829786157002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8898636920205685,0.0,0.0,0.0,13.636161475247322,0.0,0.0,0.0,0.0,0.0,0.0,13.620690658550911,0.0,0.0,0.0,0.0,0.0,0.0,13.645037519226626,0.0,0.0,0.0,0.0,0.0,0.0,13.618182757073416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.16214867762065
t1,0.1484915501509661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6038116471511601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.878368697586374,0.0,0.0,0.0,10.205755297897142,0.0,0.0,0.0,0.0,0.0,0.0,10.211550259960905,0.0,0.0,0.0,0.0,0.0,0.0,10.209344007941667,0.0,0.0,0.0,0.0,0.0,0.0,10.208182645251927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.46550410594014
t2,0.1484684749251321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6036973361381923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.878264193423773,0.0,0.0,0.0,9.900523578356806,0.0,0.0,0.0,0.0,0.0,0.0,9.90364451554075,0.0,0.0,0.0,0.0,0.0,0.0,9.905900066430535,0.0,0.0,0.0,0.0,0.0,0.0,9.897984041136787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.238482205951975
t3,0.14844527337386748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6035896927937177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8782260970156526,0.0,0.0,0.0,9.5165554042395,0.0,0.0,0.0,0.0,0.0,0.0,9.518830559042852,0.0,0.0,0.0,0.0,0.0,0.0,9.522753794729569,0.0,0.0,0.0,0.0,0.0,0.0,9.511484853634764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.69988567482992
t4,0.14845348790272012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6036770583694574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8783860401678592,0.0,0.0,0.0,9.038965347571233,0.0,0.0,0.0,0.0,0.0,0.0,9.042880077021294,0.0,0.0,0.0,0.0,0.0,0.0,9.044131602685653,0.0,0.0,0.0,0.0,0.0,0.0,9.034417086901497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.79091070061972
t5,0.1484504860444762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6036019420915085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8783235585743967,0.0,0.0,0.0,8.48775891943047,0.0,0.0,0.0,0.0,0.0,0.0,8.493607606211866,0.0,0.0,0.0,0.0,0.0,0.0,8.49361580445093,0.0,0.0,0.0,0.0,0.0,0.0,8.482557347405528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.58791566420918
t6,0.14843029540550565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603592841657281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8785754928992735,0.0,0.0,0.0,7.832555889884683,0.0,0.0,0.0,0.0,0.0,0.0,7.840403442062146,0.0,0.0,0.0,0.0,0.0,0.0,7.837989497564582,0.0,0.0,0.0,0.0,0.0,0.0,7.823553372844655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.96510083231813
t7,0.14830221182843617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6038717758678228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.878458196286975,0.0,0.0,0.0,7.0023622986067995,0.0,0.0,0.0,0.0,0.0,0.0,7.017528505852543,0.0,0.0,0.0,0.0,0.0,0.0,7.005826703525681,0.0,0.0,0.0,0.0,0.0,0.0,6.99024509508083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.646594787049086
t8,0.14891633738749244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6077364547540836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8596809685816,0.0,0.0,0.0,6.046215419040372,0.0,0.0,0.0,0.0,0.0,0.0,6.0433100993645175,0.0,0.0,0.0,0.0,0.0,0.0,6.051471212146453,0.0,0.0,0.0,0.0,0.0,0.0,6.03367282244876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.79100331372328
