Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,9.684384270535775,0.0,0.0,0.0,0.22971297265299936,0.0,0.0,0.0,2.9257701974313033,0.0,0.0,0.0,0.0,27.01881103611637,0.0,0.0,8.5019211102282,0.0,0.0,0.0,8.676870134314273,0.0,0.0,0.0,0.6509145974120034,0.0,147.3332553220874,66.02686805727107,0.0,0.0,0.0,0.6490980620581377,0.0,159.95432609770634,46.19042051383555,0.0,0.0,0.0,0.6547326351295499,0.0,178.4461829076889,68.90439149406129,0.0,0.0,0.0,0.6431692367918745,0.0,42.520200818469775,53.37004384940562,0.0,0.0,0.0,822.3810733131965
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4113515621453742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.32338963816375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.2307278078483,0.0,0.0,0.0,0.0,0.0,0.0,86.03192767903636,0.0,0.0,0.0,0.0,0.0,0.0,124.1329195881546,0.0,0.0,0.0,0.0,0.0,0.0,127.74715623235714,0.0,0.0,0.0,506.87747250770553
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42714979291165217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.96110618950514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.77156165587358,0.0,0.0,0.0,0.0,0.0,0.0,88.83175438426248,0.0,0.0,0.0,0.0,0.0,0.0,127.59545861464316,0.0,0.0,0.0,0.0,0.0,0.0,131.14015131802265,0.0,0.0,0.0,522.7271819552187
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43651172417750994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.44993959240862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.46242616819575,0.0,0.0,0.0,0.0,0.0,0.0,91.37705133398278,0.0,0.0,0.0,0.0,0.0,0.0,129.1536015640997,0.0,0.0,0.0,0.0,0.0,0.0,134.19384682169385,0.0,0.0,0.0,534.0733772045583
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4353416134592462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.864331540703496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.12606826937221,0.0,0.0,0.0,0.0,0.0,0.0,93.79508337493363,0.0,0.0,0.0,0.0,0.0,0.0,127.59546016205813,0.0,0.0,0.0,0.0,0.0,0.0,137.2475421874229,0.0,0.0,0.0,539.0638271479496
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4411929362471263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.799815740805315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.80785935512962,0.0,0.0,0.0,0.0,0.0,0.0,97.10396980265844,0.0,0.0,0.0,0.0,0.0,0.0,128.63422338479467,0.0,0.0,0.0,0.0,0.0,0.0,140.47088785055172,0.0,0.0,0.0,550.2579490701869
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44879964413076034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.32090975114601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.99418775662394,0.0,0.0,0.0,0.0,0.0,0.0,97.99482565687795,0.0,0.0,0.0,0.0,0.0,0.0,131.4042564912842,0.0,0.0,0.0,0.0,0.0,0.0,141.14948792901552,0.0,0.0,0.0,557.3124672290784
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4540660991242421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.46979771339255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.50780197183295,0.0,0.0,0.0,0.0,0.0,0.0,98.24935937784299,0.0,0.0,0.0,0.0,0.0,0.0,132.78927662341107,0.0,0.0,0.0,0.0,0.0,0.0,139.96194219413266,0.0,0.0,0.0,559.4322439797365
t8,0.0,0.0,0.0,0.0,0.0,0.0,4.1333174946391935,0.0,0.0,0.0,0.45640723879545847,0.0,0.0,0.0,1.3340647005583044,0.0,0.0,0.0,0.0,55.83209627677812,0.0,0.0,4.554641260864845,0.0,0.0,0.0,4.173594273445451,0.0,0.0,0.0,0.29676132400124233,0.0,67.16985727419168,131.1805257266378,0.0,0.0,0.0,0.34772424872693153,0.0,85.6864825054485,95.44954601113386,0.0,0.0,0.0,0.27943085686734503,0.0,76.15645278186409,134.52055772143584,0.0,0.0,0.0,0.30935461722101976,0.0,20.45081530236726,136.56895350794878,0.0,0.0,0.0,818.9005831229257
