Zone,1,2,3,4,Total
AnnualSum,7.949785488534497e-11,9.116231492108597e-11,8.894755566146205e-11,6.548157380349906e-11,3.2508929927139207e-10
t1,7.916324095091314e-11,9.081662878092551e-11,8.854474595614163e-11,6.523649075142426e-11,3.2376110643940453e-10
t2,7.914216051295272e-11,9.078416377331669e-11,8.850154727609148e-11,6.521745235214623e-11,3.236453239145071e-10
t3,7.911874984058796e-11,9.074533752387691e-11,8.845025981530917e-11,6.519490309526168e-11,3.2350925027503577e-10
t4,7.909052833405618e-11,9.069294941147614e-11,8.838270466328208e-11,6.516541042783761e-11,3.2333159283665204e-10
t5,7.904989645402275e-11,9.061083104079141e-11,8.827992098490056e-11,6.512005299709351e-11,3.2306070147680824e-10
t6,7.8997157673313e-11,9.048813583190961e-11,8.813047587980926e-11,6.505540209271674e-11,3.226711714777487e-10
t7,7.892658031875085e-11,9.029799953053258e-11,8.791014605996863e-11,6.496135737335204e-11,3.2209608328260414e-10
t8,7.88119954998164e-11,8.998245062097364e-11,8.75719601592549e-11,6.481183315857466e-11,3.2117823943861955e-10
t9,7.872705116172878e-11,8.959856971417294e-11,8.720068610988035e-11,6.467280425143388e-11,3.2019911123721596e-10
t10,7.899358181924619e-11,8.949187254631635e-11,8.718809038547949e-11,6.483856118097259e-11,3.2051210593201457e-10
t11,7.866623056371988e-11,8.892719698712775e-11,8.666719362156329e-11,6.450733739131953e-11,3.1876795856373046e-10
t12,7.858971341277558e-11,8.876926988140038e-11,8.652304935723741e-11,6.441688106645167e-11,3.1829891371786504e-10
t13,7.864470546617199e-11,8.886481012552973e-11,8.663210422971804e-11,6.446754629457755e-11,3.1860916611599734e-10
t14,7.881398524534992e-11,8.919880105160622e-11,8.698016742303454e-11,6.464347987962481e-11,3.1963643359961547e-10
t15,7.918546276195481e-11,8.990029717328782e-11,8.76624213252985e-11,6.501572431732888e-11,3.2176390557787e-10
t16,8.000606237544466e-11,9.119916949299602e-11,8.884737860797133e-11,6.573835984991328e-11,3.257909703263253e-10
t17,7.900586708796747e-11,9.033300668272897e-11,8.801336665728572e-11,6.49847370551278e-11,3.2233697748311e-10
t18,7.90190112299603e-11,9.048109388968244e-11,8.818847953723115e-11,6.504280572628377e-11,3.2273139038315763e-10
t19,7.910590673597276e-11,9.066604757423732e-11,8.838277376501808e-11,6.514333301243972e-11,3.232980610876679e-10
t20,7.914068171806016e-11,9.075461550372159e-11,8.84801536086935e-11,6.518892803715218e-11,3.235643788676274e-10
t21,7.916286597161163e-11,9.080726312145228e-11,8.853804880410242e-11,6.521760947473087e-11,3.237257873718972e-10
t22,7.918114327128338e-11,9.084141751493918e-11,8.857331241270075e-11,6.523789813330151e-11,3.238337713322248e-10
t23,7.919460465651237e-11,9.086287757512539e-11,8.859401817492924e-11,6.52515772894823e-11,3.2390307769604935e-10
t24,7.919954008087337e-11,9.087115417806771e-11,8.859978774291732e-11,6.525770234331204e-11,3.2392818434517045e-10
t25,7.92001229789499e-11,9.087109361643984e-11,8.859577572492392e-11,6.52594376044525e-11,3.2392642992476617e-10
t26,7.919406410332608e-11,9.085961826121881e-11,8.857886517503296e-11,6.525450196608381e-11,3.2388704950566166e-10
t27,7.918009182388014e-11,9.083414015543195e-11,8.854577282772955e-11,6.524130246085684e-11,3.2380130726789844e-10
t28,7.915868236192661e-11,9.079216700809544e-11,8.84935393105019e-11,6.52191026298721e-11,3.236634913103961e-10
t29,7.912742786302558e-11,9.072489572317435e-11,8.841246366382886e-11,6.518391315137875e-11,3.2344870040140754e-10
t30,7.908240216392909e-11,9.061845663361687e-11,8.828830039850454e-11,6.512935985843895e-11,3.2311851905448943e-10
t31,7.90200514153561e-11,9.045245826209005e-11,8.810297894430707e-11,6.504874327743315e-11,3.226242318991864e-10
t32,7.891387112777077e-11,9.017007196316552e-11,8.780931798593496e-11,6.491562317119083e-11,3.2180888424806206e-10
t33,7.889484004200802e-11,8.990035813997709e-11,8.755011617201735e-11,6.484205928342882e-11,3.211873736374313e-10
t34,7.943704741034055e-11,9.015775379382179e-11,8.789145580750334e-11,6.525147542356661e-11,3.227377324352323e-10
t35,7.920467211314019e-11,8.974419008236736e-11,8.753565734458205e-11,6.502552067514001e-11,3.2151004021522964e-10
t36,7.91806904214513e-11,8.969206241035075e-11,8.749714251908259e-11,6.499373632862725e-11,3.213636316795119e-10
t37,7.933615616236971e-11,8.997357710923844e-11,8.77743475813353e-11,6.514360311738514e-11,3.222276839703286e-10
t38,7.963746003966439e-11,9.054445921120246e-11,8.830251988937645e-11,6.54314420665871e-11,3.239158812068304e-10
t39,8.014855823442676e-11,9.142659438653014e-11,8.907909631666168e-11,6.586972126963371e-11,3.265239702072523e-10
t40,7.900553838409893e-11,9.037437381798896e-11,8.806487427858403e-11,6.499570534049819e-11,3.224404918211701e-10
t41,7.896051689140141e-11,9.043022946858805e-11,8.814573250429913e-11,6.50000589758819e-11,3.2253653784017047e-10
t42,7.901440807897098e-11,9.056039474850217e-11,8.829426636380729e-11,6.507261779884599e-11,3.2294168699012643e-10
t43,7.909778967623959e-11,9.069968268423897e-11,8.843736648933729e-11,6.51555545532543e-11,3.2339039340307014e-10
t44,7.912410897167093e-11,9.075332832597455e-11,8.849607615499585e-11,6.518636119716186e-11,3.235598746498032e-10
t45,7.914491478707827e-11,9.078990094757489e-11,8.853567354495715e-11,6.52096495527893e-11,3.2368013883239963e-10
t46,7.916249946445441e-11,9.081714640666826e-11,8.856312238691564e-11,6.52270720103964e-11,3.237698402684347e-10
t47,7.9175106670348e-11,9.083511719875034e-11,8.85795407642191e-11,6.523836726801288e-11,3.2382813190133037e-10
t48,7.918820326676929e-11,9.085197330200317e-11,8.859457172220159e-11,6.52500415160495e-11,3.238847898070236e-10
t49,7.919658270727068e-11,9.086152153914874e-11,8.860163083392678e-11,6.525783736944365e-11,3.2391757244978987e-10
t50,7.919567831616166e-11,9.085707889423579e-11,8.859359808710537e-11,6.525708291078974e-11,3.239034382082926e-10
t51,7.918409113277524e-11,9.083644670432166e-11,8.856804495325326e-11,6.524660339930851e-11,3.2383518618965865e-10
t52,7.916456514348564e-11,9.080056466604831e-11,8.85255488116183e-11,6.522753049060677e-11,3.23718209111759e-10
t53,7.91366577881884e-11,9.074435949789872e-11,8.846070033109941e-11,6.519732692961585e-11,3.235390445468024e-10
t54,7.910515278140966e-11,9.066597827182515e-11,8.837205738995669e-11,6.515763444435783e-11,3.233008228875493e-10
t55,7.907083237613019e-11,9.055196974666976e-11,8.8247366885404e-11,6.510532096377688e-11,3.2297548997198083e-10
t56,7.900853719820572e-11,9.03506140732901e-11,8.804066145485235e-11,6.501530009447006e-11,3.2241511282081823e-10
t57,7.907131732710009e-11,9.0224672081165e-11,8.791834233125066e-11,6.501940873203975e-11,3.222337404715555e-10
t58,7.984538815602384e-11,9.079769029608494e-11,8.853432069203837e-11,6.561633042017856e-11,3.247937295643257e-10
t59,7.986993039274908e-11,9.068297975892454e-11,8.848121727037431e-11,6.561907993650703e-11,3.24653207358555e-10
t60,7.981717248838034e-11,9.059205688588628e-11,8.841703966909752e-11,6.556323522195894e-11,3.2438950426532307e-10
t61,7.99020434229505e-11,9.076646888994395e-11,8.858352119042887e-11,6.564010419850378e-11,3.2489213770182717e-10
t62,8.000743818776384e-11,9.107465641433571e-11,8.884625507795729e-11,6.574658327376675e-11,3.256749329538236e-10
t63,8.024803020001121e-11,9.16235336252719e-11,8.92959204275397e-11,6.595528815396313e-11,3.2712277240678595e-10
t64,7.908661473465024e-11,9.052154106309791e-11,8.823811674465445e-11,6.506499277255502e-11,3.229112653149576e-10
t65,7.905409632940969e-11,9.058249233666464e-11,8.831918911111283e-11,6.507732811856064e-11,3.230331058957478e-10
t66,7.916621888799922e-11,9.078019922338068e-11,8.852601977869008e-11,6.519791063754879e-11,3.2367034852761876e-10
t67,7.930918399583822e-11,9.098760520343427e-11,8.873020447539824e-11,6.532860050755691e-11,3.2435559418222766e-10
t68,7.933783334131962e-11,9.104370875243388e-11,8.878938150906086e-11,6.536180768017381e-11,3.245327312829881e-10
t69,7.934733079081033e-11,9.106670538865016e-11,8.88147744236331e-11,6.537728124950033e-11,3.246060918525939e-10
t70,7.933929282032339e-11,9.106221562923787e-11,8.881141527429969e-11,6.537566284376348e-11,3.2458858656762443e-10
t71,7.931717047132309e-11,9.103659077398905e-11,8.878472146961488e-11,6.535989691936369e-11,3.244983796342907e-10
t72,7.930482036227502e-11,9.101977681800484e-11,8.876487627120483e-11,6.535078899614306e-11,3.2444026244762773e-10
t73,7.929581020039148e-11,9.10049560102834e-11,8.874457747036747e-11,6.534312904403803e-11,3.243884727250804e-10
t74,7.928981867973057e-11,9.09913746089425e-11,8.872441009967139e-11,6.533659726148058e-11,3.2434220064982504e-10
t75,7.928424197206501e-11,9.097506929160207e-11,8.869990393123136e-11,6.53290024987318e-11,3.2428821769363026e-10
t76,7.927235903928197e-11,9.0945599254295e-11,8.866120092014306e-11,6.531432239318723e-11,3.2419348160690726e-10
t77,7.924069065611145e-11,9.088270134513986e-11,8.858703921288093e-11,6.528016025707868e-11,3.2399059147121095e-10
t78,7.918558712533741e-11,9.07729671503619e-11,8.846238395035074e-11,6.522003631815865e-11,3.236409745442087e-10
t79,7.91188165926589e-11,9.061617983046919e-11,8.828853106382251e-11,6.513984564113671e-11,3.231633731280873e-10
t80,7.901216664680295e-11,9.035696397419105e-11,8.801576767421592e-11,6.501110908638469e-11,3.223960073815946e-10
t81,7.901391438022358e-11,9.013776740512629e-11,8.778499317245708e-11,6.495104464487507e-11,3.21887719602682e-10
t82,7.969823994478898e-11,9.05816893465712e-11,8.827021786199244e-11,6.546109888040935e-11,3.240112460337619e-10
t83,7.949043814858251e-11,9.015632864748392e-11,8.793530043628014e-11,6.527198792561973e-11,3.228540551579663e-10
t84,7.93700334622724e-11,8.995030651725997e-11,8.775731823603084e-11,6.514743828076813e-11,3.222250964963313e-10
t85,7.943457972884553e-11,9.007782561233885e-11,8.788796770851888e-11,6.520739564321996e-11,3.226077686929232e-10
t86,7.961880803878848e-11,9.046584420496926e-11,8.825369192940117e-11,6.539071973966357e-11,3.237290639128225e-10
t87,7.997509883994073e-11,9.112718086600733e-11,8.883123446963587e-11,6.570312211807318e-11,3.256366362936571e-10
t88,7.902878252989551e-11,9.036583143217851e-11,8.806430180608939e-11,6.499425027039844e-11,3.2245316603856186e-10
t89,7.898839034372417e-11,9.045075495534645e-11,8.81711753938813e-11,6.500835846038977e-11,3.226186791533417e-10
t90,7.90904763611734e-11,9.065367001257458e-11,8.838945870143179e-11,6.512505382007744e-11,3.2325865889525723e-10
t91,7.924802948283237e-11,9.089141736435086e-11,8.862652757486156e-11,6.527032026941451e-11,3.2403629469145934e-10
t92,7.931046758254264e-11,9.09954816960327e-11,8.873423236768619e-11,6.53322163720757e-11,3.243723980183372e-10
t93,7.933552078231645e-11,9.104131993799634e-11,8.878299938811715e-11,6.53607811624985e-11,3.2452062127092843e-10
t94,7.932231641425203e-11,9.103188946739281e-11,8.877470392419141e-11,6.535420525836271e-11,3.2448311506419896e-10
t95,7.929140934748496e-11,9.099580899522124e-11,8.873788702212504e-11,6.533069172562068e-11,3.2435579709045187e-10
t96,7.926762452025629e-11,9.096537340036554e-11,8.870612733478202e-11,6.531252116367978e-11,3.2425164641908364e-10
t97,7.9249247134027e-11,9.093978408684461e-11,8.867842751638393e-11,6.52986198604644e-11,3.2416607859771994e-10
