Zone,1,2,3,4
t1,5.133544619362314e-7,5.184535230321084e-7,5.054064685098516e-7,5.03550964003403e-7
t2,4.863892404943458e-7,4.921446610786845e-7,4.780907277730002e-7,4.758694925129732e-7
t3,4.62637832226638e-7,4.688767438976759e-7,4.5402462693958367e-7,4.509996030347943e-7
t4,4.42657511610192e-7,4.490026684345135e-7,4.33844122006642e-7,4.292472194095455e-7
t5,4.1227158047061816e-7,4.193110860584408e-7,4.0287455229388174e-7,3.971562038550543e-7
t6,3.743694620425303e-7,3.832602962597713e-7,3.642827555464313e-7,3.584719246002718e-7
t7,3.30500472745525e-7,3.419087140999555e-7,3.1963487338878585e-7,3.1376197440596334e-7
t8,1.3583914304620418e-7,1.6772366641926432e-7,1.192096007542854e-7,1.21276865213426e-7
t9,-2.310380100998078e-6,-2.256646771508786e-6,-2.3325818507176312e-6,-2.32077059686934e-6
t10,-3.70681634096008e-5,-3.702084192721402e-5,-3.7088357527933747e-5,-3.706089531889986e-5
t11,-3.930389783649826e-5,-3.925597001987374e-5,-3.932190131305002e-5,-3.9286151997265905e-5
t12,-3.9654153334397605e-5,-3.9606265802693576e-5,-3.967274805805343e-5,-3.9635316851798226e-5
t13,-3.9590567092641474e-5,-3.954001135791828e-5,-3.960969917783594e-5,-3.9571765565912345e-5
t14,-3.9255947627925066e-5,-3.920359710173231e-5,-3.9275601926276915e-5,-3.923855713134969e-5
t15,-3.8013756934944936e-5,-3.7960305941480926e-5,-3.803417703009605e-5,-3.8000198266722595e-5
t16,-2.291153383423866e-5,-2.2856700478694813e-5,-2.2933199868965012e-5,-2.2908590507908e-5
t17,5.1324732266022e-8,9.601219826122695e-8,2.963686484409179e-8,3.9144575979406e-8
t18,3.300019991895559e-7,3.3827136935253354e-7,3.1976703226566997e-7,3.1177019166527084e-7
t19,5.025096313921862e-7,5.05575340690063e-7,4.948415729241544e-7,4.879769876969801e-7
