Zone,1,2,3,4
t1,-2.733731671122672e-7,-2.1842881284912267e-7,-3.2738676609692237e-7,-4.85365873164697e-7
t2,-2.628364664796822e-7,-2.0264689887706604e-7,-3.1927444680902876e-7,-4.825548558638389e-7
t3,-2.549624798953366e-7,-1.8902850876626638e-7,-3.1469188835984166e-7,-4.840447937962762e-7
t4,-2.5047576528904665e-7,-1.7778658887714843e-7,-3.1308337288206104e-7,-4.870865388333264e-7
t5,-2.4066469746254884e-7,-1.612498606296777e-7,-3.1069912713723803e-7,-4.914117713615722e-7
t6,-2.345798052484609e-7,-1.4231609675468036e-7,-3.097928090859788e-7,-5.027710595898844e-7
t7,-2.2664793391583428e-7,-1.213172304571295e-7,-3.068081085106702e-7,-5.113972697165269e-7
t8,-1.802111660743277e-7,-4.622566765394745e-8,-2.668377169301677e-7,-4.797971026402026e-7
t9,-1.2028027532624642e-7,-1.26812758607736e-8,-1.8944874476888194e-7,-3.6342621210863196e-7
t10,-1.0861800118629086e-7,-1.0496310126249885e-8,-1.6890227025108893e-7,-3.133234285596836e-7
t11,-1.1430517703751129e-7,-1.225517442210897e-8,-1.749556856319196e-7,-3.2409744123245827e-7
t12,-1.1184582575580175e-7,-1.1552127021562144e-8,-1.7232779904306357e-7,-3.198285162743918e-7
t13,-1.0419839309195294e-7,-9.265648153263685e-9,-1.6358273986330312e-7,-3.052609032492301e-7
t14,-9.859580078638934e-8,-7.637247771165745e-9,-1.5704194453509654e-7,-2.929740455978585e-7
t15,-9.58166064305792e-8,-6.723472318135636e-9,-1.5376574994780442e-7,-2.8634450367542014e-7
t16,-1.0138595373757197e-7,-8.319107785188907e-9,-1.6312854947458513e-7,-3.081609255212589e-7
t17,-1.4791173138740514e-7,-2.7608319915474626e-8,-2.2940676892447033e-7,-4.230091585303682e-7
t18,-2.1170499185377837e-7,-1.1697733506575412e-7,-2.8797562017459086e-7,-4.7589927157965257e-7
t19,-2.819049611424456e-7,-2.1130692749775163e-7,-3.470460498402078e-7,-5.22985760455501e-7
t20,-2.943838238798187e-7,-2.267935807099916e-7,-3.5810666695960257e-7,-5.347099426337739e-7
t21,-2.9862671478857186e-7,-2.3192462051733657e-7,-3.635163721497352e-7,-5.412030776136315e-7
