Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,0.22947214830454732,4.2864809315254595,0.0,0.0,0.0,0.0,0.0,23.38613871152511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9784562450854959,28.944989070427475,0.0,0.0,0.0,0.0,0.0,0.0,3.1334238858206347,0.0,0.0,0.0,92.29239199998084,0.0,0.0,0.0,0.0,0.0,0.0,92.14381865047521,0.0,0.0,0.0,0.0,0.0,0.0,92.34001925041704,0.0,0.0,0.0,0.0,0.0,0.0,92.04758678478746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.229439173380603,4.2844917921868,0.0,0.0,0.0,0.0,0.0,23.24003416419546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9782809067657152,28.74214451085618,0.0,0.0,0.0,0.0,0.0,0.0,3.132964634476352,0.0,0.0,0.0,89.8656305294962,0.0,0.0,0.0,0.0,0.0,0.0,89.74673232678249,0.0,0.0,0.0,0.0,0.0,0.0,89.90229622447241,0.0,0.0,0.0,0.0,0.0,0.0,89.653316648049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.22940030267570471,4.28205856156381,0.0,0.0,0.0,0.0,0.0,23.063444471345026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9780854917124541,28.493044295661434,0.0,0.0,0.0,0.0,0.0,0.0,3.132529469642837,0.0,0.0,0.0,86.49588819344211,0.0,0.0,0.0,0.0,0.0,0.0,86.40762898046194,0.0,0.0,0.0,0.0,0.0,0.0,86.52238853101274,0.0,0.0,0.0,0.0,0.0,0.0,86.31322896519325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.22938633412825382,4.279412690802507,0.0,0.0,0.0,0.0,0.0,22.854641253292918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9780667149777063,28.193506992529038,0.0,0.0,0.0,0.0,0.0,0.0,3.132316091063844,0.0,0.0,0.0,81.81193070606426,0.0,0.0,0.0,0.0,0.0,0.0,81.76218882944816,0.0,0.0,0.0,0.0,0.0,0.0,81.82501859348685,0.0,0.0,0.0,0.0,0.0,0.0,81.66365175321411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.22934992196250467,4.276736573318228,0.0,0.0,0.0,0.0,0.0,22.611587104220035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9778456102046725,27.839203797765837,0.0,0.0,0.0,0.0,0.0,0.0,3.1317448053322114,0.0,0.0,0.0,75.31971804396075,0.0,0.0,0.0,0.0,0.0,0.0,75.31926886281441,0.0,0.0,0.0,0.0,0.0,0.0,75.31976215131716,0.0,0.0,0.0,0.0,0.0,0.0,75.21019995544937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.22926915120476044,4.2742821513967,0.0,0.0,0.0,0.0,0.0,22.332917670772204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9775862402900352,27.42555042681658,0.0,0.0,0.0,0.0,0.0,0.0,3.1313340474924916,0.0,0.0,0.0,66.08726064816044,0.0,0.0,0.0,0.0,0.0,0.0,66.15060028223051,0.0,0.0,0.0,0.0,0.0,0.0,66.07106806409837,0.0,0.0,0.0,0.0,0.0,0.0,66.01660809972991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.22896232510128875,4.272373166645033,0.0,0.0,0.0,0.0,0.0,22.01777544354988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9774210027314516,26.947911415685887,0.0,0.0,0.0,0.0,0.0,0.0,3.130426228842728,0.0,0.0,0.0,52.03866211834067,0.0,0.0,0.0,0.0,0.0,0.0,52.203721801349076,0.0,0.0,0.0,0.0,0.0,0.0,51.99653405646556,0.0,0.0,0.0,0.0,0.0,0.0,52.016244681460535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.22902484215056865,4.272933444387346,0.0,0.0,0.0,0.0,0.0,21.68174542276164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9812919935294029,26.42043785945631,0.0,0.0,0.0,0.0,0.0,0.0,3.111286793845003,0.0,0.0,0.0,29.621495178899345,0.0,0.0,0.0,0.0,0.0,0.0,29.772311926675307,0.0,0.0,0.0,0.0,0.0,0.0,29.581340526081426,0.0,0.0,0.0,0.0,0.0,0.0,29.62330089639153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.2304953992879265,4.274645204387002,0.0,0.0,0.0,0.0,0.0,21.454054046196386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9648010806690455,26.107027992765094,0.0,0.0,0.0,0.0,0.0,0.0,2.572509290605371,0.0,0.0,0.0,5.97942389090335,0.0,0.0,0.0,0.0,0.0,0.0,5.992671650418328,0.0,0.0,0.0,0.0,0.0,0.0,5.976053355682172,0.0,0.0,0.0,0.0,0.0,0.0,5.9725519472098725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.22627305134415662,4.283885079661964,0.0,0.0,0.0,0.0,0.0,22.3361994233717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749468493870165,27.40597649857354,0.0,0.0,0.0,0.0,0.0,0.0,3.1728010656376764,0.0,0.0,0.0,45.43087937131183,0.0,0.0,0.0,0.0,0.0,0.0,45.40052703236271,0.0,0.0,0.0,0.0,0.0,0.0,45.44663104784953,0.0,0.0,0.0,0.0,0.0,0.0,45.406911874626005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.22770019875147357,4.295017601791415,0.0,0.0,0.0,0.0,0.0,23.22215791318498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9753398727049061,28.70796568044123,0.0,0.0,0.0,0.0,0.0,0.0,3.1722071858250245,0.0,0.0,0.0,71.18797183864598,0.0,0.0,0.0,0.0,0.0,0.0,71.13520282458107,0.0,0.0,0.0,0.0,0.0,0.0,71.20830922927522,0.0,0.0,0.0,0.0,0.0,0.0,71.12709000347003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
