Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,0.0004495265950752927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.623844548977995e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.668614541946533e-6,0.0,0.0,0.0,-1.6524985995382143e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.653383278801274e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.651524091442666e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.6519869471949326e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0004494945616084335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.626335009801703e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.638641333963676e-6,0.0,0.0,0.0,-1.641445486983288e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.642347500068582e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.6404804676489823e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.6407202536358057e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0004495530247449614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.629421048162432e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.610848368379195e-6,0.0,0.0,0.0,-1.6272092548793945e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.6281702628692813e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.6262329861301378e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.626307944664543e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0004497344959737169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.633381279211167e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.58373541525916e-6,0.0,0.0,0.0,-1.6081703679421174e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.609236368327012e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.6071639585258835e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.607117832566925e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.00044974921205785353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6363411583732324e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5491382061057095e-6,0.0,0.0,0.0,-1.581667436305129e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.5829074487161665e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.5806083732369824e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.5804913813137607e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.00045007361809045506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.645748389652707e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.501038876726288e-6,0.0,0.0,0.0,-1.5430701211376273e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.544593474392414e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.5419282940431358e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.541801905037785e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0004518843745983023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.678275678130161e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.3908614110585785e-6,0.0,0.0,0.0,-1.4810893698189626e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.483147807372206e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.4797976184628628e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.4797684156393551e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0004581807497225866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.805049602241794e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.584575894105446e-6,0.0,0.0,0.0,-1.3413959970504474e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.3445889802998265e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.3398014597273608e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.3401321159036401e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0004650348757172912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.492398709123275e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5036934558023395e-6,0.0,0.0,0.0,-6.158646914420567e-7,0.0,0.0,0.0,0.0,0.0,0.0,-6.632742422491539e-7,0.0,0.0,0.0,0.0,0.0,0.0,-5.948425460582994e-7,0.0,0.0,0.0,0.0,0.0,0.0,-6.081465587089594e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
