Line,1,2,3,4,5,Total
AnnualSum,13482.111576409861,16599.33248169122,7118.462863024013,10247.698986677793,4250.70228680163,51698.30819460452
t1,13036.725928171425,16277.969075509858,6859.577394536922,9982.58305208874,4106.696510507602,50263.55196081455
t2,13062.556071565943,16317.873288464496,6866.427798055366,10000.89946606221,4108.708276585809,50356.46490073382
t3,13084.514360664438,16352.208260256857,6872.242513150352,10018.681762608,4110.471294871539,50438.11819155119
t4,13100.825535295657,16378.639359449484,6876.484183915017,10035.613495244303,4111.909825059715,50503.47239896418
t5,13126.547971114574,16420.22645871769,6883.399508223661,10059.967538576895,4113.981984208967,50604.12346084179
t6,13160.008957730555,16469.119739038182,6892.161819746028,10088.12906637093,4116.349867092869,50725.769449978565
t7,13196.3322573544,16519.13175723744,6901.358907371433,10119.011979348825,4118.65661292559,50854.491514237685
t8,13518.949847236183,16855.912361448783,6985.111154953183,10297.55880558486,4133.355502459791,51790.887671682794
t9,16216.333281115256,20726.55810105689,7840.410406149536,11889.447887710608,4440.866940971672,61113.616617003965
t10,19699.453529165392,24930.971095834822,9968.148347028251,14816.07148996731,5769.324965492434,75183.9694274882
t11,19714.630433693696,24948.890396496434,9977.376213488122,14827.22086595015,5775.933056175336,75244.05096580373
t12,19719.344410119138,24954.56086988189,9980.24053308196,14831.012597052388,5777.77854733289,75262.93695746825
t13,19718.849220140815,24953.432451950135,9979.93320741406,14830.644869573316,5777.474656206732,75260.33440528506
t14,19714.184843530726,24947.362287743294,9977.247956597988,14827.174537748206,5775.72125085353,75241.69087647375
t15,19701.82532482687,24931.557373197782,9970.53837467224,14818.04910124873,5771.623690400438,75193.59386434605
t16,19492.580021229405,24708.65942093038,9779.617823295273,14615.440013795982,5597.588978481296,74193.88625773233
t17,13863.39254307884,17109.06806084155,7083.508581162679,10431.124182432743,4145.911025910951,52633.00439342677
t18,13196.465322809798,16530.55300537164,6901.512413541077,10112.312141369765,4120.023479913478,50860.866363005756
t19,13033.302957139156,16276.04718157974,6858.060338170861,9993.797520431755,4107.156992607241,50268.36498992875
t20,13017.790538207508,16251.46411467291,6854.130496456174,9982.097850603093,4105.9567580664425,50211.43975800613
t21,13015.908781052805,16249.164052106018,6853.775980524255,9979.022180064898,4105.832906892317,50203.70390064029
t22,12989.113920383843,16205.59938786464,6846.850727221956,9956.482510569416,4103.411223090808,50101.45776913066
t23,12956.368791556546,16152.23910907864,6838.2538344916,9933.092043355598,4100.582223676227,49980.53600215862
t24,12952.927870054484,16146.520635382778,6837.377529749992,9929.32979771091,4100.273118414463,49966.428951312635
t25,12954.379356093792,16148.363994641546,6837.781169369351,9928.152669668174,4100.359532147609,49969.03672192048
t26,12962.526682846375,16160.847817752177,6839.9156094850805,9932.60108753936,4101.040795625698,49996.93199324869
t27,12978.144367856543,16185.220776261382,6844.0084669620355,9942.23821300964,4102.316999568333,50051.92882365793
t28,12997.57555570101,16215.30362010502,6849.0143227785475,9955.865260779832,4103.936307048533,50121.69506641295
t29,13021.199617931876,16252.423140788625,6855.0882576648955,9973.818814583403,4105.894259798395,50208.42409076719
t30,13056.417351447059,16306.468688804767,6864.098273225063,10001.477115246873,4108.695706809921,50337.157135533686
t31,13104.855939443592,16379.39935334784,6876.5606208426425,10039.629026181534,4112.24787643155,50512.69281624717
t32,13417.26775129494,16767.75869078212,6959.3385745137775,10232.338911672783,4130.428347143338,51507.13227540696
t33,15490.265492203403,19571.986846512227,7572.953150249064,11370.152726480621,4323.109183842188,58328.4673992875
t34,19680.130330096537,24906.361690418635,9955.04657930268,14799.757390767409,5759.122284758914,75100.41827534417
t35,19698.21119311997,24927.33228088184,9968.29224456682,14814.160292538865,5770.368337515572,75178.36434862306
t36,19701.519792242412,24930.661151928303,9969.816608593803,14816.260866556824,5770.88620479591,75189.14462411725
t37,19698.635078271556,24925.41810706541,9968.53641336224,14814.382177447733,5770.133840375626,75177.10561652256
t38,19686.75918260187,24909.080609560664,9962.450630391355,14806.73866207665,5765.907121769689,75130.93620640022
t39,19497.51997062955,24703.87289337476,9781.965558109825,14614.430284737637,5597.245348066963,74195.03405491874
t40,14812.51724479766,17649.024313849848,7349.672438572515,10585.533276671229,4192.2540547911985,54589.001328682454
t41,13753.44183200196,16961.1615842489,7054.675266431115,10247.923493422775,4142.722334039541,52159.924510144294
t42,13187.096924880057,16497.603697851646,6899.772916916769,10054.799278447636,4117.933835634145,50757.20665373026
t43,13052.515337075136,16303.307071744062,6864.099861139511,9981.84723365524,4107.792768608176,50309.56227222212
