region,Resource,zone,Cluster,R_ID,ESR_1,AnnualSum
East,East_batteries_1,1,1,1,0.0,0.0
East,East_conventional_hydroelectric_1,1,1,2,3.2736544357906116e-5,3.2736544357906116e-5
East,East_landfill_gas_1,1,1,3,9.410363180082808e-5,9.410363180082808e-5
East,East_natural_gas_internal_combustion_engine_1,1,1,4,0.0,0.0
East,East_petroleum_liquids_with_gt_1,1,1,5,0.0,0.0
East,East_petroleum_liquids_with_ic_1,1,1,6,0.0,0.0
East,East_solar_photovoltaic_1,1,1,7,0.0005209063010942326,0.0005209063010942326
North,North_conventional_hydroelectric_1,2,1,8,0.00028757459500468297,0.00028757459500468297
North,North_landfill_gas_1,2,1,9,6.0869275853891754e-5,6.0869275853891754e-5
North,North_natural_gas_internal_combustion_engine_1,2,1,10,0.0,0.0
North,North_onshore_wind_turbine_1,2,1,11,7.585783315081492e-6,7.585783315081492e-6
North,North_petroleum_liquids_with_cc_1,2,1,12,0.0,0.0
North,North_petroleum_liquids_with_gt_1,2,1,13,0.0,0.0
North,North_petroleum_liquids_with_st_1,2,1,14,0.0,0.0
North,North_solar_photovoltaic_1,2,1,15,0.00013761937726048266,0.00013761937726048266
South,South_batteries_1,3,1,16,0.0,0.0
South,South_conventional_hydroelectric_1,3,1,17,0.0003724252616654539,0.0003724252616654539
South,South_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0
South,South_natural_gas_steam_turbine_1,3,1,19,0.0,0.0
South,South_onshore_wind_turbine_1,3,1,20,0.0016136206249288442,0.0016136206249288442
South,South_petroleum_liquids_with_gt_1,3,1,21,0.0,0.0
South,South_petroleum_liquids_with_st_1,3,1,22,0.0,0.0
South,South_solar_photovoltaic_1,3,1,23,0.00045630180226051875,0.00045630180226051875
West,West_batteries_1,4,1,24,0.0,0.0
West,West_petroleum_liquids_with_gt_1,4,1,25,0.0,0.0
West,West_petroleum_liquids_with_ic_1,4,1,26,0.0,0.0
West,West_solar_photovoltaic_1,4,1,27,0.00046333652264503604,0.00046333652264503604
East,East_battery_moderate_0,1,0,28,0.0,0.0
East,East_naturalgas_ctavgcf_moderate_0,1,0,29,0.0,0.0
East,East_naturalgas_ccavgcf_moderate_0,1,0,30,0.0,0.0
East,East_microgrid_solar_moderate_0,1,0,31,2.5044345732863707e-5,2.5044345732863707e-5
East,East_microgrid_diesel_moderate_0,1,0,32,0.0,0.0
East,East_utilitypv_class1_moderate_1,1,1,33,0.009654479146713338,0.009654479146713338
East,East_landbasedwind_class3_moderate_1,1,1,34,0.0040931091037623825,0.0040931091037623825
North,North_battery_moderate_0,2,0,35,0.0,0.0
North,North_naturalgas_ctavgcf_moderate_0,2,0,36,0.0,0.0
North,North_naturalgas_ccavgcf_moderate_0,2,0,37,0.0,0.0
North,North_microgrid_solar_moderate_0,2,0,38,2.507546787552202e-5,2.507546787552202e-5
North,North_microgrid_diesel_moderate_0,2,0,39,0.0,0.0
North,North_utilitypv_class1_moderate_1,2,1,40,0.010235499495566767,0.010235499495566767
North,North_landbasedwind_class3_moderate_1,2,1,41,0.0028173639627160517,0.0028173639627160517
South,South_battery_moderate_0,3,0,42,0.0,0.0
South,South_naturalgas_ctavgcf_moderate_0,3,0,43,0.0,0.0
South,South_naturalgas_ccavgcf_moderate_0,3,0,44,0.0,0.0
South,South_microgrid_solar_moderate_0,3,0,45,2.4702603177361053e-5,2.4702603177361053e-5
South,South_microgrid_diesel_moderate_0,3,0,46,0.0,0.0
South,South_utilitypv_class1_moderate_1,3,1,47,0.011301712709606787,0.011301712709606787
South,South_landbasedwind_class3_moderate_1,3,1,48,0.004255878389886328,0.004255878389886328
West,West_battery_moderate_0,4,0,49,0.0,0.0
West,West_naturalgas_ctavgcf_moderate_0,4,0,50,0.0,0.0
West,West_naturalgas_ccavgcf_moderate_0,4,0,51,0.0,0.0
West,West_microgrid_solar_moderate_0,4,0,52,2.4421783814311415e-5,2.4421783814311415e-5
West,West_microgrid_diesel_moderate_0,4,0,53,0.0,0.0
West,West_utilitypv_class1_moderate_1,4,1,54,0.0023165722646901867,0.0023165722646901867
West,West_landbasedwind_class3_moderate_1,4,1,55,0.0032802869665700205,0.0032802869665700205
North,North_to_south_underground_line,2,0,56,0.0,0.0
East,North_to_east_underground_line,1,0,57,0.0,0.0
West,South_to_west_underground_line,4,0,58,0.0,0.0
