Region,Resource,Zone,Cluster,AnnualSum
East,East_batteries_1,1,1,-1.0935496542047195e-6
East,East_conventional_hydroelectric_1,1,1,-4.52396221800402e-6
East,East_landfill_gas_1,1,1,-1.2297465128226885e-5
East,East_natural_gas_internal_combustion_engine_1,1,1,-1.4070380487356783e-5
East,East_petroleum_liquids_with_gt_1,1,1,-7.65259121014825e-5
East,East_petroleum_liquids_with_ic_1,1,1,-1.583352527224121e-5
East,East_solar_photovoltaic_1,1,1,-0.00017957714498116706
North,North_conventional_hydroelectric_1,2,1,-2.5727504114505636e-5
North,North_landfill_gas_1,2,1,-8.05171351473369e-6
North,North_natural_gas_internal_combustion_engine_1,2,1,-2.7768097825462587e-5
North,North_onshore_wind_turbine_1,2,1,-1.406455201246094e-6
North,North_petroleum_liquids_with_cc_1,2,1,-0.00013107729754373404
North,North_petroleum_liquids_with_gt_1,2,1,-9.215484689222089e-5
North,North_petroleum_liquids_with_st_1,2,1,-0.00016837196721843206
North,North_solar_photovoltaic_1,2,1,-4.842817641557226e-5
South,South_batteries_1,3,1,-4.580703695404381e-6
South,South_conventional_hydroelectric_1,3,1,-3.247724595692089e-5
South,South_natural_gas_fired_combined_cycle_1,3,1,-0.00018227588884069034
South,South_natural_gas_steam_turbine_1,3,1,-0.0001625972299225418
South,South_onshore_wind_turbine_1,3,1,-0.00022728653112849762
South,South_petroleum_liquids_with_gt_1,3,1,-5.932584922246286e-5
South,South_petroleum_liquids_with_st_1,3,1,-0.00020433056222177629
South,South_solar_photovoltaic_1,3,1,-0.0001598012816500354
West,West_batteries_1,4,1,-1.5086177269460142e-5
West,West_petroleum_liquids_with_gt_1,4,1,-9.816465567961651e-5
West,West_petroleum_liquids_with_ic_1,4,1,-8.969532967768228e-6
West,West_solar_photovoltaic_1,4,1,-0.00016143037552788326
East,East_battery_moderate_0,1,0,-7.829231991048146e-5
East,East_naturalgas_ctavgcf_moderate_0,1,0,-2.1526958045475988e-13
East,East_naturalgas_ccavgcf_moderate_0,1,0,-1.4338316894760985e-12
East,East_microgrid_solar_moderate_0,1,0,-9.541015338861756e-6
East,East_microgrid_diesel_moderate_0,1,0,-3.088943602982224e-6
East,East_utilitypv_class1_moderate_1,1,1,-0.003880614669881515
East,East_landbasedwind_class3_moderate_1,1,1,-0.0005731102083789225
North,North_battery_moderate_0,2,0,-7.681738913120051e-5
North,North_naturalgas_ctavgcf_moderate_0,2,0,-2.128697104047438e-13
North,North_naturalgas_ccavgcf_moderate_0,2,0,-1.4168339512192678e-12
North,North_microgrid_solar_moderate_0,2,0,-9.563562230619775e-6
North,North_microgrid_diesel_moderate_0,2,0,-3.055351600351093e-6
North,North_utilitypv_class1_moderate_1,2,1,-0.004126935161884977
North,North_landbasedwind_class3_moderate_1,2,1,-0.00040921210747236954
South,South_battery_moderate_0,3,0,-7.95407360672312e-5
South,South_naturalgas_ctavgcf_moderate_0,3,0,-2.1739038440938027e-13
South,South_naturalgas_ccavgcf_moderate_0,3,0,-1.4484287904660167e-12
South,South_microgrid_solar_moderate_0,3,0,-9.460306160142286e-6
South,South_microgrid_diesel_moderate_0,3,0,-3.0923782420531694e-6
South,South_utilitypv_class1_moderate_1,3,1,-0.004536740861505114
South,South_landbasedwind_class3_moderate_1,3,1,-0.0005900912827202325
West,West_battery_moderate_0,4,0,-7.770586769811368e-5
West,West_naturalgas_ctavgcf_moderate_0,4,0,-2.1409221223014956e-13
West,West_naturalgas_ccavgcf_moderate_0,4,0,-1.4253069638225473e-12
West,West_microgrid_solar_moderate_0,4,0,-9.40510234738933e-6
West,West_microgrid_diesel_moderate_0,4,0,-3.086666825202032e-6
West,West_utilitypv_class1_moderate_1,4,1,-0.0008942399804873504
West,West_landbasedwind_class3_moderate_1,4,1,-0.0004552779576206356
North,North_to_south_underground_line,2,0,0.0
East,North_to_east_underground_line,1,0,0.0
West,South_to_west_underground_line,4,0,0.0
