region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
East,East_batteries_1,1,1,1,0.0,0.0,22446.0,2770.7999999999997,0.003727432926807108,0.0,0.022019334394663664,0.0,-1.2821028425649762e-6,-1.0935496542047195e-6,0.0,-1.9451668783003715e-7,0.0,0.0,0.0,-1.2880663420347566e-6,25216.825745485217,-25216.825746773284
East,East_conventional_hydroelectric_1,1,1,2,0.0,0.0,310516.8,0.0,0.0,0.0,0.0,0.0,0.0,-4.52396221800402e-6,0.0,8.522619259836788e-6,3.2736544357906116e-5,0.0,0.0,3.6735201399738886e-5,310516.8,-310516.7999632648
East,East_landfill_gas_1,1,1,3,0.0,0.0,50391.967146805226,0.0,7.671690991604723,0.0,0.0,41.56857785901078,0.0,-1.2297465128226885e-5,0.0,1.560829834457522e-5,9.410363180082808e-5,0.0,0.0,9.741446501717642e-5,50441.207415655845,-50441.20731824138
East,East_natural_gas_internal_combustion_engine_1,1,1,4,0.0,0.0,67178.31175863997,0.0,9.104139397157905,176.94887474927236,0.0,89.22006819288283,0.0,-1.4070380487356783e-5,0.0,2.080766422868678e-5,0.0,0.0,0.0,6.737283741329996e-6,67453.58484097928,-67453.58483424199
East,East_petroleum_liquids_with_gt_1,1,1,5,0.0,0.0,1.299631826530342e6,0.0,167.97616126340262,9539.646158417412,0.0,6075.568177400445,0.0,-7.65259121014825e-5,0.0,0.0006061992014035934,0.0,0.0,0.0,0.000529673289302111,1.3154150170274233e6,-1.31541501649775e6
East,East_petroleum_liquids_with_ic_1,1,1,6,0.0,0.0,83826.12128544785,0.0,10.534362064281837,594.020971958113,0.0,162.66219193646197,0.0,-1.583352527224121e-5,0.0,2.5964120556757564e-5,0.0,0.0,0.0,1.0130595284516355e-5,84593.3388114067,-84593.33880127611
East,East_solar_photovoltaic_1,1,1,7,0.0,0.0,1.10275200874005e6,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017957714498116706,0.0,2.5678359707767337e-7,0.0005209063010942326,0.0,0.0,0.0003415859397101432,1.10275200874005e6,-1.1027520083984642e6
North,North_conventional_hydroelectric_1,2,1,8,0.0,0.0,1.740776e6,0.0,0.0,0.0,0.0,0.0,0.0,-2.5727504114505636e-5,0.0,5.547329686779051e-5,0.00028757459500468297,0.0,0.0,0.00031732038775796783,1.740776e6,-1.7407759996826795e6
North,North_landfill_gas_1,2,1,9,0.0,0.0,34221.681937064655,0.0,4.962298120673544,0.0,0.0,33.020277532226466,0.0,-8.05171351473369e-6,0.0,1.0599749360265442e-5,6.0869275853891754e-5,0.0,0.0,6.341731169942351e-5,34259.66451271755,-34259.66444930024
North,North_natural_gas_internal_combustion_engine_1,2,1,10,0.0,0.0,172796.4327941332,0.0,22.02160428265419,428.01388774933133,0.0,257.01280919894265,0.0,-2.7768097825462587e-5,0.0,5.3521591409041915e-5,0.0,0.0,0.0,2.5753493583579328e-5,173503.48109536414,-173503.48106961066
North,North_onshore_wind_turbine_1,2,1,11,0.0,0.0,24827.94306154171,0.0,0.0,0.0,0.0,0.0,0.0,-1.406455201246094e-6,0.0,2.538970149881593e-7,7.585783315081492e-6,0.0,0.0,6.433225128823558e-6,24827.94306154171,-24827.943055108488
North,North_petroleum_liquids_with_cc_1,2,1,12,0.0,0.0,7.0808437704426125e6,0.0,567.687435512301,35929.000176808215,0.0,3103.770383516223,0.0,-0.00013107729754373404,0.0,0.002792706054335149,0.0,0.0,0.0,0.002661628756791415,7.120444228438449e6,-7.12044422577682e6
North,North_petroleum_liquids_with_gt_1,2,1,13,0.0,0.0,2.0784848176726336e6,0.0,274.6349949846162,18568.550541582947,0.0,12930.29723847023,0.0,-9.215484689222089e-5,0.0,0.0011194413131109609,0.0,0.0,0.0,0.00102728646621874,2.110258300447671e6,-2.1102582994203847e6
North,North_petroleum_liquids_with_st_1,2,1,14,0.0,0.0,2.027760946586001e7,0.0,166.65569344664289,50564.28072582524,0.0,7103.786864188948,0.0,-0.00016837196721843206,0.0,0.003871766455088941,0.0,0.0,0.0,0.003703394487870509,2.0335444189143468e7,-2.0335444185440075e7
North,North_solar_photovoltaic_1,2,1,15,0.0,0.0,335302.67988182406,0.0,0.0,0.0,0.0,0.0,0.0,-4.842817641557226e-5,0.0,7.782015038755435e-8,0.00013761937726048266,0.0,0.0,8.926902099529795e-5,335302.67988182406,-335302.67979255505
South,South_batteries_1,3,1,16,0.0,0.0,31798.5,12006.800000000001,0.015387841379231295,0.0,0.09090170946805792,0.0,-5.372708924979796e-6,-4.580703695404381e-6,0.0,1.436814846810711e-7,0.0,0.0,0.0,-4.437022210723309e-6,43805.40628417814,-43805.406288615166
South,South_conventional_hydroelectric_1,3,1,17,0.0,0.0,2.1736176e6,0.0,0.0,0.0,0.0,0.0,0.0,-3.247724595692089e-5,0.0,6.976310330490162e-5,0.0003724252616654539,0.0,0.0,0.0004097111190134346,2.1736176e6,-2.173617599590289e6
South,South_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0,5.638184920153984e6,0.0,577.2987815645714,18982.0956708351,0.0,3531.9790368209774,0.0,-0.00018227588884069034,0.0,0.0037471688890976466,0.0,0.0,0.0,0.0035648930002569563,5.6612762936432045e6,-5.661276290078311e6
South,South_natural_gas_steam_turbine_1,3,1,19,0.0,0.0,2.3886548315618932e7,0.0,162.3139711018883,17869.849459990874,0.0,9115.228335973241,0.0,-0.0001625972299225418,0.0,0.0049798050766454455,0.0,0.0,0.0,0.004817207846722904,2.3913695707386e7,-2.391369570256879e7
South,South_onshore_wind_turbine_1,3,1,20,0.0,0.0,3.2069398968153093e6,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022728653112849762,0.0,1.6495256124619164e-5,0.0016136206249288442,0.0,0.0,0.0014028293499249657,3.2069398968153093e6,-3.20693989541248e6
South,South_petroleum_liquids_with_gt_1,3,1,21,0.0,0.0,633964.4546032711,0.0,98.42309054856564,6151.81597402231,0.0,2027.1486932124635,0.0,-5.932584922246286e-5,0.0,0.00029570585934692424,0.0,0.0,0.0,0.0002363800101244614,642241.8423610544,-642241.8421246744
South,South_petroleum_liquids_with_st_1,3,1,22,0.0,0.0,3.1297657726052087e7,0.0,218.95856105258522,67990.76450043221,0.0,10426.24335250662,0.0,-0.00020433056222177629,0.0,0.006524853770077551,0.0,0.0,0.0,0.006320523207855775,3.1376293692466076e7,-3.137629368614555e7
South,South_solar_photovoltaic_1,3,1,23,0.0,0.0,974092.7007323034,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001598012816500354,0.0,1.9693424163669453e-7,0.00045630180226051875,0.0,0.0,0.00029669745485212,974092.7007323034,-974092.700435606
West,West_batteries_1,4,1,24,0.0,0.0,135923.0,38791.200000000004,0.05010144781317694,0.0,0.29596791004665934,0.0,-1.8383797807668098e-5,-1.5086177269460142e-5,0.0,1.7840009189378352e-6,0.0,0.0,0.0,-1.3302176350522307e-5,174714.5460509741,-174714.54606427628
West,West_petroleum_liquids_with_gt_1,4,1,25,0.0,0.0,2.521994412294271e6,0.0,350.2978701105003,19778.56080252702,0.0,12013.543027470008,0.0,-9.816465567961651e-5,0.0,0.0014309401943211543,0.0,0.0,0.0,0.0013327755386415379,2.554136813994379e6,-2.554136812661603e6
West,West_petroleum_liquids_with_ic_1,4,1,26,0.0,0.0,43065.21115177759,0.0,5.599146106155402,315.5939758255199,0.0,84.41220857522518,0.0,-8.969532967768228e-6,0.0,1.3338924872110045e-5,0.0,0.0,0.0,4.369391904341817e-6,43470.81648228449,-43470.8164779151
West,West_solar_photovoltaic_1,4,1,27,0.0,0.0,1.0074221428586984e6,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016143037552788326,0.0,4.874278637311418e-8,0.00046333652264503604,0.0,0.0,0.00030195488990352587,1.0074221428586984e6,-1.0074221425567435e6
East,East_battery_moderate_0,1,0,28,1.4712354932160652e6,3.6946071021577246e6,456083.00289698015,1.1451698515291042e6,2.1888348322195292,0.0,2.586052495530658,0.0,-0.00041342422045463124,-7.829231991048146e-5,0.0,0.000143569325117202,0.0,0.0,0.0,6.527700520672054e-5,6.7671002242737785e6,-6.767100224208501e6
East,East_naturalgas_ctavgcf_moderate_0,1,0,29,0.0037441216306185105,0.0,0.0010983816808642812,0.0,1.352464485419289e-7,2.6291909596550983e-6,0.0,1.2736892112624213e-6,0.0,-2.1526958045475988e-13,0.0,3.4021035378914765e-13,0.0,0.0,0.0,1.2494077333438776e-13,0.004846541438102251,-0.00484654143797731
East,East_naturalgas_ccavgcf_moderate_0,1,0,30,0.022909334166221124,0.0,0.007768039001830915,0.0,2.8615311549172653e-7,9.099669072636865e-6,0.0,1.1183256291171665e-6,0.0,-1.4338316894760985e-12,0.0,1.8045416336841696e-12,0.0,0.0,0.0,3.7070994420807117e-13,0.030687877315869284,-0.030687877315498574
East,East_microgrid_solar_moderate_0,1,0,31,935481.2539279123,0.0,82070.91023823127,0.0,0.0,0.0,0.0,0.0,0.0,-9.541015338861756e-6,0.0,1.9180035276005893e-8,2.5044345732863707e-5,0.0,0.0,1.5522510429277958e-5,1.0175521641661436e6,-1.0175521641506212e6
East,East_microgrid_diesel_moderate_0,1,0,32,187071.37729243605,0.0,12049.26360017893,0.0,1.7219530130652376,122.9440012268315,0.0,44.90979680524551,0.0,-3.088943602982224e-6,0.0,6.489555926469542e-6,0.0,0.0,0.0,3.400612323487318e-6,199290.21664366013,-199290.21664025952
East,East_utilitypv_class1_moderate_1,1,1,33,4.67396823779855e7,0.0,1.3431023608791763e7,0.0,0.0,0.0,0.0,0.0,0.0,-0.003880614669881515,0.0,4.080565453299507e-6,0.009654479146713338,0.0,0.0,0.005777945042285123,6.017070598677726e7,-6.017070598099931e7
East,East_landbasedwind_class3_moderate_1,1,1,34,1.3321131255910968e7,0.0,6.812452243739808e6,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005731102083789225,0.0,7.420997854242562e-5,0.0040931091037623825,0.0,0.0,0.0035942088739258854,2.0133583499650776e7,-2.0133583496056568e7
North,North_battery_moderate_0,2,0,35,1.4688419736475826e6,3.6891265533427666e6,455341.01183075056,1.1434711162917204e6,2.180402221345737,0.0,2.576089580982245,0.0,-0.00041120666320105013,-7.681738913120051e-5,0.0,0.00014336564337261772,0.0,0.0,0.0,6.654825424141721e-5,6.7567854111934155e6,-6.756785411126867e6
North,North_naturalgas_ctavgcf_moderate_0,2,0,36,0.003743410208879456,0.0,0.0010981729770125806,0.0,1.3517750285445006e-7,2.6278506554905063e-6,0.0,1.2736902826609325e-6,0.0,-2.128697104047438e-13,0.0,3.401457103118744e-13,0.0,0.0,0.0,1.272759999071306e-13,0.004845619904333042,-0.0048456199042057665
North,North_naturalgas_ccavgcf_moderate_0,2,0,37,0.022910669314697873,0.0,0.007768491720594602,0.0,2.858217945796344e-7,9.08913306763242e-6,0.0,1.1188307488518404e-6,0.0,-1.4168339512192678e-12,0.0,1.8046468017783607e-12,0.0,0.0,0.0,3.878128505590929e-13,0.03068965482090354,-0.03068965482051573
North,North_microgrid_solar_moderate_0,2,0,38,932201.4686644329,0.0,81783.17068083289,0.0,0.0,0.0,0.0,0.0,0.0,-9.563562230619775e-6,0.0,1.6649070795811887e-8,2.507546787552202e-5,0.0,0.0,1.5528554715698056e-5,1.0139846393452658e6,-1.0139846393297373e6
North,North_microgrid_diesel_moderate_0,2,0,39,187023.41629287947,0.0,12046.174433174609,0.0,1.7214001093946267,122.90452501055759,0.0,44.90193074256004,0.0,-3.055351600351093e-6,0.0,6.48789214661494e-6,0.0,0.0,0.0,3.4325405462638475e-6,199239.11858191655,-199239.11857848402
North,North_utilitypv_class1_moderate_1,2,1,40,4.929051487002517e7,0.0,1.4164025839007916e7,0.0,0.0,0.0,0.0,0.0,0.0,-0.004126935161884977,0.0,3.74855468667524e-6,0.010235499495566767,0.0,0.0,0.0061123128883684655,6.345454070903309e7,-6.345454070292077e7
North,North_landbasedwind_class3_moderate_1,2,1,41,1.0045284794643143e7,0.0,5.13717803868244e6,0.0,0.0,0.0,0.0,0.0,0.0,-0.00040921210747236954,0.0,2.8147176789039957e-5,0.0028173639627160517,0.0,0.0,0.0024362990320327222,1.5182462833325583e7,-1.5182462830889285e7
South,South_battery_moderate_0,3,0,42,1.4709877035744481e6,3.6890187158085885e6,456006.18810807896,1.1434376912780209e6,2.191095822682346,0.0,2.588723798062339,0.0,-0.0004139764260499364,-7.95407360672312e-5,0.0,0.00014333776516207457,0.0,0.0,0.0,6.379702909484337e-5,6.759455078174781e6,-6.759455078110984e6
South,South_naturalgas_ctavgcf_moderate_0,3,0,43,0.003744474895131121,0.0,0.0010984853151228423,0.0,1.35282464527754e-7,2.6298911104195424e-6,0.0,1.273671119763204e-6,0.0,-2.1739038440938027e-13,0.0,3.402424532390783e-13,0.0,0.0,0.0,1.2285206882969803e-13,0.0048469990549486735,-0.004846999054825821
South,South_naturalgas_ccavgcf_moderate_0,3,0,44,0.02290543938565635,0.0,0.007766718369502135,0.0,2.8642498199045956e-7,9.108314427296603e-6,0.0,1.1177902343853168e-6,0.0,-1.4484287904660167e-12,0.0,1.8042348463444676e-12,0.0,0.0,0.0,3.5580605587845093e-13,0.03068267028480216,-0.030682670284446354
South,South_microgrid_solar_moderate_0,3,0,45,920334.3961797435,0.0,80742.0579523927,0.0,0.0,0.0,0.0,0.0,0.0,-9.460306160142286e-6,0.0,1.893190625947786e-8,2.4702603177361053e-5,0.0,0.0,1.5261228923478245e-5,1.0010764541321362e6,-1.001076454116875e6
South,South_microgrid_diesel_moderate_0,3,0,46,187030.53602254202,0.0,12046.63301481712,0.0,1.7099608396830837,122.0877840316925,0.0,44.902872486871324,0.0,-3.0923782420531694e-6,0.0,6.488139131934101e-6,0.0,0.0,0.0,3.3957608898809313e-6,199245.8696547174,-199245.86965132164
South,South_utilitypv_class1_moderate_1,3,1,47,5.4173590392973885e7,0.0,1.5567216859902142e7,0.0,0.0,0.0,0.0,0.0,0.0,-0.004536740861505114,0.0,4.745222607500116e-6,0.011301712709606787,0.0,0.0,0.006769717070709173,6.974080725287603e7,-6.974080724610631e7
South,South_landbasedwind_class3_moderate_1,3,1,48,1.367988842885683e7,0.0,6.99592135464646e6,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005900912827202325,0.0,6.8355097175161e-5,0.004255878389886328,0.0,0.0,0.0037341422043412568,2.067580978350329e7,-2.067580977976915e7
West,West_battery_moderate_0,4,0,49,1.4696021370811027e6,3.68945654209249e6,455576.6624951418,1.1435733986608812e6,2.1846428014276027,0.0,2.5810997181298836,0.0,-0.0004120925788915455,-7.770586769811368e-5,0.0,0.0001433652269981949,0.0,0.0,0.0,6.565935930008123e-5,6.758213505660042e6,-6.758213505594383e6
West,West_naturalgas_ctavgcf_moderate_0,4,0,50,0.003744367182799191,0.0,0.001098453716455954,0.0,1.3524360155470697e-7,2.62913561422349e-6,0.0,1.2737461871797564e-6,0.0,-2.1409221223014956e-13,0.0,3.4023266593669637e-13,0.0,0.0,0.0,1.261404537065468e-13,0.004846859024658103,-0.004846859024531963
West,West_naturalgas_ccavgcf_moderate_0,4,0,51,0.022920280655612392,0.0,0.007771750709727248,0.0,2.8616323153125815e-7,9.099990762693979e-6,0.0,1.118702334659924e-6,0.0,-1.4253069638225473e-12,0.0,1.8054038759346822e-12,0.0,0.0,0.0,3.800969121121349e-13,0.030702536221668526,-0.03070253622128843
West,West_microgrid_solar_moderate_0,4,0,52,928890.3368008794,0.0,81492.68104801596,0.0,0.0,0.0,0.0,0.0,0.0,-9.40510234738933e-6,0.0,3.970293162622205e-9,2.4421783814311415e-5,0.0,0.0,1.5020651760084708e-5,1.0103830178488954e6,-1.0103830178338748e6
West,West_microgrid_diesel_moderate_0,4,0,53,187077.21955185244,0.0,12049.639899988917,0.0,1.7227882537269665,123.0036357395979,0.0,44.91079730096427,0.0,-3.086666825202032e-6,0.0,6.489758596005461e-6,0.0,0.0,0.0,3.403091770803429e-6,199296.49667313564,-199296.49666973256
West,West_utilitypv_class1_moderate_1,4,1,54,1.1859014071904752e7,0.0,3.40778306297963e6,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008942399804873504,0.0,2.1583754593264804e-7,0.0023165722646901867,0.0,0.0,0.001422548121748769,1.5266797134884384e7,-1.5266797133461835e7
West,West_landbasedwind_class3_moderate_1,4,1,55,1.3361541824860854e7,0.0,6.833118286722554e6,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004552779576206356,0.0,4.6160334933714286e-5,0.0032802869665700205,0.0,0.0,0.0028711693438830993,2.0194660111583408e7,-2.0194660108712237e7
North,North_to_south_underground_line,2,0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East,North_to_east_underground_line,1,0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,South_to_west_underground_line,4,0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
