Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
East,East_batteries_1,1,1,-1.9451668783003715e-7,-1.9451668783003715e-7
East,East_conventional_hydroelectric_1,1,1,8.522619259836788e-6,8.522619259836788e-6
East,East_landfill_gas_1,1,1,1.560829834457522e-5,1.560829834457522e-5
East,East_natural_gas_internal_combustion_engine_1,1,1,2.080766422868678e-5,2.080766422868678e-5
East,East_petroleum_liquids_with_gt_1,1,1,0.0006061992014035934,0.0006061992014035934
East,East_petroleum_liquids_with_ic_1,1,1,2.5964120556757564e-5,2.5964120556757564e-5
East,East_solar_photovoltaic_1,1,1,2.5678359707767337e-7,2.5678359707767337e-7
North,North_conventional_hydroelectric_1,2,1,5.547329686779051e-5,5.547329686779051e-5
North,North_landfill_gas_1,2,1,1.0599749360265442e-5,1.0599749360265442e-5
North,North_natural_gas_internal_combustion_engine_1,2,1,5.3521591409041915e-5,5.3521591409041915e-5
North,North_onshore_wind_turbine_1,2,1,2.538970149881593e-7,2.538970149881593e-7
North,North_petroleum_liquids_with_cc_1,2,1,0.002792706054335149,0.002792706054335149
North,North_petroleum_liquids_with_gt_1,2,1,0.0011194413131109609,0.0011194413131109609
North,North_petroleum_liquids_with_st_1,2,1,0.003871766455088941,0.003871766455088941
North,North_solar_photovoltaic_1,2,1,7.782015038755435e-8,7.782015038755435e-8
South,South_batteries_1,3,1,1.436814846810711e-7,1.436814846810711e-7
South,South_conventional_hydroelectric_1,3,1,6.976310330490162e-5,6.976310330490162e-5
South,South_natural_gas_fired_combined_cycle_1,3,1,0.0037471688890976466,0.0037471688890976466
South,South_natural_gas_steam_turbine_1,3,1,0.0049798050766454455,0.0049798050766454455
South,South_onshore_wind_turbine_1,3,1,1.6495256124619164e-5,1.6495256124619164e-5
South,South_petroleum_liquids_with_gt_1,3,1,0.00029570585934692424,0.00029570585934692424
South,South_petroleum_liquids_with_st_1,3,1,0.006524853770077551,0.006524853770077551
South,South_solar_photovoltaic_1,3,1,1.9693424163669453e-7,1.9693424163669453e-7
West,West_batteries_1,4,1,1.7840009189378352e-6,1.7840009189378352e-6
West,West_petroleum_liquids_with_gt_1,4,1,0.0014309401943211543,0.0014309401943211543
West,West_petroleum_liquids_with_ic_1,4,1,1.3338924872110045e-5,1.3338924872110045e-5
West,West_solar_photovoltaic_1,4,1,4.874278637311418e-8,4.874278637311418e-8
East,East_battery_moderate_0,1,0,0.000143569325117202,0.000143569325117202
East,East_naturalgas_ctavgcf_moderate_0,1,0,3.4021035378914765e-13,3.4021035378914765e-13
East,East_naturalgas_ccavgcf_moderate_0,1,0,1.8045416336841696e-12,1.8045416336841696e-12
East,East_microgrid_solar_moderate_0,1,0,1.9180035276005893e-8,1.9180035276005893e-8
East,East_microgrid_diesel_moderate_0,1,0,6.489555926469542e-6,6.489555926469542e-6
East,East_utilitypv_class1_moderate_1,1,1,4.080565453299507e-6,4.080565453299507e-6
East,East_landbasedwind_class3_moderate_1,1,1,7.420997854242562e-5,7.420997854242562e-5
North,North_battery_moderate_0,2,0,0.00014336564337261772,0.00014336564337261772
North,North_naturalgas_ctavgcf_moderate_0,2,0,3.401457103118744e-13,3.401457103118744e-13
North,North_naturalgas_ccavgcf_moderate_0,2,0,1.8046468017783607e-12,1.8046468017783607e-12
North,North_microgrid_solar_moderate_0,2,0,1.6649070795811887e-8,1.6649070795811887e-8
North,North_microgrid_diesel_moderate_0,2,0,6.48789214661494e-6,6.48789214661494e-6
North,North_utilitypv_class1_moderate_1,2,1,3.74855468667524e-6,3.74855468667524e-6
North,North_landbasedwind_class3_moderate_1,2,1,2.8147176789039957e-5,2.8147176789039957e-5
South,South_battery_moderate_0,3,0,0.00014333776516207457,0.00014333776516207457
South,South_naturalgas_ctavgcf_moderate_0,3,0,3.402424532390783e-13,3.402424532390783e-13
South,South_naturalgas_ccavgcf_moderate_0,3,0,1.8042348463444676e-12,1.8042348463444676e-12
South,South_microgrid_solar_moderate_0,3,0,1.893190625947786e-8,1.893190625947786e-8
South,South_microgrid_diesel_moderate_0,3,0,6.488139131934101e-6,6.488139131934101e-6
South,South_utilitypv_class1_moderate_1,3,1,4.745222607500116e-6,4.745222607500116e-6
South,South_landbasedwind_class3_moderate_1,3,1,6.8355097175161e-5,6.8355097175161e-5
West,West_battery_moderate_0,4,0,0.0001433652269981949,0.0001433652269981949
West,West_naturalgas_ctavgcf_moderate_0,4,0,3.4023266593669637e-13,3.4023266593669637e-13
West,West_naturalgas_ccavgcf_moderate_0,4,0,1.8054038759346822e-12,1.8054038759346822e-12
West,West_microgrid_solar_moderate_0,4,0,3.970293162622205e-9,3.970293162622205e-9
West,West_microgrid_diesel_moderate_0,4,0,6.489758596005461e-6,6.489758596005461e-6
West,West_utilitypv_class1_moderate_1,4,1,2.1583754593264804e-7,2.1583754593264804e-7
West,West_landbasedwind_class3_moderate_1,4,1,4.6160334933714286e-5,4.6160334933714286e-5
North,North_to_south_underground_line,2,0,0.0,0.0
East,North_to_east_underground_line,1,0,0.0,0.0
West,South_to_west_underground_line,4,0,0.0,0.0
