Constraint,CapRes_1
t1,-9.524856416303373e-8
t2,-9.738284649456114e-8
t3,-9.967490008800154e-8
t4,-1.0243859189112398e-7
t5,-1.0499276201633118e-7
t6,-1.0831040953857483e-7
t7,-1.1086041422079977e-7
t8,-1.1447379910385435e-7
t9,-1.1802551126004111e-7
t10,-1.1951036010225734e-7
t11,-1.2174995747315164e-7
t12,-1.2235643108216163e-7
t13,-1.2171952842990018e-7
t14,-1.2066946843945203e-7
t15,-1.192352975514674e-7
t16,-1.1783778608177865e-7
t17,-1.1377949790117563e-7
t18,-1.0788682217720125e-7
t19,-1.0507519257375455e-7
t20,-1.0465101137628131e-7
t21,-1.0451272815834637e-7
t22,-1.0005648927333543e-7
t23,-9.34206150406445e-8
t24,-9.131413261001203e-8
t25,-9.194418770665112e-8
t26,-9.362777325277343e-8
t27,-9.590417907273266e-8
t28,-9.953821936416865e-8
t29,-1.0352927969985572e-7
t30,-1.0708087736430332e-7
t31,-1.098038589387822e-7
t32,-1.1382652039971165e-7
t33,-1.1760898051239271e-7
t34,-1.1872293269344649e-7
t35,-1.202928787722871e-7
t36,-1.2009002742392554e-7
t37,-1.1877031633954699e-7
t38,-1.170614518245252e-7
t39,-1.1556760588011397e-7
t40,-1.1181696157658765e-7
t41,-1.048822377214074e-7
t42,-9.260691620254809e-8
t43,-8.589541726121519e-8
t44,-8.490681965394744e-8
t45,-8.60028409792668e-8
t46,-8.283003845409864e-8
t47,-7.239180421803935e-8
t48,-6.840600995841372e-8
t49,-7.271479053595656e-8
t50,-7.715963716915893e-8
t51,-8.472626703964063e-8
t52,-9.392593736120456e-8
t53,-9.993094480674613e-8
t54,-1.0461379500586866e-7
t55,-1.0792181704877294e-7
t56,-1.1264344742103806e-7
t57,-1.16832680228898e-7
t58,-1.1723350352072383e-7
t59,-1.1807690419601163e-7
t60,-1.1835953562218496e-7
t61,-1.1705862942134477e-7
t62,-1.153106919406718e-7
t63,-1.1441834343913502e-7
t64,-1.1037002605290968e-7
t65,-1.0270541565025742e-7
t66,-8.354120692929884e-8
t67,-6.997628458839934e-8
t68,-6.950452575300383e-8
t69,-7.428715129428458e-8
t70,-7.164758595907715e-8
t71,-4.571366862248677e-8
t72,-3.4701864567333415e-8
t73,-5.099062172030101e-8
t74,-6.137696598243074e-8
t75,-6.99578206762767e-8
t76,-7.90263863876935e-8
t77,-8.913069688220242e-8
t78,-9.635369861716861e-8
t79,-1.0250917425185435e-7
t80,-1.0914196444612238e-7
t81,-1.1487318137201857e-7
t82,-1.1754676670856638e-7
t83,-1.191846767099378e-7
t84,-1.1941484428152673e-7
t85,-1.184831880758792e-7
t86,-1.1700443319555496e-7
t87,-1.1553821547347883e-7
t88,-1.1202778341303814e-7
t89,-1.0588974618461071e-7
t90,-9.037524822335704e-8
t91,-8.348533284483505e-8
t92,-8.454655663497825e-8
t93,-8.755660430898327e-8
t94,-8.266931115623945e-8
t95,-7.53241638408448e-8
t96,-7.561530281256485e-8
t97,-7.627176079841836e-8
t98,-7.851116562253978e-8
t99,-8.252333208404085e-8
t100,-8.793762572407827e-8
t101,-9.753407799200035e-8
t102,-1.0168739863366579e-7
t103,-1.0487186523954141e-7
t104,-1.1071468209530457e-7
t105,-1.1555009796819031e-7
t106,-1.1766342229478917e-7
t107,-1.1863598219386933e-7
t108,-1.187416605126165e-7
t109,-1.1761746360332837e-7
t110,-1.1660812428747197e-7
t111,-1.1540467276033878e-7
t112,-1.123402529934051e-7
t113,-1.0704317068495423e-7
t114,-9.4742088717074e-8
t115,-8.382504265902909e-8
t116,-8.101602328259856e-8
t117,-8.015008517405203e-8
t118,-7.181830330868264e-8
t119,-5.9096145126558076e-8
t120,-6.325910341529906e-8
t121,-7.28899791755811e-8
t122,-7.924161419784051e-8
t123,-8.584536426895383e-8
t124,-9.307832253241084e-8
t125,-9.874964631512211e-8
t126,-1.0230656550450926e-7
t127,-1.0570540203057963e-7
t128,-1.1074977285342098e-7
t129,-1.1581907515475437e-7
t130,-1.1743923039638693e-7
t131,-1.1781277615992263e-7
t132,-1.1742040769988124e-7
t133,-1.1552501158625103e-7
t134,-1.1407948147935745e-7
t135,-1.1117358535297511e-7
t136,-1.0686220031188442e-7
t137,-9.764297600900452e-8
t138,-7.387031796399683e-8
t139,-6.540987898602098e-8
t140,-6.823623547803756e-8
t141,-7.282248852101194e-8
t142,-6.638516826593678e-8
t143,-5.095520513306525e-8
t144,-5.4741201142907106e-8
t145,-6.656476884287189e-8
t146,-7.605009236962223e-8
t147,-8.329099779506575e-8
t148,-9.05154751764346e-8
t149,-9.690700607683734e-8
t150,-1.0180356585844052e-7
t151,-1.0579660843304329e-7
t152,-1.1153205783851032e-7
t153,-1.1644346922701824e-7
t154,-1.1845644165896687e-7
t155,-1.2024918293580193e-7
t156,-1.2043258413144676e-7
t157,-1.1959890404526042e-7
t158,-1.1794072897169944e-7
t159,-1.1646139657137217e-7
t160,-1.1343400457644476e-7
t161,-1.0750625323264819e-7
t162,-9.57365158465742e-8
t163,-9.183048626397636e-8
t164,-9.208890373172596e-8
t165,-9.260688065888856e-8
t166,-8.795690317240391e-8
t167,-7.700470492086327e-8
t168,-7.279332716086615e-8
