Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.1467955626310911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60601139645372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.973119400311062,0.0,0.0,0.0,17.240349970204367,0.0,0.0,0.0,0.0,0.0,0.0,17.17393053988171,0.0,0.0,0.0,0.0,0.0,0.0,17.258158653748936,0.0,0.0,0.0,0.0,0.0,0.0,17.20733145419922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.60569697743011
t1,0.14715947695790005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6068527146589895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.959391091557113,0.0,0.0,0.0,9.825849243400606,0.0,0.0,0.0,0.0,0.0,0.0,9.768389049089794,0.0,0.0,0.0,0.0,0.0,0.0,9.866592046405053,0.0,0.0,0.0,0.0,0.0,0.0,9.816615176659583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.99084879872904
t2,0.14713338815303206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6066763183469546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9580916087354965,0.0,0.0,0.0,9.647599580887782,0.0,0.0,0.0,0.0,0.0,0.0,9.586560983183057,0.0,0.0,0.0,0.0,0.0,0.0,9.688795486169955,0.0,0.0,0.0,0.0,0.0,0.0,9.63105434200758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.26591170748385
t3,0.14715757612237748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6068735666146344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9609589714583986,0.0,0.0,0.0,9.74072999551317,0.0,0.0,0.0,0.0,0.0,0.0,9.676909940626887,0.0,0.0,0.0,0.0,0.0,0.0,9.785459789441882,0.0,0.0,0.0,0.0,0.0,0.0,9.712785734992194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.63087557476955
t4,0.1471843804120078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6070414731647978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9614690181144778,0.0,0.0,0.0,9.299856123641094,0.0,0.0,0.0,0.0,0.0,0.0,9.24415353719933,0.0,0.0,0.0,0.0,0.0,0.0,9.337064539947846,0.0,0.0,0.0,0.0,0.0,0.0,9.276629328118085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.87339840059764
t5,0.14713792112630378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606810338502788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.960353163562549,0.0,0.0,0.0,8.634127426211261,0.0,0.0,0.0,0.0,0.0,0.0,8.584079362021942,0.0,0.0,0.0,0.0,0.0,0.0,8.667205879776915,0.0,0.0,0.0,0.0,0.0,0.0,8.616892091807976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.21660618300974
t6,0.1470345267691285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6065758894399537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.961062454986717,0.0,0.0,0.0,7.98510659309571,0.0,0.0,0.0,0.0,0.0,0.0,7.942767908881092,0.0,0.0,0.0,0.0,0.0,0.0,8.009562208498668,0.0,0.0,0.0,0.0,0.0,0.0,7.966075325818804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.618184907490075
t7,0.1463437659387344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6052408398350291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9493764478221816,0.0,0.0,0.0,6.791952323354695,0.0,0.0,0.0,0.0,0.0,0.0,6.754731100879988,0.0,0.0,0.0,0.0,0.0,0.0,6.810969718370666,0.0,0.0,0.0,0.0,0.0,0.0,6.772678685223317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.831292881424613
t8,0.14755411536373605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6091457245235461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8378141417017864,0.0,0.0,0.0,4.4067658236198595,0.0,0.0,0.0,0.0,0.0,0.0,4.375484910911877,0.0,0.0,0.0,0.0,0.0,0.0,4.419892087420847,0.0,0.0,0.0,0.0,0.0,0.0,4.399907109860022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.196563913401675
