Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,9.700237122433473,0.0,0.0,0.0,0.2265570486861387,0.0,0.0,0.0,2.923710677733371,0.0,0.0,0.0,0.0,27.0421673708747,0.0,0.0,8.512848823698697,0.0,0.0,0.0,8.695677848381852,0.0,0.0,0.0,0.7207317934602172,0.0,153.26987959754993,66.1902034531477,0.0,0.0,0.0,0.7198939343248489,0.0,162.01449508363797,46.143236834209155,0.0,0.0,0.0,0.7153801878152328,0.0,179.22948124243607,68.90781878740617,0.0,0.0,0.0,0.7085015276530835,0.0,38.501203185163604,53.19892751706687,0.0,0.0,0.0,827.4209520356791
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4057050477469815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3665751015283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.52262858464645,0.0,0.0,0.0,0.0,0.0,0.0,85.94389893807232,0.0,0.0,0.0,0.0,0.0,0.0,124.1385220042587,0.0,0.0,0.0,0.0,0.0,0.0,127.33735505614403,0.0,0.0,0.0,506.7146847323968
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42128674848193093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.00569692871014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.07467313597667,0.0,0.0,0.0,0.0,0.0,0.0,88.74086170739832,0.0,0.0,0.0,0.0,0.0,0.0,127.60121862139566,0.0,0.0,0.0,0.0,0.0,0.0,130.71946343577002,0.0,0.0,0.0,522.5632005777327
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43052044749325447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.49581018752865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.77218497620916,0.0,0.0,0.0,0.0,0.0,0.0,91.28355770624728,0.0,0.0,0.0,0.0,0.0,0.0,129.1594370319933,0.0,0.0,0.0,0.0,0.0,0.0,133.76336312373897,0.0,0.0,0.0,533.9048734732105
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293664832173538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.91141596610924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.43500094283281,0.0,0.0,0.0,0.0,0.0,0.0,93.6991171651426,0.0,0.0,0.0,0.0,0.0,0.0,127.60123011004247,0.0,0.0,0.0,0.0,0.0,0.0,136.80726120908662,0.0,0.0,0.0,538.8833918764311
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4351376408573024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.8485596709037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.1209465182063,0.0,0.0,0.0,0.0,0.0,0.0,97.00461836668771,0.0,0.0,0.0,0.0,0.0,0.0,128.64004247074692,0.0,0.0,0.0,0.0,0.0,0.0,140.02026512692524,0.0,0.0,0.0,550.0695697943272
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4426402113593138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.37010256112183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.3126773609305,0.0,0.0,0.0,0.0,0.0,0.0,97.89456620467996,0.0,0.0,0.0,0.0,0.0,0.0,131.41020368607005,0.0,0.0,0.0,0.0,0.0,0.0,140.69668869979384,0.0,0.0,0.0,557.1268787239555
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447834689186435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.51912036753801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.8300349036012,0.0,0.0,0.0,0.0,0.0,0.0,98.1488442158641,0.0,0.0,0.0,0.0,0.0,0.0,132.79528998331486,0.0,0.0,0.0,0.0,0.0,0.0,139.5129537948956,0.0,0.0,0.0,559.2540779544001
t8,0.0,0.0,0.0,0.0,0.0,0.0,4.140060588345005,0.0,0.0,0.0,0.45014387752160373,0.0,0.0,0.0,1.3331683325629557,0.0,0.0,0.0,0.0,55.88002525556118,0.0,0.0,4.560447923277097,0.0,0.0,0.0,4.182608990292861,0.0,0.0,0.0,0.32859542470903097,0.0,69.87623252552962,131.50444387309028,0.0,0.0,0.0,0.38565330888804017,0.0,86.7898997306235,95.35191455129853,0.0,0.0,0.0,0.30531706921577056,0.0,76.49048008352491,134.52666662051757,0.0,0.0,0.0,0.3407813731545552,0.0,18.518022471227244,136.13086819707814,0.0,0.0,0.0,821.0953301964179
t9,0.0,0.0,0.0,0.0,0.0,0.0,12.3212311674151,0.0,0.0,0.0,0.4680293248690237,0.0,0.0,0.0,4.0432019451658405,0.0,0.0,0.0,0.0,59.531020866153995,0.0,0.0,14.066876813982207,0.0,0.0,0.0,13.747413409864182,0.0,0.0,0.0,0.996709450953747,0.0,211.95601984803633,136.7310987814362,0.0,0.0,0.0,1.189661872474956,0.0,267.7367186607474,101.58173598855802,0.0,0.0,0.0,0.9087418919771584,0.0,227.66976588264208,140.93288898117575,0.0,0.0,0.0,1.1201886618744301,0.0,60.871000127680766,138.32948712136766,0.0,0.0,0.0,1394.2017907963748
