Line,1,2,3,4,5,Total
AnnualSum,314.447352863283,-387.20654341669837,-149.22730783961103,-80.3676588816583,43.8340307164988,-258.5201265581859
t1,283.4754894798981,-427.2581024218696,-146.41297864749978,-138.22239685826426,33.90715429904843,-394.5108341486871
t2,282.18667611930346,-421.4735557494878,-144.48027041248383,-138.60573306377412,33.07583161468679,-389.2970514917555
t3,278.85725624704105,-419.7638272596736,-142.1503030496181,-133.12084496652366,33.15537245021424,-383.02234657856
t4,264.41020456549046,-395.4806051657216,-133.5739360163126,-135.30477618957374,29.273538325028067,-370.67557448108937
t5,252.26168474694,-372.7755380372082,-126.0918356599356,-141.1563867368124,25.239070015951533,-362.52300567106465
t6,238.7724298223573,-339.59627554021836,-116.05154375097436,-142.82490487465296,20.91615399835706,-338.78414034513133
t7,229.1344555006004,-308.1646336554751,-107.78745346276229,-150.90006690129627,16.203371923752062,-321.51432659518116
t8,238.6673567444722,-250.7053534930242,-97.90017528623424,-146.46547128025793,13.432792966063042,-242.97085034898114
t9,265.5867246401952,-183.0787545587886,-96.8829474295149,-128.50547775057115,16.481560931994768,-126.39889416668468
t10,290.76584806016774,-183.94088748039724,-107.41968268358208,-77.84643791344503,29.373080442132995,-49.06807957512361
t11,292.03234662197315,-154.1738689013876,-103.37719183314243,-54.99602653554025,31.18911557012455,10.674374922027404
t12,292.1820827464018,-161.63254315381238,-104.66304790469306,-50.96927431134978,32.09966622188656,7.016883598433161
t13,309.0316613297168,-167.4475151511358,-110.66840473125272,-51.68675436251875,34.33183502766052,13.56082211247007
t14,320.77326483038945,-173.3128918360309,-115.10892338027716,-54.23075155694718,35.79255918679219,13.913257243926395
t15,327.30367751940486,-182.85364076964575,-118.41015269860321,-66.34183917608242,35.263943122658816,-5.038012002267706
t16,318.6014073790191,-191.61923054202015,-116.54461233993166,-104.12716329881576,28.28712469838896,-65.40247410335948
t17,270.7595087717866,-251.67090693354433,-106.02008993034775,-144.0080099675816,17.01686879539159,-213.92262926429547
t18,233.45274960211435,-317.51674067046537,-111.89053052091144,-154.73123487981078,16.999257725124288,-333.68649874394896
t19,230.15540167352455,-351.7703299138406,-117.76884033550061,-139.15590769465257,21.99665194702447,-356.5430243234448
t20,235.7430977101109,-365.5617657795481,-121.34784383657178,-132.60768757068143,24.53545188701311,-359.23874758967736
t21,241.90992193621048,-377.62090868733054,-124.69132687910758,-126.50563658631087,26.882168025420395,-360.0257821911181
t22,259.2506866750691,-411.4558116519245,-136.02345303009795,-125.65514065176137,31.649590016445128,-382.2341286422695
t23,269.5465080667645,-433.58930509981843,-143.99852580883777,-130.32952625858346,34.18625742637979,-404.18459167409543
t24,271.1287781321564,-436.977583592636,-145.26215198528547,-130.58584741045254,34.64182258377537,-407.0549822724422
t25,271.2545276646791,-434.8840587482974,-144.82630637810811,-128.42274961468962,34.7695892846016,-402.1089977918145
t26,271.23391556104076,-431.93390020259005,-144.06197889596518,-127.63015830467347,34.554813655213394,-397.8373081869746
t27,271.77738415681546,-429.41508093693756,-143.30525123489545,-125.9763068252898,34.522319978302356,-392.396934862005
t28,261.75857692961046,-407.168747278298,-136.17071870744357,-126.64691033463626,31.431173114139636,-376.7966262766277
t29,248.28238513251276,-377.2647786563157,-126.78154549221074,-128.73558236458268,27.232512082274123,-357.2670092983222
t30,234.6170581012777,-344.29499369444056,-116.77580016448916,-132.46133791164496,22.61018029562722,-336.3048933736697
