Zone,1,2,3,4
t1,-5.835098846536668e-7,-5.022759844657785e-7,-6.596792913805729e-7,-5.730057537921615e-7
t2,-7.063675654341947e-7,-6.256943191886621e-7,-7.811028096521297e-7,-6.962139670843479e-7
t3,-1.016216476076263e-6,-9.371520565302641e-7,-1.0898416556191827e-6,-1.0042765689919946e-6
t4,-1.1189279904618452e-6,-1.0443996998881144e-6,-1.1876254826962903e-6,-1.111672613440522e-6
t5,-1.1652634376074013e-6,-1.0946271749100824e-6,-1.2293162546402192e-6,-1.1642353677613988e-6
t6,-1.3492241305704121e-6,-1.2831805815657016e-6,-1.4063913709950052e-6,-1.3528337729583817e-6
t7,-1.478876887343705e-6,-1.416223616089544e-6,-1.5296850985112088e-6,-1.4888608037056056e-6
t8,-3.3339967410365072e-6,-3.274725566320678e-6,-3.372297437988032e-6,-3.3432284942872435e-6
t9,-2.2011397480963352e-5,-2.1960814264824044e-5,-2.203470087536775e-5,-2.2011998021899498e-5
t10,-6.260230219010025e-5,-6.254926740922007e-5,-6.262484828361139e-5,-6.258321393490966e-5
t11,-6.474123079335153e-5,-6.468829070811515e-5,-6.476033234766117e-5,-6.471428420678533e-5
t12,-6.494712657919243e-5,-6.489445104267914e-5,-6.496675631061541e-5,-6.491955904029335e-5
t13,-6.487529529801746e-5,-6.481910463077388e-5,-6.489567515550599e-5,-6.484570018000888e-5
t14,-6.462570023747846e-5,-6.456695332024714e-5,-6.464693023456214e-5,-6.459561258343129e-5
t15,-6.369902733388734e-5,-6.363868874982314e-5,-6.37215176513199e-5,-6.367163339641478e-5
t16,-5.6086006633183984e-5,-5.602748810143825e-5,-5.610939199170316e-5,-5.6071683122024855e-5
t17,-4.205491525566631e-6,-4.141394661114255e-6,-4.243460329760033e-6,-4.2108755187813135e-6
t18,-9.455126775577766e-7,-8.804697841452189e-7,-9.998857812856938e-7,-9.584404207096407e-7
t19,-7.492335480695706e-7,-6.841989964586645e-7,-8.104012676437361e-7,-7.540298929729957e-7
t20,-8.686380072712041e-7,-8.024755202301479e-7,-9.321089185021866e-7,-8.684274587131175e-7
