Zone,1,2,3,4
t1,-1.030564174158934e-8,9.485200508262343e-8,-8.164100664271209e-8,-2.7539126924817094e-7
t2,-9.941446174629723e-9,9.473975243264099e-8,-8.079484142900228e-8,-2.73646827332627e-7
t3,-8.53694483094976e-9,9.458128830605376e-8,-7.862344991625403e-8,-2.6714493901818693e-7
t4,-1.2082417640903383e-8,9.346213355695027e-8,-8.296726236878465e-8,-2.7282601706586427e-7
t5,-1.4556090981034162e-8,9.228903138892804e-8,-9.094490601163655e-8,-2.8523497547890567e-7
t6,-2.1772248952072637e-8,9.017450243097381e-8,-9.981656413494812e-8,-3.0140110350508666e-7
t7,-2.8264788918963585e-8,8.840314293947e-8,-1.0835900975982133e-7,-3.184028301607346e-7
t8,-2.369980621975218e-8,8.85404858571766e-8,-9.897705612844321e-8,-2.900897693783062e-7
t9,-1.8598415246107827e-8,8.876094006006083e-8,-8.794689781456428e-8,-2.593512955488192e-7
t10,-1.802898437574058e-8,8.858472430597848e-8,-8.592003244963755e-8,-2.511874850550176e-7
t11,-2.5987306604144815e-8,8.622692475627343e-8,-9.518559453852699e-8,-2.687837415342099e-7
t12,-2.359557240502598e-8,8.690912966850367e-8,-9.271141309924991e-8,-2.649305778349045e-7
t13,-1.4707716206234825e-8,8.950970778186188e-8,-8.229710957733022e-8,-2.470644222511626e-7
t14,-7.710220370849184e-9,9.153802197424319e-8,-7.383252774522835e-8,-2.308059238345869e-7
t15,-3.1329515817073976e-9,9.305604154420141e-8,-6.798961277299915e-8,-2.1897292851446125e-7
t16,-2.5651295704151704e-9,9.326913202743896e-8,-6.767774677810908e-8,-2.2062306068918736e-7
t17,-6.409683650381991e-9,9.323316147512391e-8,-7.620453135797254e-8,-2.434537551792086e-7
t18,-1.984177059046108e-8,9.127814608178495e-8,-1.000947447473827e-7,-3.046530805136051e-7
t19,-2.5038322843841925e-8,9.02723833765319e-8,-1.0583499884115302e-7,-3.147535489704172e-7
t20,-2.378057342737132e-8,9.034831019771118e-8,-1.0324943902052512e-7,-3.111128804642492e-7
t21,-2.2114196726716902e-8,9.048758451213318e-8,-1.0203174108682348e-7,-3.072622523476505e-7
t22,-1.3963337631758576e-8,9.289743603838705e-8,-9.147969902839469e-8,-2.887042881906481e-7
t23,-8.795256880141645e-9,9.478342173503431e-8,-8.606715034423525e-8,-2.7943373770582447e-7
t24,-7.522965088846906e-9,9.520821086571893e-8,-8.397396315257151e-8,-2.802484351316747e-7
t25,-8.059640488709422e-9,9.504346646581376e-8,-8.450507404558183e-8,-2.793153475574502e-7
t26,-8.654298816681975e-9,9.476553341559467e-8,-8.586925932299034e-8,-2.824622010569721e-7
t27,-9.012946899237142e-9,9.444102361248577e-8,-8.650755854574897e-8,-2.818222492918875e-7
t28,-1.2988938744100825e-8,9.326123545054904e-8,-9.16286695094301e-8,-2.9036515373219896e-7
t29,-1.961976097810492e-8,9.135240790675861e-8,-9.984383818817718e-8,-3.0406959774789734e-7
t30,-2.669194496495653e-8,8.923177331234811e-8,-1.0958380611399622e-7,-3.221506326198395e-7
t31,-3.2971847111563365e-8,8.756422789086995e-8,-1.176132247480698e-7,-3.3636745752812687e-7
t32,-2.6458914874986396e-8,8.815313109311687e-8,-1.0403684854671854e-7,-3.0327225360104204e-7
t33,-1.7672857637602843e-8,8.921759740586205e-8,-8.695562009558879e-8,-2.5553137526896644e-7
t34,-1.2344219732293975e-8,9.043147648989825e-8,-7.73697667139292e-8,-2.383097559356906e-7
t35,-1.3228374626052826e-8,9.011506052162343e-8,-7.81528271413169e-8,-2.3761252724357934e-7
t36,-4.5176555340146186e-9,9.27385612184871e-8,-6.707829918603316e-8,-2.191305148063393e-7
t37,6.385116134663077e-9,9.618478052649635e-8,-5.211310393645602e-8,-1.922529109387497e-7
t38,1.2597829527788471e-8,9.81786899778403e-8,-4.291969019162607e-8,-1.7828916116031276e-7
t39,1.7702865754224966e-8,9.978220353589218e-8,-3.636007884902885e-8,-1.6655817879119035e-7
t40,1.8842099242620206e-8,1.0064218575653086e-7,-3.603304086224869e-8,-1.6909948980446896e-7
t41,1.3074919400638425e-8,9.998954008399413e-8,-4.686548164843732e-8,-2.0168559977635578e-7
t42,1.558761637297743e-10,9.777025720166216e-8,-6.752144890696814e-8,-2.488272954728201e-7
t43,-1.898640848580143e-9,9.729527172577776e-8,-6.998794608222204e-8,-2.5431438608129016e-7
t44,-9.745600914099921e-11,9.766644245262175e-8,-6.688807547484097e-8,-2.482477437323124e-7
t45,3.96789878606099e-10,9.754504900031762e-8,-6.6495170821341e-8,-2.476071332174076e-7
t46,-9.704525864590144e-10,9.739417512558672e-8,-6.930601057692053e-8,-2.5206996414471106e-7
t47,1.2306810080284132e-9,9.80469980029886e-8,-6.75028174217104e-8,-2.4874111581983563e-7
t48,1.3199587188741017e-9,9.796722839202524e-8,-6.753999146865027e-8,-2.521431104496833e-7
t49,-2.295714860046207e-10,9.748855769573299e-8,-7.09698568516446e-8,-2.5595148283568164e-7
t50,-1.532221052412063e-9,9.71289360203525e-8,-7.32603498782966e-8,-2.6190647033022575e-7
t51,-2.9424343924099564e-9,9.66836933461979e-8,-7.614820442256916e-8,-2.6483006189578407e-7
t52,-6.4702644061498e-9,9.539258009182069e-8,-8.02935264297472e-8,-2.7043504130911656e-7
t53,-1.2396928744814666e-8,9.362294819659673e-8,-8.904313503681729e-8,-2.844391812086206e-7
t54,-1.9247358572977626e-8,9.164522479570049e-8,-9.702982793923374e-8,-2.9878327862904236e-7
t55,-2.4781269235461374e-8,9.003382284512409e-8,-1.0526105534329995e-7,-3.1485615158248726e-7
t56,-1.7789385475108895e-8,9.070242840962277e-8,-9.122713791173878e-8,-2.8069180673952953e-7
