Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,0.2280238641094053,4.253471756107095,0.0,0.0,0.0,0.0,0.0,23.078688341997413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9751923130229811,28.61044152149194,0.0,0.0,0.0,0.0,0.0,0.0,3.145482398768733,0.0,0.0,0.0,111.3446468359831,0.0,0.0,0.0,0.0,0.0,0.0,110.99180623014273,0.0,0.0,0.0,0.0,0.0,0.0,111.42894463619342,0.0,0.0,0.0,0.0,0.0,0.0,110.92194207072586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.22795543737562604,4.249995933125686,0.0,0.0,0.0,0.0,0.0,22.88773000408572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9748326116996536,28.315393502799257,0.0,0.0,0.0,0.0,0.0,0.0,3.1432714191509064,0.0,0.0,0.0,104.99717748000157,0.0,0.0,0.0,0.0,0.0,0.0,104.64993339317166,0.0,0.0,0.0,0.0,0.0,0.0,105.10948910323717,0.0,0.0,0.0,0.0,0.0,0.0,104.61807183898489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.2279477842668982,4.2469757226621105,0.0,0.0,0.0,0.0,0.0,22.687664580255372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9748686766164143,28.002941234108402,0.0,0.0,0.0,0.0,0.0,0.0,3.145091202223267,0.0,0.0,0.0,98.74348164691696,0.0,0.0,0.0,0.0,0.0,0.0,98.39595643202844,0.0,0.0,0.0,0.0,0.0,0.0,98.89263153953868,0.0,0.0,0.0,0.0,0.0,0.0,98.37492125003274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.22796156558240807,4.245128460711877,0.0,0.0,0.0,0.0,0.0,22.463279363848986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9750263525321238,27.642995159010063,0.0,0.0,0.0,0.0,0.0,0.0,3.146000269352233,0.0,0.0,0.0,90.74195684775036,0.0,0.0,0.0,0.0,0.0,0.0,90.41606685162552,0.0,0.0,0.0,0.0,0.0,0.0,90.91196841283494,0.0,0.0,0.0,0.0,0.0,0.0,90.39874343183972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.22784694296941368,4.245363075907548,0.0,0.0,0.0,0.0,0.0,22.20587434875882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9745977800637343,27.218861779663236,0.0,0.0,0.0,0.0,0.0,0.0,3.1446902285342806,0.0,0.0,0.0,79.63241628076243,0.0,0.0,0.0,0.0,0.0,0.0,79.34707561836383,0.0,0.0,0.0,0.0,0.0,0.0,79.81505858833377,0.0,0.0,0.0,0.0,0.0,0.0,79.3416791732163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.22753876492106967,4.249187950356271,0.0,0.0,0.0,0.0,0.0,21.91620772343007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9736483705345463,26.728772795564492,0.0,0.0,0.0,0.0,0.0,0.0,3.1442928109184254,0.0,0.0,0.0,64.50396528404933,0.0,0.0,0.0,0.0,0.0,0.0,64.29168417200391,0.0,0.0,0.0,0.0,0.0,0.0,64.66551610698652,0.0,0.0,0.0,0.0,0.0,0.0,64.27795269186792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.22598533948804422,4.257353672618907,0.0,0.0,0.0,0.0,0.0,21.57980878874288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9696903380013452,26.14468958396537,0.0,0.0,0.0,0.0,0.0,0.0,3.129455322878373,0.0,0.0,0.0,40.006971242444976,0.0,0.0,0.0,0.0,0.0,0.0,39.89292684749551,0.0,0.0,0.0,0.0,0.0,0.0,40.122787951418374,0.0,0.0,0.0,0.0,0.0,0.0,39.891760314403584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.22518154672126747,4.272838268971243,0.0,0.0,0.0,0.0,0.0,21.279722680674528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9703458809630191,25.616118506184577,0.0,0.0,0.0,0.0,0.0,0.0,3.0007693836323694,0.0,0.0,0.0,10.21065021355363,0.0,0.0,0.0,0.0,0.0,0.0,10.176570737969339,0.0,0.0,0.0,0.0,0.0,0.0,10.228866386658044,0.0,0.0,0.0,0.0,0.0,0.0,10.196836853237981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.2296634019388937,4.2916751265362425,0.0,0.0,0.0,0.0,0.0,21.625887054043766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9864838977866389,26.21349384011812,0.0,0.0,0.0,0.0,0.0,0.0,2.7766498110243774,0.0,0.0,0.0,6.514595592081223,0.0,0.0,0.0,0.0,0.0,0.0,6.493613859558655,0.0,0.0,0.0,0.0,0.0,0.0,6.524685976279095,0.0,0.0,0.0,0.0,0.0,0.0,6.512525272433822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
