Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,0.00020145480774602098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0364288416923916e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.152049113432581e-5,0.0,0.0,0.0,-2.4668899854146046e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.4747822694482484e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.4598963138941306e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.468750932445882e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.00020159266211685492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0512846643099835e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1368661899774264e-5,0.0,0.0,0.0,-2.443362593552979e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.451036439973105e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.436578255085779e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.4448731349824136e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0002018867042848028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079481536655203e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1082849934977257e-5,0.0,0.0,0.0,-2.4134619944654968e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.4208908036096234e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.4069189568883228e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.4146344684565706e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.00020200808738326755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0903518960452055e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0967857012156493e-5,0.0,0.0,0.0,-2.3762205572542876e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.3833679992366987e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.369968061484533e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.3770304183301643e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.00020207017533803329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0971063308665608e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0891037527991144e-5,0.0,0.0,0.0,-2.3273859299832217e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.3342192533472748e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.3214759877383376e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.3278066081937316e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.00020228223828394417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117677175939764e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0687266774222028e-5,0.0,0.0,0.0,-2.257129666701383e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.2636124012989397e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.251631086248252e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.2571298269325272e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0002029182967505615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1759622238599214e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0158821674884108e-5,0.0,0.0,0.0,-2.1246018761612665e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.1306436399895877e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.1197368611347338e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.1241451940905647e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.00020742210142280824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6411408238761557e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.053972765162941e-6,0.0,0.0,0.0,-1.3457560221994014e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.3508949903419869e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.3423030735346883e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.3450425346484857e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.00022918422402849146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8355460587321646e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8443471337624e-5,0.0,0.0,0.0,9.903497116258638e-6,0.0,0.0,0.0,0.0,0.0,0.0,9.851374863550146e-6,0.0,0.0,0.0,0.0,0.0,0.0,9.928537325456797e-6,0.0,0.0,0.0,0.0,0.0,0.0,9.897884530836056e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
