Line,1,2,3,4,5,Total
AnnualSum,15690.371080858045,20229.938481454454,7985.653175657953,11455.328525905214,4540.326901970373,59901.618165846034
t1,14565.966186365298,18819.223779685704,7450.682815904331,10693.9193407009,4217.025584655155,55746.81770731139
t2,14639.19206697277,18899.909867546357,7462.578334857922,10746.569835496228,4224.45823757637,55972.70834244965
t3,14813.975159176693,19151.55171963032,7504.624184764189,10855.390787711025,4247.7578409026355,56573.29969218485
t4,14806.839708220932,19116.174974339556,7480.293337431983,10890.87454239446,4245.796030372466,56539.978592759406
t5,14790.210054601248,19065.49193990669,7456.325900576822,10922.298534790518,4241.724903833144,56476.05133370842
t6,14864.48853411958,19117.523377614798,7452.645330662104,10998.72711684696,4249.746264567869,56683.13062381131
t7,14899.217737567134,19112.936090789673,7442.362925182706,11057.56007745627,4251.317908261677,56763.39473925746
t8,15928.547153533971,20435.37084186401,7761.385331235593,11707.321546660602,4395.223623001461,60227.848496295635
t9,19058.073126191117,24249.458457982033,9448.163545826414,14213.131930335216,5363.011062764515,72331.8381230993
t10,19765.230188514008,25003.666553089624,10023.32818700119,14874.451003292426,5822.121117721066,75488.79704961831
t11,19782.79837535988,25022.604353516428,10036.794474243039,14890.308526835051,5832.836298011457,75565.34202796586
t12,19785.229632595307,25025.37648410955,10038.569283624232,14892.679390476324,5834.102045026152,75575.95683583157
t13,19784.95695056519,25024.694403140464,10038.368717203934,14892.407704616395,5833.790466566885,75574.21824209287
t14,19782.399941011692,25021.59407109258,10036.586706166898,14890.173494393623,5832.381125177522,75563.13533784231
t15,19774.187402137348,25012.328867525062,10030.670496188988,14882.929928781345,5827.859159432441,75527.97585406518
t16,19715.48194733156,24949.48500677687,9983.201027439089,14828.691611965407,5789.692506948576,75266.5521004615
t17,16505.613008635828,21164.243613014034,7991.595742110875,12092.767954065224,4496.36691480321,62250.58723262917
t18,14598.296722758045,18688.59446095278,7363.350179376248,10880.634116835201,4214.238653297359,55745.114133219635
t19,14460.872694030906,18630.298725842298,7351.780848243267,10759.184002685053,4207.498753244667,55409.6350240462
t20,14560.188173587152,18795.6437448821,7389.710977394231,10790.429162382934,4221.327893632134,55757.29995187855
t21,14681.68772244642,18981.17596195398,7432.574547122232,10838.193600746865,4237.687191934589,56171.31902420409
t22,14644.393602181612,18986.060663101267,7452.633680513492,10773.308067610236,4234.679938442964,56091.075951849576
t23,14500.841683103605,18843.232182250144,7439.408447664886,10667.161284552018,4218.098863690509,55668.742461261165
t24,14470.61587248577,18811.2773725981,7436.075707153377,10643.947047275997,4214.9557025921995,55576.87170210545
t25,14479.630302573492,18811.6117407535,7436.270829986255,10642.480664080484,4216.322440632745,55586.31597802647
t26,14511.29145707971,18838.90750887656,7440.814812109791,10660.712506505031,4219.553778034276,55671.28006260537
t27,14582.947165525686,18919.40088370074,7455.431959106161,10701.491155528645,4227.515946612005,55886.78711047323
t28,14588.863558863019,18878.169463376697,7434.6618040049725,10732.479925375745,4226.245174075339,55860.41992569577
t29,14590.93198994622,18822.79243288236,7407.993686985384,10770.722862314606,4224.278691617171,55816.719663745745
t30,14625.4068152707,18811.470920118667,7390.59148400409,10830.746384295842,4226.066059031036,55884.281662720336
t31,14641.911179315635,18766.502868120082,7372.648150345053,10883.373532721105,4223.58932481395,55888.025055315826
t32,15475.249049467711,19811.037164839847,7602.988842369073,11409.860153873187,4326.832111124419,58625.96732167424
t33,18722.17808448884,23873.952736898824,9205.89723008981,13908.053226970154,5191.705292198918,70901.78657064655
t34,19750.116870927144,24986.27896354749,10011.557617138738,14860.341521252301,5812.8572012639515,75421.15217412962
t35,19776.542714288833,25014.75158946712,10032.614450144916,14884.483550869783,5829.742115919061,75538.1344206897
t36,19778.633892925027,25016.46632652813,10034.060789823336,14886.093311683235,5830.577755107742,75545.83207606748
t37,19776.064891956117,25012.784011743166,10032.096814851011,14883.717705406843,5828.765240697616,75533.42866465476
t38,19762.411243135793,24997.578313090053,10021.569902989157,14871.873656701531,5820.138748145756,75473.57186406228
t39,19703.834539294156,24932.266754872668,9974.180906817037,14815.713195424456,5781.5954057919525,75207.59080220027
t40,17891.02699116031,22838.4133350628,8666.59782066913,13116.553685399529,4836.496037280189,67349.08786957196
t41,15448.909422467485,19423.25514857472,7628.861580345668,11142.643505994338,4294.712100367574,57938.38175774978
t42,14544.606024768234,18576.491392506832,7418.859228208221,10658.924879146196,4203.052888709575,55401.934413339055
t43,14448.446855349805,18687.53435794651,7428.8722084899955,10616.058393060963,4204.298788909375,55385.21060375664
t44,14512.652367893137,18817.67375605708,7457.46146290906,10643.641235406572,4213.856125485882,55645.28494775173
t45,14574.605191294377,18929.09917376065,7479.150652742533,10675.249533657234,4223.525459877187,55881.630011331974
t46,14578.563665572683,18915.12882512805,7498.282210495796,10637.667000811522,4221.602501717788,55851.244203725844
t47,14524.548968106381,18883.719440272045,7500.415965949766,10588.066605348036,4216.786014491556,55713.536994167785
t48,14492.09419645667,18869.216361106908,7495.652886243845,10565.294548575612,4215.530750222294,55637.78874260533
t49,14479.553562185813,18849.451042204902,7485.496430148844,10561.01925149317,4215.629731633919,55591.150017666645
t50,14478.885767708258,18835.11735788744,7477.786437280081,10571.558137504031,4215.064614040478,55578.4123144203
t51,14528.594896920562,18870.015210496542,7479.211332938526,10612.617353874375,4219.269687258293,55709.7084814883
t52,14539.660435038139,18834.68849196774,7439.190242665587,10678.069674022721,4221.115585871954,55712.72442956614
t53,14549.742392722897,18772.846955929876,7410.879970366028,10730.384019281933,4218.236440279299,55682.08977858003
t54,14580.559218810204,18756.473536611444,7388.550155366372,10801.976406551537,4219.355792478107,55746.915109817666
t55,14576.447357353876,18696.590625334306,7362.322278019884,10864.481814790825,4215.2416295355515,55715.08370503444
t56,15427.626721276403,19732.76134055573,7589.254435050533,11381.277428724841,4317.5841781515555,58448.50410375906
t57,18970.39271930169,24150.997162315838,9379.949902313327,14127.16963652737,5308.908632372162,71937.41805283038
t58,19719.133857288867,24951.62082975432,9987.054243608767,14831.028116294865,5792.665871818431,75281.50291876525
t59,19763.44339614078,24998.956922502683,10023.288572525453,14872.317304793436,5822.044777590896,75480.05097355325
t60,19771.905448031925,25007.672065089148,10030.011776238945,14879.932565041046,5827.505531684006,75517.02738608506
