region,Resource,zone,Cluster,R_ID,ESR_1,AnnualSum
East,East_batteries_1,1,1,1,0.0,0.0
East,East_conventional_hydroelectric_1,1,1,2,3.8067057355532134e6,3.8067057355532134e6
East,East_landfill_gas_1,1,1,3,9.008716730871998e6,9.008716730871998e6
East,East_natural_gas_internal_combustion_engine_1,1,1,4,0.0,0.0
East,East_petroleum_liquids_with_gt_1,1,1,5,0.0,0.0
East,East_petroleum_liquids_with_ic_1,1,1,6,0.0,0.0
East,East_solar_photovoltaic_1,1,1,7,3.368325246196915e7,3.368325246196915e7
North,North_conventional_hydroelectric_1,2,1,8,2.1403126840665765e7,2.1403126840665765e7
North,North_landfill_gas_1,2,1,9,9.008725823373439e6,9.008725823373439e6
North,North_natural_gas_internal_combustion_engine_1,2,1,10,0.0,0.0
North,North_onshore_wind_turbine_1,2,1,11,872282.3846316139,872282.3846316139
North,North_petroleum_liquids_with_cc_1,2,1,12,0.0,0.0
North,North_petroleum_liquids_with_gt_1,2,1,13,0.0,0.0
North,North_petroleum_liquids_with_st_1,2,1,14,0.0,0.0
North,North_solar_photovoltaic_1,2,1,15,9.730391073218772e6,9.730391073218772e6
South,South_batteries_1,3,1,16,0.0,0.0
South,South_conventional_hydroelectric_1,3,1,17,2.6740610540740136e7,2.6740610540740136e7
South,South_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0
South,South_natural_gas_steam_turbine_1,3,1,19,0.0,0.0
South,South_onshore_wind_turbine_1,3,1,20,1.0318708674509923e8,1.0318708674509923e8
South,South_petroleum_liquids_with_gt_1,3,1,21,0.0,0.0
South,South_petroleum_liquids_with_st_1,3,1,22,0.0,0.0
South,South_solar_photovoltaic_1,3,1,23,2.9600151344799705e7,2.9600151344799705e7
West,West_batteries_1,4,1,24,0.0,0.0
West,West_petroleum_liquids_with_gt_1,4,1,25,0.0,0.0
West,West_petroleum_liquids_with_ic_1,4,1,26,0.0,0.0
West,West_solar_photovoltaic_1,4,1,27,3.0119173651042327e7,3.0119173651042327e7
East,East_battery_moderate_0,1,0,28,0.0,0.0
East,East_naturalgas_ctavgcf_moderate_0,1,0,29,0.0,0.0
East,East_naturalgas_ccavgcf_moderate_0,1,0,30,0.0,0.0
East,East_microgrid_solar_moderate_0,1,0,31,0.09867511996713467,0.09867511996713467
East,East_microgrid_diesel_moderate_0,1,0,32,0.0,0.0
East,East_utilitypv_class1_moderate_1,1,1,33,4.95025780998133e8,4.95025780998133e8
East,East_landbasedwind_class3_moderate_1,1,1,34,2.5598313689118993e8,2.5598313689118993e8
North,North_battery_moderate_0,2,0,35,0.0,0.0
North,North_naturalgas_ctavgcf_moderate_0,2,0,36,0.0,0.0
North,North_naturalgas_ccavgcf_moderate_0,2,0,37,0.0,0.0
North,North_microgrid_solar_moderate_0,2,0,38,0.09869785185724654,0.09869785185724654
North,North_microgrid_diesel_moderate_0,2,0,39,0.0,0.0
North,North_utilitypv_class1_moderate_1,2,1,40,7.574102899139545e8,7.574102899139545e8
North,North_landbasedwind_class3_moderate_1,2,1,41,1.7715702416343647e8,1.7715702416343647e8
South,South_battery_moderate_0,3,0,42,0.0,0.0
South,South_naturalgas_ctavgcf_moderate_0,3,0,43,0.0,0.0
South,South_naturalgas_ccavgcf_moderate_0,3,0,44,0.0,0.0
South,South_microgrid_solar_moderate_0,3,0,45,0.09835182123805887,0.09835182123805887
South,South_microgrid_diesel_moderate_0,3,0,46,0.0,0.0
South,South_utilitypv_class1_moderate_1,3,1,47,7.576184595012249e8,7.576184595012249e8
South,South_landbasedwind_class3_moderate_1,3,1,48,2.6646685050258982e8,2.6646685050258982e8
West,West_battery_moderate_0,4,0,49,0.0,0.0
West,West_naturalgas_ctavgcf_moderate_0,4,0,50,0.0,0.0
West,West_naturalgas_ccavgcf_moderate_0,4,0,51,0.0,0.0
West,West_microgrid_solar_moderate_0,4,0,52,0.09833264398949736,0.09833264398949736
West,West_microgrid_diesel_moderate_0,4,0,53,0.0,0.0
West,West_utilitypv_class1_moderate_1,4,1,54,2.5553503618106794,2.5553503618106794
West,West_landbasedwind_class3_moderate_1,4,1,55,2.0693832110683447e8,2.0693832110683447e8
North,North_to_south_underground_line,2,0,56,0.0,0.0
East,North_to_east_underground_line,1,0,57,0.0,0.0
West,South_to_west_underground_line,4,0,58,0.0,0.0
