Region,Resource,Zone,Cluster,AnnualSum
East,East_batteries_1,1,1,-108366.24343223988
East,East_conventional_hydroelectric_1,1,1,-160150.6457367823
East,East_landfill_gas_1,1,1,-577498.7774669958
East,East_natural_gas_internal_combustion_engine_1,1,1,4014.3313386704604
East,East_petroleum_liquids_with_gt_1,1,1,15343.775089716488
East,East_petroleum_liquids_with_ic_1,1,1,2315.1075703307624
East,East_solar_photovoltaic_1,1,1,-1.0802401290494727e7
North,North_conventional_hydroelectric_1,2,1,-960148.7221711266
North,North_landfill_gas_1,2,1,-577446.8411271475
North,North_natural_gas_internal_combustion_engine_1,2,1,28722.218181537268
North,North_onshore_wind_turbine_1,2,1,-77782.00339116967
North,North_petroleum_liquids_with_cc_1,2,1,362643.6932349588
North,North_petroleum_liquids_with_gt_1,2,1,1.0168587161417695
North,North_petroleum_liquids_with_st_1,2,1,-0.04705157184423542
North,North_solar_photovoltaic_1,2,1,-2.87913965701317e6
South,South_batteries_1,3,1,-469505.57312152826
South,South_conventional_hydroelectric_1,3,1,-1.2149286021313758e6
South,South_natural_gas_fired_combined_cycle_1,3,1,636470.0034487627
South,South_natural_gas_steam_turbine_1,3,1,882225.0225528295
South,South_onshore_wind_turbine_1,3,1,-1.2651743742240421e7
South,South_petroleum_liquids_with_gt_1,3,1,1.4625707709646807
South,South_petroleum_liquids_with_st_1,3,1,2.6386658765415567
South,South_solar_photovoltaic_1,3,1,-9.45090736440659e6
West,West_batteries_1,4,1,-1.5155967902161358e6
West,West_petroleum_liquids_with_gt_1,4,1,81402.87768863376
West,West_petroleum_liquids_with_ic_1,4,1,348.88071214152995
West,West_solar_photovoltaic_1,4,1,-9.732235296268066e6
East,East_battery_moderate_0,1,0,-0.6715405773852077
East,East_naturalgas_ctavgcf_moderate_0,1,0,-0.04732323097496331
East,East_naturalgas_ccavgcf_moderate_0,1,0,-0.04754563456478252
East,East_microgrid_solar_moderate_0,1,0,-0.013225417206734353
East,East_microgrid_diesel_moderate_0,1,0,0.443304210249591
East,East_utilitypv_class1_moderate_1,1,1,-1.9419574914912674e8
East,East_landbasedwind_class3_moderate_1,1,1,-3.2200520101987224e7
North,North_battery_moderate_0,2,0,-0.6715483201199187
North,North_naturalgas_ctavgcf_moderate_0,2,0,-0.0473028089168577
North,North_naturalgas_ccavgcf_moderate_0,2,0,-0.04753208575875844
North,North_microgrid_solar_moderate_0,2,0,-0.013193449975229032
North,North_microgrid_diesel_moderate_0,2,0,12621.114590955154
North,North_utilitypv_class1_moderate_1,2,1,-2.973789659052024e8
North,North_landbasedwind_class3_moderate_1,2,1,-2.3365569918776307e7
South,South_battery_moderate_0,3,0,-0.6715207163065504
South,South_naturalgas_ctavgcf_moderate_0,3,0,-0.047342629087775125
South,South_naturalgas_ccavgcf_moderate_0,3,0,-0.04755870748880154
South,South_microgrid_solar_moderate_0,3,0,-0.013191080254109012
South,South_microgrid_diesel_moderate_0,3,0,0.2502280075207012
South,South_utilitypv_class1_moderate_1,3,1,-2.925617872309389e8
South,South_landbasedwind_class3_moderate_1,3,1,-3.321543955050335e7
West,West_battery_moderate_0,4,0,-0.6715281785440095
West,West_naturalgas_ctavgcf_moderate_0,4,0,-0.047322929925597765
West,West_naturalgas_ccavgcf_moderate_0,4,0,-0.04754582168795259
West,West_microgrid_solar_moderate_0,4,0,-0.013248435792084862
West,West_microgrid_diesel_moderate_0,4,0,10.809461532716794
West,West_utilitypv_class1_moderate_1,4,1,-0.6776024699617836
West,West_landbasedwind_class3_moderate_1,4,1,-2.579827501912966e7
North,North_to_south_underground_line,2,0,0.0
East,North_to_east_underground_line,1,0,0.0
West,South_to_west_underground_line,4,0,0.0
