region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
East,East_batteries_1,1,1,1,0.0,0.0,22446.0,2770.7999999999997,0.0010511889046276798,0.0,0.006209763273583031,0.0,-166188.54318754585,-108366.24343223988,0.0,17043.027523260178,0.0,0.0,0.0,-91323.2159089797,-140971.73592659365,49648.52001761395
East,East_conventional_hydroelectric_1,1,1,2,0.0,0.0,310516.8,0.0,0.0,0.0,0.0,0.0,0.0,-160150.6457367823,0.0,529902.2195792287,3.8067057355532134e6,0.0,0.0,4.1764573093956597e6,310516.8,3.86594050939566e6
East,East_landfill_gas_1,1,1,3,0.0,0.0,50399.999999968604,0.0,11.915722310400195,0.0,0.0,0.0037363780427593124,0.0,-577498.7774669958,0.0,444711.0363332543,9.008716730871998e6,0.0,0.0,8.875928989738256e6,50411.919458657045,8.825517070279598e6
East,East_natural_gas_internal_combustion_engine_1,1,1,4,0.0,0.0,67199.99999819373,0.0,14.297354732296967,277.8846765638178,0.0,16.658883765596848,0.0,4014.3313386704604,0.0,592948.0484287706,0.0,0.0,0.0,596962.3797674411,67508.84091325544,529453.5388541856
East,East_petroleum_liquids_with_gt_1,1,1,5,0.0,0.0,1.7570699999773738e6,0.0,39.70238121498023,2254.764399834081,0.0,191.07797542049786,0.0,15343.775089716488,0.0,2.3347329407209747e7,0.0,0.0,0.0,2.336267318229946e7,1.7595555447338433e6,2.1603117637565617e7
East,East_petroleum_liquids_with_ic_1,1,1,6,0.0,0.0,83999.99999817279,0.0,6.209717650771867,350.1590786407469,0.0,25.265609250936738,0.0,2315.1075703307624,0.0,741185.0605397628,0.0,0.0,0.0,743500.1681100936,84381.63440371524,659118.5337063783
East,East_solar_photovoltaic_1,1,1,7,0.0,0.0,1.1130515999990706e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0802401290494727e7,0.0,1.9023810684908522,3.368325246196915e7,0.0,0.0,2.2880853073855493e7,1.1130515999990706e6,2.1767801473856423e7
North,North_conventional_hydroelectric_1,2,1,8,0.0,0.0,1.740776e6,0.0,0.0,0.0,0.0,0.0,0.0,-960148.7221711266,0.0,2.9706638866071976e6,2.1403126840665765e7,0.0,0.0,2.3413642005101837e7,1.740776e6,2.1672866005101837e7
North,North_landfill_gas_1,2,1,9,0.0,0.0,50399.999999558575,0.0,11.915734336943544,0.0,0.0,0.003736602420222754,0.0,-577446.8411271475,0.0,444711.03632963635,9.008725823373439e6,0.0,0.0,8.875990018575927e6,50411.91947049794,8.825578099105429e6
North,North_natural_gas_internal_combustion_engine_1,2,1,10,0.0,0.0,470399.9999978883,0.0,100.51739761949587,1953.6652093714072,0.0,116.5690338834576,0.0,28722.218181537268,0.0,4.1506363390943254e6,0.0,0.0,0.0,4.179358557275863e6,472570.75163876265,3.7067878056371002e6
North,North_onshore_wind_turbine_1,2,1,11,0.0,0.0,25799.999999214022,0.0,0.0,0.0,0.0,0.0,0.0,-77782.00339116967,0.0,2856.9567898355585,872282.3846316139,0.0,0.0,797357.3380302797,25799.999999214022,771557.3380310657
North,North_petroleum_liquids_with_cc_1,2,1,12,0.0,0.0,7.081664799998982e6,0.0,859.3189344137706,54386.38978969972,0.0,2387.6110923367332,0.0,362643.6932349588,0.0,7.956621625066286e7,0.0,0.0,0.0,7.992885994389783e7,7.139298119815432e6,7.27895618240824e7
North,North_petroleum_liquids_with_gt_1,2,1,13,0.0,0.0,5.894783699908961e6,0.0,0.0031539379381457823,0.21324323949595891,0.0,0.024235471956962604,0.0,1.0168587161417695,0.0,9.044310701293512e7,0.0,0.0,0.0,9.044310802979383e7,5.89478394054161e6,8.454832408925222e7
North,North_petroleum_liquids_with_st_1,2,1,14,0.0,0.0,1.0455758632879064,0.0,1.3479957928918306e-5,0.004089895537282471,0.0,0.000225662766038629,0.0,-0.04705157184423542,0.0,5.687233675415511,0.0,0.0,0.0,5.640182103571275,1.0499049015491566,4.5902772020221185
North,North_solar_photovoltaic_1,2,1,15,0.0,0.0,337082.69999952475,0.0,0.0,0.0,0.0,0.0,0.0,-2.87913965701317e6,0.0,0.6768372143734639,9.730391073218772e6,0.0,0.0,6.851252093042817e6,337082.69999952475,6.514169393043293e6
South,South_batteries_1,3,1,16,0.0,0.0,31798.5,12006.800000000001,0.004551699394625608,0.0,0.026888582330754536,0.0,-720034.233696674,-469505.57312152826,0.0,73853.13248838189,0.0,0.0,0.0,-395652.4406331464,-676228.9022563923,280576.4616232459
South,South_conventional_hydroelectric_1,3,1,17,0.0,0.0,2.1736176e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.2149286021313758e6,0.0,3.709315443540808e6,2.6740610540740136e7,0.0,0.0,2.923499738214957e7,2.1736176e6,2.706137978214957e7
South,South_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0,5.676459999993666e6,0.0,1394.9046992185226,45865.70299092488,0.0,2347.7384388457517,0.0,636470.0034487627,0.0,1.074718337804835e8,0.0,0.0,0.0,1.0810830378393227e8,5.726068346122655e6,1.0238223543780962e8
South,South_natural_gas_steam_turbine_1,3,1,19,0.0,0.0,2.3886719999224253e7,0.0,606.1131072856981,66729.62228324644,0.0,5456.750098606747,0.0,882225.0225528295,0.0,1.4186282058578935e8,0.0,0.0,0.0,1.4274504560834217e8,2.3959512484713394e7,1.1878553312362878e8
South,South_onshore_wind_turbine_1,3,1,20,0.0,0.0,3.224999999998811e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.2651743742240421e7,0.0,329161.97421268944,1.0318708674509923e8,0.0,0.0,9.08645049770715e7,3.224999999998811e6,8.763950497707269e7
South,South_petroleum_liquids_with_gt_1,3,1,21,0.0,0.0,1.1713799999965604e6,0.0,0.004505158514950726,0.2815894721787952,0.0,0.029358054169741632,0.0,1.4625707709646807,0.0,1.5564886271627892e7,0.0,0.0,0.0,1.5564887734198663e7,1.1713803154492453e6,1.4393507418749418e7
South,South_petroleum_liquids_with_st_1,3,1,22,0.0,0.0,2.7747521956358124e7,0.0,0.0015339467216533295,0.476319399464337,0.0,0.03461000096033017,0.0,2.6386658765415567,0.0,1.6479205722355017e8,0.0,0.0,0.0,1.6479205986221606e8,2.774752246882147e7,1.370445373933946e8
South,South_solar_photovoltaic_1,3,1,23,0.0,0.0,990887.3999987863,0.0,0.0,0.0,0.0,0.0,0.0,-9.45090736440659e6,0.0,2.1284562714627295,2.9600151344799705e7,0.0,0.0,2.0149246108849388e7,990887.3999987863,1.91583587088506e7
West,West_batteries_1,4,1,24,0.0,0.0,135923.0,38791.200000000004,0.014702400813864487,0.0,0.08685255574305376,0.0,-2.324971840527827e6,-1.5155967902161358e6,0.0,238602.43915672463,0.0,0.0,0.0,-1.2769943510594112e6,-2.1502575389728704e6,873263.1879134593
West,West_petroleum_liquids_with_gt_1,4,1,25,0.0,0.0,2.5220799999932107e6,0.0,218.49759680362178,12336.837795283276,0.0,944.0643653077565,0.0,81402.87768863376,0.0,4.076517833046396e7,0.0,0.0,0.0,4.084658120815259e7,2.535579399750605e6,3.831100180840199e7
West,West_petroleum_liquids_with_ic_1,4,1,26,0.0,0.0,75599.9999922032,0.0,0.8996828234938353,50.71031794226718,0.0,4.400170611665441,0.0,348.88071214152995,0.0,667066.5544315007,0.0,0.0,0.0,667415.4351436422,75656.01016358063,591759.4249800616
