Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,9.79051876946659,0.0,0.0,0.0,0.23533107348406532,0.0,0.0,0.0,2.9389326251818626,0.0,0.0,0.0,0.0,27.193668680784945,0.0,0.0,8.659375645178427,0.0,0.0,0.0,8.786970507068261,0.0,0.0,0.0,-2.1630855470933516e-11,0.0,129.0285490295911,66.28236063791,0.0,0.0,0.0,-2.1652341598374124e-11,0.0,197.6823345711263,46.19251199795339,0.0,0.0,0.0,-2.1421372921566963e-11,0.0,198.9761337568416,68.98322409601317,0.0,0.0,0.0,-2.154220006442092e-11,0.0,7.738163686053327e-7,53.677511414454855,0.0,0.0,0.0,818.4274235787848
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42137819989452135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.649299999891674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.68819304952837,0.0,0.0,0.0,0.0,0.0,0.0,86.0362776487124,0.0,0.0,0.0,0.0,0.0,0.0,124.27510055039942,0.0,0.0,0.0,0.0,0.0,0.0,128.48378765294595,0.0,0.0,0.0,508.5540371013723
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43756199989298816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.297649999890254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.24663005143317,0.0,0.0,0.0,0.0,0.0,0.0,88.83627485029989,0.0,0.0,0.0,0.0,0.0,0.0,127.74163055180809,0.0,0.0,0.0,0.0,0.0,0.0,131.89637165435445,0.0,0.0,0.0,524.4561191076789
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44715239989207967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.79614999988901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.94792605256146,0.0,0.0,0.0,0.0,0.0,0.0,91.38172685174303,0.0,0.0,0.0,0.0,0.0,0.0,129.30156905244115,0.0,0.0,0.0,0.0,0.0,0.0,134.96769725562206,0.0,0.0,0.0,535.8422216121487
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44595359989219335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.219724999887866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.61026405242097,0.0,0.0,0.0,0.0,0.0,0.0,93.7999062531138,0.0,0.0,0.0,0.0,0.0,0.0,127.74163055180732,0.0,0.0,0.0,0.0,0.0,0.0,138.0390228568885,0.0,0.0,0.0,540.8565023140106
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45194759989162564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.16777499988616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.29857405312609,0.0,0.0,0.0,0.0,0.0,0.0,97.10899385499013,0.0,0.0,0.0,0.0,0.0,0.0,128.7815895522295,0.0,0.0,0.0,0.0,0.0,0.0,141.28097765822605,0.0,0.0,0.0,552.0898577183495
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45973979989088765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.69224999988582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.4933770540438,0.0,0.0,0.0,0.0,0.0,0.0,97.9999020554953,0.0,0.0,0.0,0.0,0.0,0.0,131.55481355335607,0.0,0.0,0.0,0.0,0.0,0.0,141.96349445850805,0.0,0.0,0.0,559.1635769211799
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46513439989037697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.84209999988552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.01285605467783,0.0,0.0,0.0,0.0,0.0,0.0,98.25444725563904,0.0,0.0,0.0,0.0,0.0,0.0,132.94142555391943,0.0,0.0,0.0,0.0,0.0,0.0,140.7690900580148,0.0,0.0,0.0,561.2850533220269
t8,0.0,0.0,0.0,0.0,0.0,0.0,4.177817999927848,0.0,0.0,0.0,0.4675319998901508,0.0,0.0,0.0,1.3396589999291426,0.0,0.0,0.0,0.0,56.19374999988696,0.0,0.0,4.638157199924863,0.0,0.0,0.0,4.2257699999270555,0.0,0.0,0.0,-6.249659643910937e-11,0.0,58.82299901397296,131.68818005496004,0.0,0.0,0.0,-6.16713722745318e-11,0.0,105.89399146062829,95.45445005405178,0.0,0.0,0.0,-6.271376225972914e-11,0.0,84.91499973100856,134.6746905546231,0.0,0.0,0.0,-6.227199207896812e-11,0.0,3.72064683291221e-7,137.3565060566071,0.0,0.0,0.0,819.8485034971534
