Line,1,2,3,4,5,Total
AnnualSum,218.16286311633496,-386.40123010967176,-461.84260066315437,-81.47684513588058,131.94387640556127,-579.6139363868105
t1,355.9639287984955,-590.2615701637673,-523.7028742153118,-147.87108873547015,159.32973602420685,-746.5418682918469
t2,337.9074714644483,-562.2101866435446,-523.7026798265736,-149.31821867343314,155.33550434295714,-741.988109336146
t3,311.27033366664836,-525.2192774676157,-523.7026721780476,-150.0576106101625,149.95413837701454,-737.755088212163
t4,277.0504026137295,-480.535290934831,-523.7026664180261,-149.43912733678945,143.18744621558375,-733.4392358603332
t5,244.46978603823155,-439.5154674051094,-523.7026615508955,-149.305421782148,135.73268818315262,-732.3210765167687
t6,197.0351625854956,-371.71797101206846,-523.7026526277668,-144.24983662784814,123.8242882347344,-718.8110094474534
t7,164.3030271603782,-323.64248145930463,-523.7026457636371,-138.2657137562441,113.87646333630269,-707.4313504825049
t8,77.40344020021882,-164.52916491224383,-523.7026068479445,-99.3286294647034,71.310341468015,-638.846619556658
t9,52.83847105410735,-0.00013181155200122155,-356.6593199160154,-43.18844825239703,0.00010645571410667571,-347.00932247014305
t10,269.0610056464101,-197.19594207411924,-106.7189527209187,-32.621518906298576,33.62900338953407,-33.84640466539236
t11,266.88158124179495,-171.67451520042508,-102.02131753457118,-15.839648625919942,34.493049147315546,11.839149028194292
t12,266.430587393954,-177.27761270584202,-102.77888202736176,-6.952026214802439,36.19025289091171,15.612319336859493
t13,282.8617013649876,-187.55193239771677,-109.25366270091709,-1.9746530167339145,39.4548569401169,23.53631018973672
t14,294.7874514420942,-197.10890619710548,-114.31069109711183,-0.701887105752375,41.60657480018484,24.27254184230936
t15,302.9747653971814,-207.88470188530925,-118.45289792315653,-9.43816269889532,41.856974533496675,9.05597742331696
t16,302.59485577918997,-216.37605442413695,-119.66799238323827,-41.56784489671462,37.28001561620982,-37.73702030869005
t17,54.452350928311226,-103.43602151991654,-523.70255301953,-68.127524437433,56.00149778735861,-584.8122502612097
t18,196.01539729815764,-376.1398057277145,-523.7026563420551,-132.72792532237168,129.16418813794587,-707.3908019560378
t19,240.96784032409664,-453.939921897918,-523.7026646156199,-139.0656952375085,140.51843215113962,-735.2220092758103
t20,239.39803358398436,-449.9973122093101,-523.7026617006443,-138.92725377960517,140.05713442208327,-733.1720596834919
t21,236.25425268381747,-444.4371927315152,-523.702659971505,-138.53060047366353,139.33238525523765,-731.0838152376285
t22,282.7206584404465,-512.7556180255888,-523.7026704751344,-139.1415325670242,150.30419889972322,-742.5749637275776
t23,319.91963371956615,-575.0501420130859,-523.7072732142642,-137.80011892515355,158.90302146491135,-757.7348789680261
t24,326.0174956530875,-586.335568417213,-523.707278594927,-136.92104019738872,160.57542711971308,-760.3709644367282
t25,325.0493792141745,-582.0685878392469,-523.7072770912769,-135.51300773215553,160.86638922559476,-755.3731042229101
t26,322.1961680796158,-574.1369336989188,-523.7072683185784,-135.98344623426073,159.9133095166227,-751.7181706555194
t27,331.02904850900086,-576.6473555254972,-523.7067802198496,-137.68639322268842,160.25174441306663,-746.7597360459678
t28,316.026891011489,-547.5951642899648,-523.702677428412,-138.93463501380683,156.4515117064522,-737.7540740142424
t29,269.24750358779767,-483.0267228192145,-523.7026662677208,-136.7322332520568,147.7740489379759,-726.4400698132187
t30,221.82737126358683,-415.9267462482594,-523.702658054933,-134.15335222312405,136.8397117633039,-715.1156734994256
t31,188.4579772924097,-366.00686126511715,-523.7026523035823,-131.38416263270085,127.21382097603762,-705.4218779329531
t32,95.37484248742739,-202.6152190788996,-523.7026201464054,-101.6284541626858,88.18488649626619,-644.3865644042971
t33,49.53648377409686,-0.00015759498303373695,-410.0752706965237,-33.429270446530126,0.00014315461651429834,-393.9680718093235
t34,290.6324059097585,-185.15489136935312,-111.19422151217378,-35.307031411457196,34.9408312652027,-6.082907118022881
t35,289.29470893864715,-181.47388857179135,-110.21716435848786,-18.93763255765868,37.158354617934634,15.824378068643888
t36,306.1849090872438,-186.77047809758457,-116.14011839279938,-10.175007967892265,40.838554440302445,33.937859069270026
t37,331.32989586789756,-198.65639217026967,-125.70210291676739,-3.631928936640455,45.608331356548774,48.947803200768824
t38,344.31429006419177,-220.4522687469005,-133.06388210010832,-6.167044878680867,48.14721346678233,32.77830780528441
t39,378.49082945881435,-242.1985275817642,-147.18676380556542,-21.224849736885194,51.60303810175934,19.483726436358864
t40,104.11799726340091,-46.57840476861377,-523.702281882553,-43.861976604772146,73.2046718093103,-436.8199941832278
t41,270.2113568833531,-361.61473940654935,-523.7023806345694,-116.61552282057266,150.17336425614874,-581.5479217221896
t42,395.2028844353101,-617.5130914516717,-523.7067655818928,-135.8215748404769,169.36612720637606,-712.4724202323551
t43,319.1820413349322,-578.9563848118061,-523.706803295926,-132.92667816559612,161.23061912762185,-755.177205810774
t44,319.35242012376,-578.187301064809,-523.7068003031051,-135.82600140473414,159.87529906137033,-758.4923835875179
t45,322.5397688303719,-578.4705248223653,-523.70679833233,-138.6302400966192,158.99065948724984,-759.2771349336929
t46,310.3359691625131,-571.9703222081432,-523.7068000704161,-133.62678620504022,159.52928534199188,-759.4386539790944
t47,286.4157896508144,-564.8074545886767,-523.7072571427228,-126.38717809712627,159.80128678238248,-768.6848133953289
t48,287.02324235448987,-573.7473478197812,-523.7072619926801,-123.69423482068385,161.76805966373783,-772.3575426149174
t49,278.42689409055026,-561.4378306677198,-523.7072592780615,-121.83375176096592,161.01587259101362,-767.5360750251834
t50,271.540395039527,-552.4243217772322,-523.7068213966138,-121.09611080229175,160.02982256831498,-765.6570363682957
t51,294.21243826210855,-561.8777978284777,-523.7068017155373,-127.01942356458531,160.30737657135896,-758.0842082751327
t52,334.40403622743014,-578.0492598093032,-523.7067895783517,-137.09140681826764,160.9243199822961,-743.5190999961962
t53,319.0766874093428,-542.1430031884105,-523.7026749126546,-141.8308849288861,155.2155719410631,-733.3843036795454
t54,261.29969330993066,-463.82252259600824,-523.7026638928307,-141.58409110187912,143.20999766215903,-724.5995866186285
t55,219.0294935020331,-408.57763386557843,-523.7026578153461,-141.61028989858306,132.3204397409101,-722.5406483365643
t56,121.81049613959821,-234.0862801474293,-523.7026329988163,-116.37621929850687,98.81258623700748,-653.5420500681468
t57,52.522831858763915,-0.00018570878472728468,-442.17158109013207,-33.06930316409308,0.00016884803603494226,-422.7180692562099
t58,332.61650308548155,-235.99836613124629,-131.81458566046666,-40.34934203092287,42.34753695587208,-33.19825378128218
t59,335.6226438232412,-236.1049120287705,-132.75416330497927,-15.684403787664225,46.56084765480361,-2.3599876433691804
t60,345.21065576216114,-237.14024953872075,-135.88011705694734,0.9564769799203531,50.36299582226561,23.50976196867901
t61,369.2080169822176,-253.1035036789666,-145.8341181697933,11.183819840150287,55.92552938835373,37.37974436196171
t62,392.6546758613098,-267.7907510773147,-155.5482091593597,13.748591363312364,60.28935976818819,43.35366675613593
t63,396.00068494564414,-273.396011510258,-157.4592622890211,2.1133376201393057,59.36976093984569,26.62850970635003
t64,100.43198807130229,-49.89764695327377,-523.7022884472515,-36.799597521435366,103.42992313113142,-406.5376217195269
t65,253.676039657743,-348.2111432711393,-523.7023797737952,-85.79498517969762,171.0245288675481,-533.007939699341
t66,284.8761129899359,-540.6628482060635,-523.7068004038921,-87.00046436136648,184.6719596640179,-681.8220403173683
t67,189.63558538433296,-490.33680574838166,-523.7068029315858,-78.9157681761917,176.1736448751353,-727.1501465966909
t68,197.53068731717428,-497.4477978935579,-523.7067999702169,-83.10044393571867,173.7142424822464,-733.0101120000728
t69,214.24691951831113,-506.6257216750736,-523.706799325332,-88.7035052638354,171.91442618031428,-732.8746805656156
t70,213.47419309904774,-511.2615114682616,-523.7067994278992,-92.74909963679067,168.40043643324358,-745.8427810006601
t71,199.3181501337145,-519.9033037417734,-523.707402101279,-94.2496832536415,164.6969834516937,-773.8452555112856
t72,208.88814227764917,-533.8275176273269,-523.7074045406711,-96.91365478286137,165.16658953875188,-780.3938451344583
t73,204.75331129195476,-517.2596443897493,-523.7069339669323,-95.68221680845966,164.4626031385407,-767.4328807346458
t74,219.5959575844434,-520.3439364833115,-523.7068008948382,-96.53937605239594,166.79378149573103,-754.2003743503712
t75,232.66338875416008,-523.0387190317881,-523.7068004393575,-96.08375251467787,169.50964288072853,-740.6562403509348
t76,246.5498329675123,-525.7884853589092,-523.706800142025,-98.89173437740261,169.56676654969797,-732.2704203611265
t77,273.4660487476738,-538.1189751556561,-523.7067991392564,-107.78474625455637,167.5756921541335,-728.5687796476616
t78,311.27904717109305,-557.4419782197608,-523.7067929141459,-120.37701661525263,165.5378311055678,-724.7089094724985
t79,306.66124162329135,-531.0123201187496,-523.7026761253979,-128.979087641331,159.11186965371016,-717.920972608477
t80,205.44788942173219,-364.674201098901,-523.7026533039476,-117.22186794099336,138.91546155950837,-661.2353713626014
t81,45.93404561762462,-48.264362288291096,-523.7022462406532,-38.97452568087002,47.187683985402316,-517.8194046067872
t82,336.8264354090221,-242.0438062817841,-134.03783029319044,-23.592583694456643,45.85694239701243,-16.99084246339664
t83,315.3041913179871,-226.4832481161345,-125.07076849437385,-1.6102111805770432,45.66953732716504,7.809500854066741
t84,327.903928209157,-228.31810647129652,-129.18788442722666,6.565883011218594,48.5516002167268,25.515420538579228
t85,345.903940876479,-236.4907270402664,-135.99564030137256,12.735029225011152,52.19556946158403,38.34817222143523
t86,367.55629897294585,-249.1897342317798,-144.72254407584214,12.800255165979987,55.71539408197125,42.15966991327515
t87,380.1158939143153,-257.30160633964783,-149.94565665298518,-1.0698338859202925,55.77816688291089,27.576963918672863
t88,84.42601323476411,-15.071066494995009,-523.7021837122337,-15.177403416805785,55.3882884338766,-414.13635195539376
t89,200.43424895872727,-266.508975458066,-523.7023666661364,-92.3695221095813,146.89996725556284,-535.2466480194937
t90,334.2341434696135,-568.6609607030443,-523.7067896877886,-104.2401281887794,178.02294262779682,-684.350792482202
t91,250.7455204435637,-524.9028753061957,-523.7068462721442,-92.12636300749193,175.45655343407074,-714.5340107081973
t92,240.34710270392907,-513.4688050837681,-523.7068309017643,-89.55009649594699,175.6638352983809,-710.7147944791693
t93,251.19078616632478,-518.4771805236023,-523.7067992280462,-93.05126934590899,174.4803093236316,-709.5641536076012
t94,245.97337716598133,-521.616719305843,-523.7068308584975,-94.76143511907792,172.50151495699123,-721.6100931604458
t95,268.5429698765522,-548.7823708804498,-523.7072376851073,-98.42871478524725,174.00936024286625,-728.3659932313859
t96,274.20087286679086,-549.5244084426449,-523.707236013434,-101.42766241612041,172.5680742001087,-727.8903598052998
t97,275.37452292134645,-548.3606339591155,-523.7072331372967,-104.9444616215532,170.22101169404104,-731.4167941025778
t98,274.0618250449901,-548.663164640095,-523.7068047879384,-110.68105684607218,166.3368951528305,-742.652306076285
t99,279.19252295916846,-551.929496013669,-523.7068009586767,-116.78918248362093,163.47477436989936,-749.7581821268989
t100,296.09271135422904,-557.8854656913817,-523.7068014483075,-121.0812915692356,163.4431466234101,-743.1377007312858
t101,336.56267422879733,-570.1932446189801,-523.706750807924,-127.93989573227913,164.99745074927353,-720.2797661811124
t102,306.7083572762871,-525.2986209760916,-523.7026733157339,-125.04919857373942,160.7958937779933,-706.5462418112845
t103,275.134476328975,-487.9652234898307,-523.7026714662998,-122.21510560388477,156.27964240110526,-702.4688818299351
t104,159.4271296154738,-302.2118238117785,-523.7026413008572,-101.25904031878561,132.05504115254578,-635.6913346634018
t105,19.740475005774535,-11.10154231791683,-523.7020590733969,-9.303078290088404,26.159824860561052,-498.20637981506644
t106,310.89072536343946,-206.0418619546711,-120.55648382093386,-13.569957591044027,42.03712624855427,12.759548245344735
t107,304.0510940692686,-192.90275056135366,-116.4444273368495,5.3047562608183165,43.36766982385384,43.37634225573757
t108,323.25763744058713,-212.53127400605692,-125.33236081735177,12.566026200499657,47.9527753277497,45.9128041454278
t109,348.7968210923698,-226.6436073509836,-135.40705914348106,17.830582407076857,52.73253474723214,57.30927175221413
t110,372.4261372065696,-251.15165386823068,-146.56792936009694,18.758273579316572,57.352535948386645,50.81736350594519
t111,384.22578142171966,-257.7646506584493,-151.33875762654156,7.909147165513273,57.6888308396625,40.72035114190459
t112,86.03756509839283,-7.253510346069577,-523.7020994944106,-7.11814625538484,59.81433402266256,-392.22185697480967
