Zone,1,2,3,4
t1,-0.0001317119180534801,-3.909712964203796e-5,-0.0001923103224110731,-0.0003400545124793409
t2,-0.00013365291269986417,-3.9651178887139446e-5,-0.00019476203817339892,-0.0003451242835975335
t3,-0.00013646722330672398,-4.0530262835731064e-5,-0.0001989895930545983,-0.00035301915105370144
t4,-0.000140696407726645,-4.1816612949672424e-5,-0.0002043089041174649,-0.00036128177563889217
t5,-0.00014336002543841118,-4.3051104525742945e-5,-0.00021185540496431997,-0.0003729172822890454
t6,-0.00015147623469496436,-4.539858882352904e-5,-0.00022210041930617803,-0.0003918362081048777
t7,-0.00015832095173332408,-4.731233739043316e-5,-0.00023103140047870248,-0.0004091259919326214
t8,-0.00016168640872936646,-4.838208564950438e-5,-0.00023576258004479985,-0.0004164576691674804
t9,-0.00016458750014907475,-4.926978586973505e-5,-0.00023941483981193649,-0.00042400117454942116
t10,-0.00016575522228413813,-4.960839369950136e-5,-0.00024061215109985444,-0.0004238509722494352
t11,-0.00017463031619708756,-5.213464392395954e-5,-0.0002511136554119711,-0.0004441404018227158
t12,-0.00017200029474824716,-5.1388082472168224e-5,-0.00024840401681800996,-0.00043992933456740913
t13,-0.0001622184782239688,-4.859616766999963e-5,-0.00023689500655080703,-0.0004200122310238473
t14,-0.00015451815738821157,-4.6431804296265165e-5,-0.00022751729365522673,-0.00040181210705602895
t15,-0.00014944513775881713,-4.481918497730656e-5,-0.00022095290999189058,-0.0003883440408610685
t16,-0.00014846976130099415,-4.4584130908788786e-5,-0.0002198952970150306,-0.0003883444544268546
t17,-0.00014565000151190263,-4.371604151548192e-5,-0.00021582691694208196,-0.0003789875624047353
t18,-0.00014519240569465375,-4.3627353769777796e-5,-0.00021483081698146214,-0.00037902239879811
t19,-0.0001470716210640626,-4.4080751453348065e-5,-0.00021584195084662627,-0.0003790255278251725
t20,-0.00014802812585481428,-4.435691232648941e-5,-0.00021685982635672482,-0.00038214821880391104
t21,-0.00014851075798140055,-4.454284202182016e-5,-0.00021892614364343147,-0.00038532319042294024
t22,-0.0001394012231695066,-4.185815309832733e-5,-0.0002070767693748775,-0.0003641251972709767
t23,-0.00013020251537543444,-3.913438475243491e-5,-0.00019560222378156488,-0.0003425906404728407
t24,-0.000127995370298512,-3.848745022032867e-5,-0.00019231875356771905,-0.000340075070009171
t25,-0.0001287228145517785,-3.8700825505533606e-5,-0.0001931291819287243,-0.00034007410037197353
t26,-0.0001302020857822955,-3.917085139899377e-5,-0.00019560155184196283,-0.0003451445270660282
t27,-0.0001324835165891722,-3.987736899713719e-5,-0.00019899472315690862,-0.0003503603547902645
t28,-0.00013729351275006742,-4.1284943218466724e-5,-0.00020522475089538984,-0.0003612862022512243
t29,-0.00014427088920523684,-4.335964738681674e-5,-0.00021383034037179664,-0.0003759470570044398
t30,-0.0001519828121304602,-4.569101119783133e-5,-0.00022426998862609028,-0.0003951809749055334
t31,-0.00015832182149555344,-4.747013198224484e-5,-0.0002321996110825811,-0.00040913009180209144
t32,-0.00016168753453751748,-4.83822697497964e-5,-0.00023576459393406059,-0.0004164629338806712
t33,-0.00016282747594073232,-4.8710207541927084e-5,-0.0002369531013979135,-0.00041639901359304696
t34,-0.00015938307269884095,-4.762271387881279e-5,-0.0002309465597061533,-0.000408900831396938
t35,-0.00016050540675078867,-4.794302945544665e-5,-0.00023211240878201096,-0.0004089006673068596
t36,-0.00015093223038737205,-4.510439667647287e-5,-0.0002198951314932496,-0.0003883440445598793
t37,-0.000138936920621465,-4.140148470776194e-5,-0.0002033326284797007,-0.0003582997189236656
t38,-0.00013206017860338697,-3.9275459950211604e-5,-0.00019305414273568594,-0.00034239392033268856
t39,-0.00012617316743267633,-3.754859130652028e-5,-0.00018524260818315603,-0.0003278325773679463
t40,-0.00012210716268188466,-3.630779134640876e-5,-0.00017947109324498932,-0.0003167184032654897
t41,-0.00012080803483317504,-3.590105639710581e-5,-0.00017739367786880368,-0.00031459192226463193
t42,-0.00012113709473564437,-3.602642965681123e-5,-0.00017809392156191783,-0.0003146159045058328
t43,-0.00012113910593260596,-3.6026891719571424e-5,-0.00017809705045667933,-0.00031462308713985483
t44,-0.00012146392832617313,-3.608932947603851e-5,-0.00017809572542229355,-0.0003146198949515955
t45,-0.00012278288029270282,-3.656515144924335e-5,-0.0001801999521861827,-0.0003189585808795441
t46,-0.00012113807276678857,-3.605797177296018e-5,-0.00017879168360108075,-0.0003146187476116185
t47,-0.00011615449323784595,-3.461306837823275e-5,-0.0001733700454985187,-0.00030426981425192475
t48,-0.00011497090265306032,-3.43542631837468e-5,-0.00017206500604133592,-0.0003042719664614971
t49,-0.00011675581461392387,-3.4964130363783224e-5,-0.00017536646525504512,-0.00030833179615799675
t50,-0.00011859517562192663,-3.553358664925691e-5,-0.00017809767525768386,-0.0003146245835606774
t51,-0.00012245129842340714,-3.666198787704299e-5,-0.00018382234813648252,-0.0003234253531422177
t52,-0.0001298268750455695,-3.8879842828733995e-5,-0.00019312457725948934,-0.000340063393348768
t53,-0.00013646768529028047,-4.088448797682578e-5,-0.00020250619684062846,-0.00035573422409568604
t54,-0.00014427071911245028,-4.313888435613749e-5,-0.00021185634965433208,-0.0003729197824821103
t55,-0.00014997986712561,-4.4872071920633e-5,-0.00021997553276314514,-0.00038855643049664465
t56,-0.00015300155781091762,-4.573962103951347e-5,-0.00022317576124928755,-0.00039516789240965884
t57,-0.0001535031328147066,-4.588524154367923e-5,-0.00022423946875501204,-0.0003951051267895894
t58,-0.000141977694174994,-4.248419672156899e-5,-0.0002088887054162085,-0.00036681654910355874
t59,-0.0001406585984367959,-4.201963653526211e-5,-0.00020607360689611177,-0.00036393313611957935
t60,-0.00013725627067406353,-4.099888773106846e-5,-0.00020154508638701784,-0.00035554760922839115
t61,-0.00012831925656100476,-3.827076306902152e-5,-0.0001890685934304854,-0.00033495590821911765
t62,-0.00012208571882375526,-3.6336914171830736e-5,-0.00018084841834208642,-0.00031878933105255737
t63,-0.00012142973439621953,-3.6178818304196287e-5,-0.00017942930787594457,-0.00031660593593376107
t64,-0.00011952343167091857,-3.559223263564225e-5,-0.000176697203914253,-0.0003124379570251556
t65,-0.00011952960828256298,-3.550183394944586e-5,-0.00017535232212073233,-0.00031036727682032147
t66,-0.00012146575050363826,-3.615242400956163e-5,-0.0001787952959818837,-0.00031462799707505386
t67,-0.00012146706846400234,-3.612129508067896e-5,-0.00017810075858138094,-0.0003146324065667456
t68,-0.00012179333840520329,-3.621550961749994e-5,-0.00017879550134524208,-0.0003146283954976107
t69,-0.0001241330390550868,-3.692217759609328e-5,-0.00018163433300945122,-0.00032118263429268645
t70,-0.0001221214613196776,-3.6373736292229476e-5,-0.0001802031282460207,-0.00031678093225968114
t71,-0.00011324008391065365,-3.381965569412533e-5,-0.0001695130963908008,-0.00029838234293235106
t72,-0.00011100857973804062,-3.31393329704822e-5,-0.00016642389798151146,-0.00029270971245266993
t73,-0.00011352354301245398,-3.393065032134759e-5,-0.00017014196112486232,-0.0003003154662644975
t74,-0.0001158557767760361,-3.4641992961775835e-5,-0.0001740296525564957,-0.00030628546714117855
t75,-0.00011859531471212843,-3.5503182670461055e-5,-0.00017809790670268814,-0.0003124983501910583
t76,-0.0001231189313267401,-3.682422040809016e-5,-0.0001838235257519267,-0.0003234285568404437
t77,-0.00012908875626299976,-3.870066901790827e-5,-0.0001923168925154102,-0.0003375898479094638
t78,-0.00013484867127754927,-4.033667194228126e-5,-0.00019986426114947253,-0.0003503651177813311
t79,-0.00014157521387947515,-4.231948257892751e-5,-0.00020801778844340717,-0.00036701651109493727
t80,-0.00014519138193313114,-4.3403866343856e-5,-0.0002128369962055873,-0.0003759421410366081
t81,-0.0001465864346364318,-4.385120308572696e-5,-0.00021481233367809008,-0.0003789758428827155
t82,-0.00014561722996794737,-4.3532417644249746e-5,-0.00021276258614056593,-0.00037574517313165943
t83,-0.00015043331980858166,-4.481918808032273e-5,-0.00021780941315539977,-0.00038511620403215696
t84,-0.00014561715845537226,-4.326577885488623e-5,-0.0002108079071355822,-0.000372721008143927
t85,-0.00013643084483205958,-4.0408729180557e-5,-0.00019720926447824608,-0.0003501674003609905
t86,-0.0001297903315680394,-3.8411303224776595e-5,-0.00018829091859169354,-0.0003349558931395392
t87,-0.0001254733315087967,-3.71473562652191e-5,-0.0001822900746355736,-0.00032324807577156957
t88,-0.00012243691893364008,-3.621277525237567e-5,-0.0001780712976474086,-0.0003167140077424013
t89,-0.00012244379674876887,-3.6119420841645716e-5,-0.00017739234997564461,-0.000314588385459337
t90,-0.00012345451317752858,-3.650116182792093e-5,-0.00017879291537517417,-0.0003167784784091406
t91,-0.00012727708686439114,-3.7554175718275454e-5,-0.0001838264256816218,-0.0003257134946312496
t92,-0.00013020328147847281,-3.8487491407770594e-5,-0.00018759178550013493,-0.0003327387928294707
t93,-0.00013365762423303955,-3.950280090978587e-5,-0.00019231682498254554,-0.0003400712581702945
t94,-0.00012835775542173073,-3.803249521315178e-5,-0.00018606572271531784,-0.00033035996798120074
t95,-0.00012212255715271563,-3.631042615137069e-5,-0.00017949761782739735,-0.00031678545924271925
t96,-0.00012114027286167004,-3.6027106710821046e-5,-0.00017879529421020862,-0.00031678435398398554
t97,-0.0001208161803736588,-3.593357134177775e-5,-0.0001780985272076575,-0.00031462729487745524
t98,-0.00012081515861311882,-3.599568232850032e-5,-0.0001787933066298979,-0.0003167792348545402
t99,-0.00012278407444396124,-3.659755420012465e-5,-0.00018163318942719027,-0.00032117957398896876
t100,-0.0001265624574218127,-3.7689229093114045e-5,-0.00018682355241345834,-0.00032801254262957303
t101,-0.0001368811250199374,-4.0766026113339575e-5,-0.00019986114113482297,-0.0003530299184145525
t102,-0.00014291066125587986,-4.257501688701628e-5,-0.00020801680007256264,-0.0003670141164651384
t103,-0.00014851275294018,-4.417257470786052e-5,-0.00021483300803806467,-0.0003790282358539535
t104,-0.0001524906306334693,-4.5350150606163253e-5,-0.0002199727304588838,-0.0003885494313228881
t105,-0.00015402823910770297,-4.5787441690403105e-5,-0.0002210139009360924,-0.0003917907111538701
t106,-0.00015194003643084764,-4.49613630212198e-5,-0.0002167813093887862,-0.0003851165868179088
t107,-0.0001534766282218287,-4.5344718650725055e-5,-0.00021780943349578618,-0.0003851162433438271
t108,-0.0001451522136863081,-4.291505704608865e-5,-0.0002070035418569483,-0.00036681625862571764
t109,-0.0001344094300535928,-3.9759059439387375e-5,-0.0001938712551775448,-0.00034239388668787365
t110,-0.00012979033916990837,-3.830580464924863e-5,-0.0001875195597344271,-0.0003325474208846539
t111,-0.00012617313282576448,-3.7280196061099344e-5,-0.0001822900875594413,-0.00032324810405993135
t112,-0.000123439163591759,-3.637106532227073e-5,-0.0001780701477139235,-0.0003167111865399911
t113,-0.00012378412565085237,-3.6467785733122956e-5,-0.00017877876307095892,-0.000316741784736303
t114,-0.0001258559364675883,-3.701985521469344e-5,-0.00018090988983488922,-0.00032116752606233705
t115,-0.00012551156255853057,-3.698787271749821e-5,-0.0001802045979924887,-0.0003189701766746925
t116,-0.0001258597840618888,-3.708645241992394e-5,-0.00018091598329347534,-0.0003211827943078377
t117,-0.00012691826192419816,-3.7385599684547946e-5,-0.00018235782193832647,-0.00032342787094163505
t118,-0.00012278524753419237,-3.6278626518765105e-5,-0.00017809814530159862,-0.0003146261371971608
t119,-0.00011828815231851569,-3.5023792735138214e-5,-0.00017271869396704175,-0.0003062969287352534
t120,-0.00011985746182557889,-3.5473420988832964e-5,-0.00017536970093768561,-0.00031041099656533547
t121,-0.00012345576832655474,-3.659777915101046e-5,-0.00018020382346570048,-0.00031896839099176206
t122,-0.0001265637153121566,-3.752011372717692e-5,-0.0001845653002190057,-0.00032801774970909065
t123,-0.00013133464489912638,-3.895263120434803e-5,-0.0001907159883733043,-0.0003375918199691206
t124,-0.00013897935088606327,-4.1084566184870684e-5,-0.00019986523540957332,-0.00035575283475430727
t125,-0.000146129778209371,-4.3271712698368196e-5,-0.00020992525417001204,-0.0003729377826878878
t126,-0.00015198498353893573,-4.496726908446617e-5,-0.00021686258425172272,-0.0003853335272599405
t127,-0.00015777609247115542,-4.664106728719573e-5,-0.00022427369789849584,-0.0003985886324027731
t128,-0.00015832131549926848,-4.679402163416738e-5,-0.00022536870349291034,-0.0003985762892438715
t129,-0.00015886126447721438,-4.6894955120041226e-5,-0.00022534848577096013,-0.00039852510203087024
t130,-0.00015451832040262265,-4.558750626055839e-5,-0.00021884760240283493,-0.0003883446853588859
t131,-0.00015296105595126618,-4.510439325619844e-5,-0.00021576255700706077,-0.0003819414114235089
t132,-0.00014423106136555915,-4.2484187441003286e-5,-0.00020515192244149462,-0.00036393322349328143
t133,-0.00013206022431433567,-3.8910963998315166e-5,-0.0001890686715288893,-0.00033495607719862404
t134,-0.00012478117103714275,-3.672171944435287e-5,-0.00017942925893383148,-0.0003187896065975037
t135,-0.00012079904883655029,-3.5561307317012604e-5,-0.00017400081925685997,-0.0003082563529163601
t136,-0.00012145470170120984,-3.565390424536165e-5,-0.00017467695531562863,-0.0003103539541262107
t137,-0.00012178643867975527,-3.577758751141208e-5,-0.0001746845513052027,-0.00031037413752852647
t138,-0.00012312260515429867,-3.612151250832047e-5,-0.0001760452828343347,-0.0003125101560299378
t139,-0.00012447805656676247,-3.6566148249592075e-5,-0.0001781026842998001,-0.00031679364179496385
t140,-0.00012551177480449877,-3.688968929563749e-5,-0.00017949744823334465,-0.00031897097176841077
t141,-0.00012691905517627863,-3.7385749161338625e-5,-0.0001816349367517306,-0.00032343105619280323
t142,-0.00012345610025309102,-3.6469538346112005e-5,-0.00017879513680268237,-0.00031678402805760455
t143,-0.00011891029038626587,-3.514247745013895e-5,-0.00017337296518332997,-0.0003062942922472147
t144,-0.00011985674402080013,-3.5503641371226604e-5,-0.00017536874387487605,-0.00031040876181190276
t145,-0.00012345633590840133,-3.6533620216496e-5,-0.000180204708900412,-0.0003189706665039791
t146,-0.00012656411864783062,-3.752017982665519e-5,-0.00018456594531796606,-0.00032801938459532166
t147,-0.0001298295106197884,-3.848737662513841e-5,-0.00018914080386092338,-0.00033514703792272664
t148,-0.0001348496521393695,-4.002974573496776e-5,-0.00019643939712204648,-0.0003477365771536122
t149,-0.0001420209183691293,-4.219328449251686e-5,-0.00020523118130608717,-0.00036414389149245325
t150,-0.0001494890599018169,-4.43571992153912e-5,-0.00021483353464324064,-0.00038215601829926307
t151,-0.0001556204169812432,-4.6186529990815796e-5,-0.0002231841701031016,-0.0003951899409365119
t152,-0.00015942807189446565,-4.7155610129991145e-5,-0.00022647793909933594,-0.0004020293124316129
t153,-0.00016110575304189168,-4.7679746984603664e-5,-0.00022871051935464,-0.0004054920487745724
t154,-0.00016164353316177783,-4.783579715896271e-5,-0.00022979221552008971,-0.0004053258199448382
t155,-0.00016819875101585242,-4.9608385791846064e-5,-0.0002368950441461291,-0.00042001229676148533
t156,-0.000162218491559928,-4.7889349672075544e-5,-0.00022979209947688372,-0.0004089005963825287
t157,-0.00015043330165842624,-4.453738912483965e-5,-0.0002157624317754026,-0.0003819411186525199
t158,-0.00014022424504241268,-4.164665183819494e-5,-0.00020333264099925853,-0.00036109454397175366
t159,-0.0001356152009541178,-4.0292621212171804e-5,-0.0001972093747709294,-0.00035016765464948336
t160,-0.00013364146383898482,-3.9611945501037514e-5,-0.00019474198272328844,-0.00034507367146694573
t161,-0.00013170787818176893,-3.909644748352711e-5,-0.00019149926891567811,-0.0003400368389288403
t162,-0.00013405303235855382,-3.976462032949868e-5,-0.0001947705834776947,-0.00034514664727923716
t163,-0.00013647387113901595,-4.053144736222185e-5,-0.00019814051883648568,-0.000347742982289441
t164,-0.00013729843660314673,-4.080616704298726e-5,-0.00019899861686445303,-0.00035037021063239387
t165,-0.00013813317947613233,-4.1084485391982564e-5,-0.0002007397352015458,-0.00035575137864537993
t166,-0.00013365774528684203,-3.9764676960507474e-5,-0.00019560152851902602,-0.00034514477630031296
t167,-0.00012586208844808457,-3.755432509731765e-5,-0.00018606981955028438,-0.0003280263437970598
t168,-0.00012379609733576902,-3.6955497707155655e-5,-0.00018382837105009264,-0.0003234396863647141
t169,-0.00012656539671540793,-3.7757915505600445e-5,-0.00018759397333208437,-0.0003303673958903355
t170,-0.0001290893629008205,-3.8487360019698175e-5,-0.00019071617605512524,-0.0003375921519926618
t171,-0.00013133386742615063,-3.924413654222471e-5,-0.00019394492829837026,-0.00034258786854065616
t172,-0.00013606140070597674,-4.0648205134786275e-5,-0.00019986307801171096,-0.00035303437119806535
t173,-0.00014246243838101413,-4.253218549969621e-5,-0.00020801653684832913,-0.0003670133163801566
t174,-0.00015047625396981317,-4.477762928823868e-5,-0.00021788924034823396,-0.0003853275476467406
t175,-0.0001566899648134725,-4.664089613228617e-5,-0.00022648239797935777,-0.0004020406323616192
t176,-0.00015998609394308618,-4.757534254729036e-5,-0.00022987296676907075,-0.0004091173691534619
t177,-0.00016283048889653785,-4.8380469293251355e-5,-0.00023335188101048816,-0.00041270631615925024
t178,-0.00016455958382366383,-4.8873352058597516e-5,-0.00023568128116121926,-0.0004162425128530375
t179,-0.00017265046311676347,-5.132678399374432e-5,-0.0002457517696387349,-0.000435797036369672
t180,-0.00017071441268997156,-5.0721508304962355e-5,-0.0002444465446291829,-0.0004317411723440852
t181,-0.00016107244989129013,-4.794301539121443e-5,-0.0002321123858376511,-0.0004125388904685326
t182,-0.00015347660420287617,-4.5685293974697016e-5,-0.00022202080776474368,-0.00039496393022348854
t183,-0.00014798668039243772,-4.402943791302877e-5,-0.00021475325149984844,-0.0003788179068894673
t184,-0.00014705476343108328,-4.385038118908156e-5,-0.00021380165511744703,-0.0003789508508328248
t185,-0.0001442668657929953,-4.2963188067532496e-5,-0.00020991157276373414,-0.0003699240651444764
t186,-0.00014381724459994118,-4.2833913494768376e-5,-0.00020896769361386218,-0.0003699549537055152
t187,-0.0001452030830864013,-4.322887355746117e-5,-0.0002099354316102883,-0.00036998325223139045
